Geography,"Allocated
Case
Count
(Raw)","COVID-19
Total Rate
(Suppressed)",Date
Alpine,12.9,80.4,6/11/2020
Anza-Borrego Springs,9.2,179.9,6/11/2020
Carlsbad,102.9,82.0,6/11/2020
Central Region,1997.0,385.7,6/11/2020
Central San Diego,683.6,326.8,6/11/2020
Chula Vista,759.1,616.6,6/11/2020
City of Carlsbad,89.9,78.4,6/11/2020
City of Chula Vista,1358.4,507.8,6/11/2020
City of Coronado,25.0,115.3,6/11/2020
City of Del Mar,6.9,159.6,6/11/2020
City of El Cajon,474.5,449.5,6/11/2020
City of Encinitas,70.8,112.1,6/11/2020
City of Escondido,305.6,201.7,6/11/2020
City of Imperial Beach,130.0,461.6,6/11/2020
City of La Mesa,140.4,229.2,6/11/2020
City of Lemon Grove,86.0,320.5,6/11/2020
City of National City,447.7,719.1,6/11/2020
City of Oceanside,220.3,124.2,6/11/2020
City of Poway,48.9,97.4,6/11/2020
City of San Diego,4146.0,292.0,6/11/2020
City of San Marcos,115.3,120.4,6/11/2020
City of Santee,71.8,125.9,6/11/2020
City of Solana Beach,12.5,89.5,6/11/2020
City of Vista,142.7,138.0,6/11/2020
Coastal,99.2,115.4,6/11/2020
Coronado,25.0,115.3,6/11/2020
Del Mar-Mira Mesa,191.7,112.2,6/11/2020
East Region,1470.0,302.8,6/11/2020
El Cajon,565.6,430.4,6/11/2020
Elliott-Navajo,130.6,138.1,6/11/2020
Escondido,334.8,193.2,6/11/2020
Fallbrook,41.7,85.9,6/11/2020
Harbison Crest,51.9,342.3,6/11/2020
Harbison Crest-El Cajon,617.5,421.3,6/11/2020
Jamul,68.9,351.7,6/11/2020
Kearny Mesa,300.9,176.2,6/11/2020
La Mesa,144.6,228.3,6/11/2020
Laguna-Pine Valley,,,6/11/2020
Lakeside,137.9,231.5,6/11/2020
Lemon Grove,107.5,348.9,6/11/2020
Mid-City,556.8,325.4,6/11/2020
Miramar,10.2,148.2,6/11/2020
Mountain Empire,21.6,262.8,6/11/2020
National City,446.5,723.3,6/11/2020
North Central Region,877.0,131.8,6/11/2020
North Coastal Region,602.0,107.1,6/11/2020
North County,1432.0,122.4,6/11/2020
North Inland Region,830.0,136.6,6/11/2020
North San Diego,143.0,118.2,6/11/2020
Oceanside,216.2,127.6,6/11/2020
Palomar-Julian,,,6/11/2020
Pauma,7.1,87.2,6/11/2020
Pendleton,,,6/11/2020
Peninsula,110.5,158.0,6/11/2020
Poway,82.7,91.6,6/11/2020
Ramona,50.7,144.1,6/11/2020
San Diego County,9130.0,273.6,6/11/2020
San Dieguito,109.8,108.0,6/11/2020
San Marcos,131.5,130.3,6/11/2020
Santee,72.2,132.9,6/11/2020
South Bay,1295.4,962.8,6/11/2020
South Region,3212.0,643.8,6/11/2020
Southeastern San Diego,790.4,542.9,6/11/2020
Spring Valley,311.1,370.2,6/11/2020
Supervisorial District 1,3865.4,615.6,6/11/2020
Supervisorial District 2,1723.2,263.3,6/11/2020
Supervisorial District 3,872.0,130.2,6/11/2020
Supervisorial District 4,1800.2,253.4,6/11/2020
Supervisorial District 5,727.3,107.7,6/11/2020
Sweetwater,628.5,419.4,6/11/2020
Unincorporated,1095.5,213.5,6/11/2020
University,50.2,69.3,6/11/2020
Valley Center,26.7,117.3,6/11/2020
Vista,149.5,138.4,6/11/2020
