Geography,"Allocated
Case
Count
(Raw)","COVID-19
Total Rate
(Suppressed)",Date
Alpine,100.5,622.1,9/15/2020
Anza-Borrego Springs,18.1,346.6,9/15/2020
Carlsbad,783.8,619.7,9/15/2020
Central Region,9604.0,1864.3,9/15/2020
Central San Diego,3152.0,1494.6,9/15/2020
Chula Vista,2915.2,2349.8,9/15/2020
City of Carlsbad,679.4,589.5,9/15/2020
City of Chula Vista,5457.1,2010.4,9/15/2020
City of Coronado,178.0,735.6,9/15/2020
City of Del Mar,24.1,544.6,9/15/2020
City of El Cajon,1779.8,1682.8,9/15/2020
City of Encinitas,352.9,556.9,9/15/2020
City of Escondido,1888.0,1236.0,9/15/2020
City of Imperial Beach,544.0,1981.9,9/15/2020
City of La Mesa,633.7,1042.4,9/15/2020
City of Lemon Grove,447.0,1642.9,9/15/2020
City of National City,1551.1,2492.9,9/15/2020
City of Oceanside,1717.7,965.1,9/15/2020
City of Poway,276.3,549.2,9/15/2020
City of San Diego,18740.8,1319.3,9/15/2020
City of San Marcos,978.0,996.0,9/15/2020
City of Santee,431.8,739.6,9/15/2020
City of Solana Beach,55.3,396.4,9/15/2020
City of Vista,1065.8,1045.3,9/15/2020
Coastal,797.8,917.3,9/15/2020
Coronado,178.0,735.6,9/15/2020
Del Mar-Mira Mesa,963.1,563.3,9/15/2020
East Region,6580.0,1346.3,9/15/2020
El Cajon,2179.3,1646.9,9/15/2020
Elliott-Navajo,657.6,686.6,9/15/2020
Escondido,2094.4,1194.9,9/15/2020
Fallbrook,509.3,1027.4,9/15/2020
Harbison Crest,216.9,1431.3,9/15/2020
Harbison Crest-El Cajon,2396.2,1624.7,9/15/2020
Jamul,307.1,1620.2,9/15/2020
Kearny Mesa,1470.8,860.1,9/15/2020
La Mesa,656.6,1043.4,9/15/2020
Laguna-Pine Valley,22.2,387.3,9/15/2020
Lakeside,622.7,1034.8,9/15/2020
Lemon Grove,531.5,1715.3,9/15/2020
Mid-City,3256.9,1930.4,9/15/2020
Miramar,51.9,707.2,9/15/2020
Mountain Empire,103.5,1257.7,9/15/2020
National City,1546.0,2504.7,9/15/2020
North Central Region,4712.0,704.4,9/15/2020
North Coastal Region,4331.0,772.5,9/15/2020
North County,9777.0,831.1,9/15/2020
North Inland Region,5446.0,884.4,9/15/2020
North San Diego,604.0,495.4,9/15/2020
Oceanside,1676.1,989.0,9/15/2020
Palomar-Julian,37.3,476.9,9/15/2020
Pauma,134.9,1598.4,9/15/2020
Pendleton,98.0,237.4,9/15/2020
Peninsula,523.6,738.4,9/15/2020
Poway,490.5,541.7,9/15/2020
Ramona,312.0,870.4,9/15/2020
San Diego County,43445.0,1296.2,9/15/2020
San Dieguito,550.5,541.5,9/15/2020
San Marcos,1064.6,1030.1,9/15/2020
Santee,419.3,755.5,9/15/2020
South Bay,4429.2,3355.9,9/15/2020
South Region,11912.0,2370.4,9/15/2020
Southeastern San Diego,3346.4,2333.6,9/15/2020
Spring Valley,1480.5,1749.5,9/15/2020
Supervisorial District 1,14786.4,2352.5,9/15/2020
Supervisorial District 2,8185.8,1243.8,9/15/2020
Supervisorial District 3,4699.5,697.2,9/15/2020
Supervisorial District 4,8996.2,1261.8,9/15/2020
Supervisorial District 5,5917.1,872.7,9/15/2020
Sweetwater,2653.0,1732.9,9/15/2020
Unincorporated,5784.2,1121.7,9/15/2020
University,266.6,367.4,9/15/2020
Valley Center,210.2,905.8,9/15/2020
Vista,1152.9,1074.8,9/15/2020
