Geography,"Allocated
Case Count (Raw)","COVID-19
Total Rate (Suppressed)",date
Alpine,7.47,46.425,5/17/2020
Anza-Borrego Springs,,,5/17/2020
Carlsbad,77.84,62.062,5/17/2020
Central Region,1258,242.955,5/17/2020
Central San Diego,459.05,219.458,5/17/2020
Chula Vista,467.44,379.739,5/17/2020
City of Carlsbad,72.06,62.865,5/17/2020
City of Chula Vista,857.29,320.477,5/17/2020
City of Coronado,18,83.014,5/17/2020
City of Del Mar,5.33,123.314,5/17/2020
City of El Cajon,320.41,303.539,5/17/2020
City of Encinitas,38.04,60.231,5/17/2020
City of Escondido,177.95,117.475,5/17/2020
City of Imperial Beach,58,205.944,5/17/2020
City of La Mesa,98.51,160.809,5/17/2020
City of Lemon Grove,55,204.964,5/17/2020
City of National City,295.77,475.073,5/17/2020
City of Oceanside,139.15,78.456,5/17/2020
City of Poway,34.92,69.562,5/17/2020
City of San Diego,2753.51,193.93,5/17/2020
City of San Marcos,67.44,70.425,5/17/2020
City of Santee,49.5,86.85,5/17/2020
City of Solana Beach,7.14,51.251,5/17/2020
City of Vista,92.4,89.373,5/17/2020
Coastal,71.43,83.111,5/17/2020
Coronado,18,83.014,5/17/2020
Del Mar-Mira Mesa,148.61,86.972,5/17/2020
East Region,955,196.702,5/17/2020
El Cajon,382.28,290.884,5/17/2020
Elliott-Navajo,87.56,92.57,5/17/2020
Escondido,198.68,114.666,5/17/2020
Fallbrook,26.01,53.535,5/17/2020
Harbison Crest,34.53,227.938,5/17/2020
Harbison Crest-El Cajon,416.81,284.379,5/17/2020
Jamul,42.79,218.421,5/17/2020
Kearny Mesa,205.54,120.365,5/17/2020
La Mesa,100.62,158.868,5/17/2020
Laguna-Pine Valley,,,5/17/2020
Lakeside,85.32,143.198,5/17/2020
Lemon Grove,67.82,220.232,5/17/2020
Mid-City,342.83,200.353,5/17/2020
Miramar,8.03,116.818,5/17/2020
Mountain Empire,13.45,163.654,5/17/2020
National City,294.94,477.756,5/17/2020
North Central Region,623,93.631,5/17/2020
North Coastal Region,399,70.963,5/17/2020
North County,929,79.41,5/17/2020
North Inland Region,530,87.228,5/17/2020
North San Diego,116.89,96.665,5/17/2020
Oceanside,137.82,81.356,5/17/2020
Palomar-Julian,,,5/17/2020
Pauma,5.16,63.375,5/17/2020
Pendleton,,,5/17/2020
Peninsula,80.57,115.209,5/17/2020
Poway,60.12,66.613,5/17/2020
Ramona,25.95,73.791,5/17/2020
San Diego County,5946,178.16,5/17/2020
San Dieguito,66.78,65.709,5/17/2020
San Marcos,74.75,74.036,5/17/2020
Santee,49.29,90.786,5/17/2020
South Bay,835.33,620.836,5/17/2020
South Region,2065,413.904,5/17/2020
Southeastern San Diego,479.18,329.162,5/17/2020
Spring Valley,185.87,221.182,5/17/2020
Supervisorial District 1,2456.39,391.175,5/17/2020
Supervisorial District 2,1108.66,169.377,5/17/2020
Supervisorial District 3,594.46,88.792,5/17/2020
Supervisorial District 4,1196.69,168.475,5/17/2020
Supervisorial District 5,473.8,70.178,5/17/2020
Sweetwater,412.53,275.262,5/17/2020
Unincorporated,689.59,134.39,5/17/2020
University,37.1,51.178,5/17/2020
Valley Center,14.79,64.966,5/17/2020
Vista,97.23,89.965,5/17/2020
