Geography,"Allocated
Case Count (Raw)","COVID-19
Total Rate (Suppressed)",date
Alpine,,,4/18/2020
Anza-Borrego Springs,,,4/18/2020
Carlsbad,52.99,42.252,4/18/2020
Central Region,506,97.723,4/18/2020
Central San Diego,219.79,105.076,4/18/2020
Chula Vista,120.61,97.98,4/18/2020
City of Carlsbad,50.86,44.37,4/18/2020
City of Chula Vista,253.23,94.664,4/18/2020
City of Coronado,6,27.671,4/18/2020
City of Del Mar,5.02,116.06,4/18/2020
City of El Cajon,121.4,115.009,4/18/2020
City of Encinitas,31.6,50.034,4/18/2020
City of Escondido,69.55,45.917,4/18/2020
City of Imperial Beach,14,49.711,4/18/2020
City of La Mesa,45.06,73.562,4/18/2020
City of Lemon Grove,19,70.806,4/18/2020
City of National City,64.45,103.521,4/18/2020
City of Oceanside,54.05,30.475,4/18/2020
City of Poway,20.95,41.737,4/18/2020
City of San Diego,1110.76,78.231,4/18/2020
City of San Marcos,29.18,30.471,4/18/2020
City of Santee,23.19,40.688,4/18/2020
City of Solana Beach,6.08,43.598,4/18/2020
City of Vista,34.77,33.637,4/18/2020
Coastal,55.72,64.832,4/18/2020
Coronado,6,27.671,4/18/2020
Del Mar-Mira Mesa,91.53,53.566,4/18/2020
East Region,381,78.475,4/18/2020
El Cajon,149.27,113.586,4/18/2020
Elliott-Navajo,58.62,61.98,4/18/2020
Escondido,80.34,46.367,4/18/2020
Fallbrook,9.33,19.207,4/18/2020
Harbison Crest,14.34,94.676,4/18/2020
Harbison Crest-El Cajon,163.62,111.632,4/18/2020
Jamul,15.84,80.858,4/18/2020
Kearny Mesa,106.03,62.091,4/18/2020
La Mesa,46.15,72.867,4/18/2020
Laguna-Pine Valley,,,4/18/2020
Lakeside,33.32,55.918,4/18/2020
Lemon Grove,23.36,75.856,4/18/2020
Mid-City,139.47,81.506,4/18/2020
Miramar,6.34,92.317,4/18/2020
Mountain Empire,,,4/18/2020
National City,63.92,103.536,4/18/2020
North Central Region,376,56.509,4/18/2020
North Coastal Region,214,38.06,4/18/2020
North County,466,39.833,4/18/2020
North Inland Region,252,41.474,4/18/2020
North San Diego,73.66,60.913,4/18/2020
Oceanside,51.92,30.65,4/18/2020
Palomar-Julian,,,4/18/2020
Pauma,,,4/18/2020
Pendleton,,,4/18/2020
Peninsula,39.12,55.938,4/18/2020
Poway,37.99,42.099,4/18/2020
Ramona,10.94,31.117,4/18/2020
San Diego County,2268,67.956,4/18/2020
San Dieguito,55.24,54.357,4/18/2020
San Marcos,29.6,29.314,4/18/2020
Santee,22.59,41.614,4/18/2020
South Bay,164.24,122.065,4/18/2020
South Region,506,101.422,4/18/2020
Southeastern San Diego,157.17,107.968,4/18/2020
Spring Valley,73.96,88.015,4/18/2020
Supervisorial District 1,626.22,99.724,4/18/2020
Supervisorial District 2,465.63,71.137,4/18/2020
Supervisorial District 3,341.99,51.082,4/18/2020
Supervisorial District 4,582.71,82.036,4/18/2020
Supervisorial District 5,218.46,32.357,4/18/2020
Sweetwater,139.02,92.761,4/18/2020
Unincorporated,275.84,53.758,4/18/2020
University,32.44,44.743,4/18/2020
Valley Center,6,26.336,4/18/2020
Vista,35.81,33.136,4/18/2020
