Geography,"Allocated
Case
Count
(Raw)","COVID-19
Total Rate
(Suppressed)",Date
Alpine,55.1,342.5,7/25/2020
Anza-Borrego Springs,15.4,301.1,7/25/2020
Carlsbad,494.7,394.4,7/25/2020
Central Region,5793.0,1118.8,7/25/2020
Central San Diego,1917.0,916.5,7/25/2020
Chula Vista,1839.0,1494.0,7/25/2020
City of Carlsbad,445.3,388.5,7/25/2020
City of Chula Vista,3475.1,1299.1,7/25/2020
City of Coronado,113.0,521.1,7/25/2020
City of Del Mar,17.6,406.2,7/25/2020
City of El Cajon,1173.9,1112.1,7/25/2020
City of Encinitas,236.4,374.3,7/25/2020
City of Escondido,1049.4,692.8,7/25/2020
City of Imperial Beach,342.0,1214.4,7/25/2020
City of La Mesa,417.7,681.8,7/25/2020
City of Lemon Grove,287.0,1069.5,7/25/2020
City of National City,1059.0,1700.9,7/25/2020
City of Oceanside,903.5,509.4,7/25/2020
City of Poway,174.6,347.8,7/25/2020
City of San Diego,11689.9,823.3,7/25/2020
City of San Marcos,532.8,556.3,7/25/2020
City of Santee,255.9,449.0,7/25/2020
City of Solana Beach,40.8,292.4,7/25/2020
City of Vista,618.8,598.6,7/25/2020
Coastal,557.5,648.7,7/25/2020
Coronado,113.0,521.1,7/25/2020
Del Mar-Mira Mesa,628.4,367.7,7/25/2020
East Region,4219.0,869.0,7/25/2020
El Cajon,1429.1,1087.5,7/25/2020
Elliott-Navajo,420.7,444.8,7/25/2020
Escondido,1159.2,669.0,7/25/2020
Fallbrook,266.5,548.5,7/25/2020
Harbison Crest,140.0,924.4,7/25/2020
Harbison Crest-El Cajon,1569.2,1070.6,7/25/2020
Jamul,210.6,1074.8,7/25/2020
Kearny Mesa,963.0,563.9,7/25/2020
La Mesa,430.9,680.4,7/25/2020
Laguna-Pine Valley,14.5,255.5,7/25/2020
Lakeside,358.6,601.9,7/25/2020
Lemon Grove,345.2,1120.9,7/25/2020
Mid-City,1714.8,1002.1,7/25/2020
Miramar,32.6,474.7,7/25/2020
Mountain Empire,58.9,716.6,7/25/2020
National City,1055.3,1709.4,7/25/2020
North Central Region,3111.0,467.6,7/25/2020
North Coastal Region,2533.0,450.5,7/25/2020
North County,5584.0,477.3,7/25/2020
North Inland Region,3051.0,502.1,7/25/2020
North San Diego,387.6,320.5,7/25/2020
Oceanside,888.4,524.4,7/25/2020
Palomar-Julian,15.3,199.5,7/25/2020
Pauma,66.7,819.1,7/25/2020
Pendleton,57.0,130.7,7/25/2020
Peninsula,355.8,508.7,7/25/2020
Poway,299.7,332.1,7/25/2020
Ramona,150.7,428.5,7/25/2020
San Diego County,26984.0,808.5,7/25/2020
San Dieguito,373.4,367.5,7/25/2020
San Marcos,584.9,579.3,7/25/2020
Santee,248.9,458.4,7/25/2020
South Bay,2798.6,2080.0,7/25/2020
South Region,7639.0,1531.1,7/25/2020
Southeastern San Diego,2258.2,1551.3,7/25/2020
Spring Valley,972.1,1156.8,7/25/2020
Supervisorial District 1,9601.9,1529.1,7/25/2020
Supervisorial District 2,5032.8,768.9,7/25/2020
Supervisorial District 3,2875.5,429.5,7/25/2020
Supervisorial District 4,5516.8,776.7,7/25/2020
Supervisorial District 5,3319.0,491.6,7/25/2020
Sweetwater,1706.2,1138.5,7/25/2020
Unincorporated,3513.3,684.7,7/25/2020
University,178.7,246.4,7/25/2020
Valley Center,119.3,524.0,7/25/2020
Vista,664.5,614.8,7/25/2020
