Geography,"Allocated
Case
Count
(Raw)","COVID-19
Total Rate
(Suppressed)",Date
Alpine,85.2,527.5,8/26/2020
Anza-Borrego Springs,18.1,346.6,8/26/2020
Carlsbad,675.1,533.7,8/26/2020
Central Region,7871.0,1527.9,8/26/2020
Central San Diego,2565.2,1216.3,8/26/2020
Chula Vista,2536.7,2044.7,8/26/2020
City of Carlsbad,592.2,513.8,8/26/2020
City of Chula Vista,4768.9,1756.9,8/26/2020
City of Coronado,159.0,657.1,8/26/2020
City of Del Mar,19.7,445.6,8/26/2020
City of El Cajon,1628.7,1540.0,8/26/2020
City of Encinitas,306.2,483.3,8/26/2020
City of Escondido,1609.5,1053.7,8/26/2020
City of Imperial Beach,468.0,1705.0,8/26/2020
City of La Mesa,560.5,921.9,8/26/2020
City of Lemon Grove,397.0,1459.1,8/26/2020
City of National City,1403.4,2255.4,8/26/2020
City of Oceanside,1386.3,778.9,8/26/2020
City of Poway,229.5,456.0,8/26/2020
City of San Diego,15915.1,1120.4,8/26/2020
City of San Marcos,819.9,835.0,8/26/2020
City of Santee,380.5,651.7,8/26/2020
City of Solana Beach,47.3,339.3,8/26/2020
City of Vista,919.5,901.9,8/26/2020
Coastal,714.1,820.9,8/26/2020
Coronado,159.0,657.1,8/26/2020
Del Mar-Mira Mesa,851.8,498.1,8/26/2020
East Region,5904.0,1208.0,8/26/2020
El Cajon,1990.7,1504.3,8/26/2020
Elliott-Navajo,544.4,568.4,8/26/2020
Escondido,1780.4,1015.7,8/26/2020
Fallbrook,429.8,867.0,8/26/2020
Harbison Crest,194.9,1286.7,8/26/2020
Harbison Crest-El Cajon,2185.6,1482.0,8/26/2020
Jamul,274.6,1448.8,8/26/2020
Kearny Mesa,1338.6,782.8,8/26/2020
La Mesa,579.4,920.8,8/26/2020
Laguna-Pine Valley,19.3,338.1,8/26/2020
Lakeside,548.7,911.9,8/26/2020
Lemon Grove,474.9,1532.6,8/26/2020
Mid-City,2386.6,1414.6,8/26/2020
Miramar,46.4,631.7,8/26/2020
Mountain Empire,86.4,1050.1,8/26/2020
National City,1399.2,2266.9,8/26/2020
North Central Region,4157.0,621.4,8/26/2020
North Coastal Region,3642.0,649.6,8/26/2020
North County,8257.0,701.9,8/26/2020
North Inland Region,4615.0,749.5,8/26/2020
North San Diego,510.7,418.8,8/26/2020
Oceanside,1359.5,802.2,8/26/2020
Palomar-Julian,35.3,450.8,8/26/2020
Pauma,119.9,1420.6,8/26/2020
Pendleton,74.0,179.2,8/26/2020
Peninsula,459.9,648.5,8/26/2020
Poway,396.2,437.5,8/26/2020
Ramona,258.6,721.6,8/26/2020
San Diego County,37499.0,1118.8,8/26/2020
San Dieguito,478.5,470.7,8/26/2020
San Marcos,898.8,869.7,8/26/2020
Santee,369.8,666.2,8/26/2020
South Bay,3914.4,2965.8,8/26/2020
South Region,10503.0,2090.0,8/26/2020
Southeastern San Diego,3046.0,2124.1,8/26/2020
Spring Valley,1332.4,1574.5,8/26/2020
Supervisorial District 1,13106.4,2085.2,8/26/2020
Supervisorial District 2,7037.0,1069.3,8/26/2020
Supervisorial District 3,4041.6,599.6,8/26/2020
Supervisorial District 4,7524.8,1055.4,8/26/2020
Supervisorial District 5,4982.1,734.8,8/26/2020
Sweetwater,2331.0,1522.6,8/26/2020
Unincorporated,5080.8,985.3,8/26/2020
University,233.3,321.6,8/26/2020
Valley Center,179.7,774.3,8/26/2020
Vista,994.6,927.2,8/26/2020
