Geography,"Allocated
Case Count (Raw)","COVID-19
Total Rate (Suppressed)",date
Alpine,,,5/3/2020
Anza-Borrego Springs,,,5/3/2020
Carlsbad,60.65,48.36,5/3/2020
Central Region,834,161.069,5/3/2020
Central San Diego,324.12,154.954,5/3/2020
Chula Vista,277.14,225.143,5/3/2020
City of Carlsbad,56.86,49.604,5/3/2020
City of Chula Vista,546.57,204.322,5/3/2020
City of Coronado,11,50.731,5/3/2020
City of Del Mar,5.33,123.314,5/3/2020
City of El Cajon,194.74,184.487,5/3/2020
City of Encinitas,30.6,48.451,5/3/2020
City of Escondido,123.08,81.255,5/3/2020
City of Imperial Beach,33,117.175,5/3/2020
City of La Mesa,77.52,126.533,5/3/2020
City of Lemon Grove,42,156.518,5/3/2020
City of National City,164.55,264.303,5/3/2020
City of Oceanside,86.08,48.534,5/3/2020
City of Poway,31.93,63.599,5/3/2020
City of San Diego,1930.53,135.967,5/3/2020
City of San Marcos,36.52,38.133,5/3/2020
City of Santee,35.34,62,5/3/2020
City of Solana Beach,6.14,44.082,5/3/2020
City of Vista,59.85,57.892,5/3/2020
Coastal,58.94,68.577,5/3/2020
Coronado,11,50.731,5/3/2020
Del Mar-Mira Mesa,128.78,75.366,5/3/2020
East Region,635,130.791,5/3/2020
El Cajon,236.46,179.929,5/3/2020
Elliott-Navajo,72.09,76.216,5/3/2020
Escondido,138.68,80.039,5/3/2020
Fallbrook,13.13,27.03,5/3/2020
Harbison Crest,23.52,155.245,5/3/2020
Harbison Crest-El Cajon,259.98,177.378,5/3/2020
Jamul,29.74,151.774,5/3/2020
Kearny Mesa,148.15,86.757,5/3/2020
La Mesa,78.84,124.476,5/3/2020
Laguna-Pine Valley,,,5/3/2020
Lakeside,58.59,98.333,5/3/2020
Lemon Grove,49.91,162.06,5/3/2020
Mid-City,229.47,134.104,5/3/2020
Miramar,9.66,140.531,5/3/2020
Mountain Empire,5,60.847,5/3/2020
National City,163.71,265.178,5/3/2020
North Central Region,504,75.747,5/3/2020
North Coastal Region,282,50.154,5/3/2020
North County,668,57.1,5/3/2020
North Inland Region,386,63.528,5/3/2020
North San Diego,101.51,83.949,5/3/2020
Oceanside,84.84,50.081,5/3/2020
Palomar-Julian,,,5/3/2020
Pauma,,,5/3/2020
Pendleton,,,5/3/2020
Peninsula,68.57,98.045,5/3/2020
Poway,53.87,59.698,5/3/2020
Ramona,18.98,53.957,5/3/2020
San Diego County,4020,120.451,5/3/2020
San Dieguito,54.38,53.513,5/3/2020
San Marcos,39.74,39.364,5/3/2020
Santee,34.75,64.009,5/3/2020
South Bay,534.61,397.337,5/3/2020
South Region,1299,260.369,5/3/2020
Southeastern San Diego,298.72,205.199,5/3/2020
Spring Valley,125.67,149.549,5/3/2020
Supervisorial District 1,1533.45,244.199,5/3/2020
Supervisorial District 2,756.32,115.548,5/3/2020
Supervisorial District 3,481.42,71.907,5/3/2020
Supervisorial District 4,861.51,121.287,5/3/2020
Supervisorial District 5,307.3,45.516,5/3/2020
Sweetwater,284.4,189.764,5/3/2020
Unincorporated,468.37,91.279,5/3/2020
University,34.2,47.169,5/3/2020
Valley Center,8.86,38.907,5/3/2020
Vista,62.21,57.564,5/3/2020
