Geography,"Allocated
Case
Count
(Raw)","COVID-19
Total Rate
(Suppressed)",Date
Alpine,138.1,854.9,11/3/2020
Anza-Borrego Springs,22.9,437.6,11/3/2020
Carlsbad,1058.7,837.1,11/3/2020
Central Region,12341.0,2395.7,11/3/2020
Central San Diego,4191.8,1987.6,11/3/2020
Chula Vista,3908.6,3150.6,11/3/2020
City of Carlsbad,905.5,785.7,11/3/2020
City of Chula Vista,7361.7,2712.0,11/3/2020
City of Coronado,223.0,921.5,11/3/2020
City of Del Mar,33.8,763.9,11/3/2020
City of El Cajon,2372.3,2243.1,11/3/2020
City of Encinitas,515.4,813.3,11/3/2020
City of Escondido,2604.0,1704.7,11/3/2020
City of Imperial Beach,718.0,2615.9,11/3/2020
City of La Mesa,796.2,1309.7,11/3/2020
City of Lemon Grove,555.0,2039.8,11/3/2020
City of National City,1956.3,3144.0,11/3/2020
City of Oceanside,2408.6,1353.3,11/3/2020
City of Poway,400.0,795.0,11/3/2020
City of San Diego,24813.3,1746.8,11/3/2020
City of San Marcos,1314.3,1338.4,11/3/2020
City of Santee,631.7,1082.0,11/3/2020
City of Solana Beach,86.4,619.6,11/3/2020
City of Vista,1515.2,1486.1,11/3/2020
Coastal,1169.4,1344.4,11/3/2020
Coronado,223.0,921.5,11/3/2020
Del Mar-Mira Mesa,1295.2,757.4,11/3/2020
East Region,8768.0,1794.0,11/3/2020
El Cajon,2913.4,2201.6,11/3/2020
Elliott-Navajo,927.0,968.0,11/3/2020
Escondido,2890.1,1648.8,11/3/2020
Fallbrook,658.3,1327.8,11/3/2020
Harbison Crest,292.2,1928.3,11/3/2020
Harbison Crest-El Cajon,3205.5,2173.5,11/3/2020
Jamul,418.5,2208.0,11/3/2020
Kearny Mesa,2055.8,1202.2,11/3/2020
La Mesa,825.5,1311.8,11/3/2020
Laguna-Pine Valley,30.0,523.8,11/3/2020
Lakeside,850.2,1413.0,11/3/2020
Lemon Grove,662.3,2137.5,11/3/2020
Mid-City,4174.8,2474.5,11/3/2020
Miramar,65.4,890.9,11/3/2020
Mountain Empire,176.5,2145.1,11/3/2020
National City,1948.7,3157.1,11/3/2020
North Central Region,6605.0,987.3,11/3/2020
North Coastal Region,6062.0,1081.3,11/3/2020
North County,13469.0,1144.9,11/3/2020
North Inland Region,7407.0,1202.9,11/3/2020
North San Diego,803.1,658.6,11/3/2020
Oceanside,2349.5,1386.3,11/3/2020
Palomar-Julian,55.9,714.5,11/3/2020
Pauma,158.3,1875.7,11/3/2020
Pendleton,117.0,283.4,11/3/2020
Peninsula,746.0,1052.1,11/3/2020
Poway,684.7,756.2,11/3/2020
Ramona,449.3,1253.5,11/3/2020
San Diego County,58106.0,1733.6,11/3/2020
San Dieguito,800.7,787.6,11/3/2020
San Marcos,1436.3,1389.8,11/3/2020
Santee,610.4,1099.7,11/3/2020
South Bay,5844.2,4428.0,11/3/2020
South Region,15793.0,3142.7,11/3/2020
Southeastern San Diego,4189.1,2921.2,11/3/2020
Spring Valley,1933.6,2284.9,11/3/2020
Supervisorial District 1,19364.6,3080.8,11/3/2020
Supervisorial District 2,10994.2,1670.6,11/3/2020
Supervisorial District 3,6444.9,956.1,11/3/2020
Supervisorial District 4,12084.8,1694.9,11/3/2020
Supervisorial District 5,8087.5,1192.8,11/3/2020
Sweetwater,3600.3,2351.7,11/3/2020
Unincorporated,7765.3,1505.9,11/3/2020
University,381.7,526.1,11/3/2020
Valley Center,289.4,1247.1,11/3/2020
Vista,1630.4,1519.9,11/3/2020
