Geography,"Allocated
Case
Count
(Raw)","COVID-19
Total Rate
(Suppressed)",Date
Alpine,367.2,2273.2,12/4/2020
Anza-Borrego Springs,31.6,604.9,12/4/2020
Carlsbad,1711.8,1353.4,12/4/2020
Central Region,17637.0,3423.7,12/4/2020
Central San Diego,5924.0,2808.9,12/4/2020
Chula Vista,5751.7,4636.2,12/4/2020
City of Carlsbad,1443.4,1252.3,12/4/2020
City of Chula Vista,11064.9,4076.3,12/4/2020
City of Coronado,336.0,1388.5,12/4/2020
City of Del Mar,49.8,1124.6,12/4/2020
City of El Cajon,4021.0,3801.9,12/4/2020
City of Encinitas,836.8,1320.6,12/4/2020
City of Escondido,4048.0,2650.0,12/4/2020
City of Imperial Beach,1069.0,3894.6,12/4/2020
City of La Mesa,1263.7,2078.8,12/4/2020
City of Lemon Grove,891.0,3274.8,12/4/2020
City of National City,2693.3,4328.6,12/4/2020
City of Oceanside,3804.6,2137.7,12/4/2020
City of Poway,676.4,1344.2,12/4/2020
City of San Diego,36567.5,2574.3,12/4/2020
City of San Marcos,817.2,832.3,12/4/2020
City of Santee,1115.2,1910.1,12/4/2020
City of Solana Beach,144.9,1039.0,12/4/2020
City of Vista,2631.4,2580.8,12/4/2020
Coastal,1742.4,2003.2,12/4/2020
Coronado,336.0,1388.5,12/4/2020
Del Mar-Mira Mesa,2043.4,1195.0,12/4/2020
East Region,14584.0,2984.0,12/4/2020
El Cajon,4945.6,3737.4,12/4/2020
Elliott-Navajo,1495.8,1561.9,12/4/2020
Escondido,4505.9,2570.6,12/4/2020
Fallbrook,993.7,2004.3,12/4/2020
Harbison Crest,499.9,3299.7,12/4/2020
Harbison Crest-El Cajon,5445.6,3692.4,12/4/2020
Jamul,682.6,3601.4,12/4/2020
Kearny Mesa,3237.8,1893.4,12/4/2020
La Mesa,1310.9,2083.2,12/4/2020
Laguna-Pine Valley,82.5,1441.8,12/4/2020
Lakeside,1408.0,2339.9,12/4/2020
Lemon Grove,1046.7,3377.9,12/4/2020
Mid-City,5971.0,3539.1,12/4/2020
Miramar,104.9,1429.4,12/4/2020
Mountain Empire,312.9,3803.0,12/4/2020
National City,2681.2,4343.9,12/4/2020
North Central Region,10273.0,1535.7,12/4/2020
North Coastal Region,9860.0,1758.7,12/4/2020
North County,20336.0,1728.7,12/4/2020
North Inland Region,10476.0,1701.3,12/4/2020
North San Diego,1284.2,1053.2,12/4/2020
Oceanside,3711.4,2189.9,12/4/2020
Palomar-Julian,85.0,1086.3,12/4/2020
Pauma,228.0,2701.1,12/4/2020
Pendleton,162.0,392.4,12/4/2020
Peninsula,1085.8,1531.3,12/4/2020
Poway,1112.7,1228.8,12/4/2020
Ramona,811.5,2264.1,12/4/2020
San Diego County,89206.0,2661.4,12/4/2020
San Dieguito,1297.2,1275.9,12/4/2020
San Marcos,1011.3,978.5,12/4/2020
Santee,1072.9,1933.1,12/4/2020
South Bay,8536.4,6467.9,12/4/2020
South Region,23233.0,4623.1,12/4/2020
Southeastern San Diego,6066.3,4230.3,12/4/2020
Spring Valley,2989.5,3532.5,12/4/2020
Supervisorial District 1,28331.2,4507.4,12/4/2020
Supervisorial District 2,18079.8,2747.3,12/4/2020
Supervisorial District 3,10202.3,1513.5,12/4/2020
Supervisorial District 4,17742.9,2488.5,12/4/2020
Supervisorial District 5,11706.9,1726.6,12/4/2020
Sweetwater,5512.8,3600.9,12/4/2020
Unincorporated,12588.8,2441.4,12/4/2020
University,622.8,858.4,12/4/2020
Valley Center,488.7,2106.0,12/4/2020
Vista,2797.0,2607.5,12/4/2020
