Geography,"Allocated
Case Count (Raw)","COVID-19
Total Rate (Suppressed)",date
Alpine,12.01,74.718,6/6/2020
Anza-Borrego Springs,8.21,160.392,6/6/2020
Carlsbad,95.71,76.311,6/6/2020
Central Region,1842.00,355.742,6/6/2020
Central San Diego,637.28,304.670,6/6/2020
Chula Vista,697.53,566.656,6/6/2020
City of Carlsbad,85.66,74.730,6/6/2020
City of Chula Vista,1258.95,470.629,6/6/2020
City of Coronado,23.00,106.074,6/6/2020
City of Del Mar,6.58,152.328,6/6/2020
City of El Cajon,445.69,422.230,6/6/2020
City of Encinitas,61.36,97.156,6/6/2020
City of Escondido,276.01,182.214,6/6/2020
City of Imperial Beach,120.00,426.091,6/6/2020
City of La Mesa,134.74,219.942,6/6/2020
City of Lemon Grove,79.00,294.403,6/6/2020
City of National City,416.21,668.543,6/6/2020
City of Oceanside,202.23,114.024,6/6/2020
City of Poway,44.90,89.437,6/6/2020
City of San Diego,3862.90,272.065,6/6/2020
City of San Marcos,105.32,109.975,6/6/2020
City of Santee,66.71,117.050,6/6/2020
City of Solana Beach,11.41,81.866,6/6/2020
City of Vista,124.30,120.234,6/6/2020
Coastal,95.18,110.753,6/6/2020
Coronado,23.00,106.074,6/6/2020
Del Mar-Mira Mesa,186.98,109.425,6/6/2020
East Region,1366.00,281.355,6/6/2020
El Cajon,532.05,404.849,6/6/2020
Elliott-Navajo,124.96,132.112,6/6/2020
Escondido,303.36,175.078,6/6/2020
Fallbrook,38.95,80.170,6/6/2020
Harbison Crest,48.94,323.065,6/6/2020
Harbison Crest-El Cajon,580.99,396.396,6/6/2020
Jamul,64.16,327.501,6/6/2020
Kearny Mesa,279.40,163.621,6/6/2020
La Mesa,138.55,218.740,6/6/2020
Laguna-Pine Valley,,,6/6/2020
Lakeside,126.12,211.686,6/6/2020
Lemon Grove,98.73,320.594,6/6/2020
Mid-City,509.42,297.714,6/6/2020
Miramar,10.03,145.887,6/6/2020
Mountain Empire,17.60,214.152,6/6/2020
National City,415.24,672.610,6/6/2020
North Central Region,829.00,124.591,6/6/2020
North Coastal Region,547.00,97.285,6/6/2020
North County,1313.00,112.234,6/6/2020
North Inland Region,766.00,126.069,6/6/2020
North San Diego,136.73,113.073,6/6/2020
Oceanside,198.71,117.299,6/6/2020
Palomar-Julian,,,6/6/2020
Pauma,7.03,86.346,6/6/2020
Pendleton,,,6/6/2020
Peninsula,103.02,147.313,6/6/2020
Poway,74.49,82.545,6/6/2020
Ramona,45.72,129.992,6/6/2020
San Diego County,8476.00,253.966,6/6/2020
San Dieguito,98.54,96.970,6/6/2020
San Marcos,119.50,118.360,6/6/2020
Santee,66.94,123.298,6/6/2020
South Bay,1210.04,899.333,6/6/2020
South Region,2986.00,598.507,6/6/2020
Southeastern San Diego,726.04,498.737,6/6/2020
Spring Valley,284.23,338.230,6/6/2020
Supervisorial District 1,3585.64,571.008,6/6/2020
Supervisorial District 2,1601.52,244.673,6/6/2020
Supervisorial District 3,809.82,120.959,6/6/2020
Supervisorial District 4,1670.53,235.184,6/6/2020
Supervisorial District 5,668.49,99.015,6/6/2020
Sweetwater,587.59,392.071,6/6/2020
Unincorporated,1011.01,197.031,6/6/2020
University,47.25,65.176,6/6/2020
Valley Center,26.58,116.764,6/6/2020
Vista,131.69,121.847,6/6/2020
