Geography,"Allocated
Case
Count
(Raw)","COVID-19
Total Rate
(Suppressed)",Date
Alpine,34.8,216.7,7/7/2020
Anza-Borrego Springs,13.4,261.9,7/7/2020
Carlsbad,305.2,243.4,7/7/2020
Central Region,3942.0,761.3,7/7/2020
Central San Diego,1317.0,629.6,7/7/2020
Chula Vista,1287.1,1045.6,7/7/2020
City of Carlsbad,271.4,236.8,7/7/2020
City of Chula Vista,2386.9,892.3,7/7/2020
City of Coronado,68.0,313.6,7/7/2020
City of Del Mar,12.5,290.1,7/7/2020
City of El Cajon,776.5,735.6,7/7/2020
City of Encinitas,166.8,264.0,7/7/2020
City of Escondido,662.0,437.0,7/7/2020
City of Imperial Beach,243.0,862.8,7/7/2020
City of La Mesa,258.2,421.4,7/7/2020
City of Lemon Grove,182.0,678.2,7/7/2020
City of National City,771.0,1238.3,7/7/2020
City of Oceanside,568.0,320.2,7/7/2020
City of Poway,105.8,210.7,7/7/2020
City of San Diego,7861.8,553.7,7/7/2020
City of San Marcos,346.0,361.3,7/7/2020
City of Santee,159.3,279.5,7/7/2020
City of Solana Beach,30.7,220.1,7/7/2020
City of Vista,389.5,376.8,7/7/2020
Coastal,355.6,413.8,7/7/2020
Coronado,68.0,313.6,7/7/2020
Del Mar-Mira Mesa,420.5,246.1,7/7/2020
East Region,2730.0,562.3,7/7/2020
El Cajon,942.4,717.1,7/7/2020
Elliott-Navajo,258.6,273.4,7/7/2020
Escondido,736.1,424.8,7/7/2020
Fallbrook,168.4,346.5,7/7/2020
Harbison Crest,92.3,609.4,7/7/2020
Harbison Crest-El Cajon,1034.7,706.0,7/7/2020
Jamul,145.0,739.9,7/7/2020
Kearny Mesa,617.7,361.7,7/7/2020
La Mesa,267.0,421.5,7/7/2020
Laguna-Pine Valley,7.6,134.0,7/7/2020
Lakeside,239.7,402.4,7/7/2020
Lemon Grove,220.1,714.8,7/7/2020
Mid-City,1163.7,680.1,7/7/2020
Miramar,19.4,283.0,7/7/2020
Mountain Empire,45.3,550.8,7/7/2020
National City,768.6,1245.0,7/7/2020
North Central Region,1974.0,296.7,7/7/2020
North Coastal Region,1583.0,281.5,7/7/2020
North County,3518.0,300.7,7/7/2020
North Inland Region,1935.0,318.5,7/7/2020
North San Diego,255.5,211.3,7/7/2020
Oceanside,555.7,328.0,7/7/2020
Palomar-Julian,9.5,123.7,7/7/2020
Pauma,27.6,338.6,7/7/2020
Pendleton,6.0,13.8,7/7/2020
Peninsula,214.8,307.2,7/7/2020
Poway,181.1,200.7,7/7/2020
Ramona,102.1,290.3,7/7/2020
San Diego County,17842.0,534.6,7/7/2020
San Dieguito,262.2,258.0,7/7/2020
San Marcos,375.3,371.7,7/7/2020
Santee,155.8,286.9,7/7/2020
South Bay,1973.9,1467.1,7/7/2020
South Region,5336.0,1069.5,7/7/2020
Southeastern San Diego,1523.2,1046.3,7/7/2020
Spring Valley,613.7,730.3,7/7/2020
Supervisorial District 1,6671.6,1062.4,7/7/2020
Supervisorial District 2,3249.5,496.4,7/7/2020
Supervisorial District 3,1865.7,278.7,7/7/2020
Supervisorial District 4,3671.7,516.9,7/7/2020
Supervisorial District 5,2041.6,302.4,7/7/2020
Sweetwater,1151.7,768.5,7/7/2020
Unincorporated,2240.8,436.7,7/7/2020
University,115.8,159.8,7/7/2020
Valley Center,67.1,294.9,7/7/2020
Vista,415.4,384.3,7/7/2020
