Geography,"Allocated
Case
Count
(Raw)","COVID-19
Total Rate
(Suppressed)",Date
Alpine,117.8,729.0,10/9/2020
Anza-Borrego Springs,18.9,362.4,10/9/2020
Carlsbad,892.8,705.9,10/9/2020
Central Region,11002.0,2135.7,10/9/2020
Central San Diego,3619.2,1716.1,10/9/2020
Chula Vista,3406.3,2745.7,10/9/2020
City of Carlsbad,767.2,665.7,10/9/2020
City of Chula Vista,6421.6,2365.7,10/9/2020
City of Coronado,193.0,797.6,10/9/2020
City of Del Mar,27.5,622.4,10/9/2020
City of El Cajon,1979.9,1872.1,10/9/2020
City of Encinitas,422.8,667.3,10/9/2020
City of Escondido,2184.9,1430.3,10/9/2020
City of Imperial Beach,640.0,2331.7,10/9/2020
City of La Mesa,715.8,1177.4,10/9/2020
City of Lemon Grove,504.0,1852.4,10/9/2020
City of National City,1723.7,2770.3,10/9/2020
City of Oceanside,2030.1,1140.7,10/9/2020
City of Poway,334.2,664.2,10/9/2020
City of San Diego,21670.5,1525.6,10/9/2020
City of San Marcos,1120.4,1141.0,10/9/2020
City of Santee,541.1,926.8,10/9/2020
City of Solana Beach,64.0,459.2,10/9/2020
City of Vista,1245.1,1221.1,10/9/2020
Coastal,1013.6,1165.3,10/9/2020
Coronado,193.0,797.6,10/9/2020
Del Mar-Mira Mesa,1111.2,649.9,10/9/2020
East Region,7463.0,1527.0,10/9/2020
El Cajon,2427.8,1834.7,10/9/2020
Elliott-Navajo,759.1,792.7,10/9/2020
Escondido,2423.4,1382.6,10/9/2020
Fallbrook,574.6,1159.0,10/9/2020
Harbison Crest,242.9,1602.9,10/9/2020
Harbison Crest-El Cajon,2670.7,1810.9,10/9/2020
Jamul,352.3,1858.5,10/9/2020
Kearny Mesa,1743.7,1019.7,10/9/2020
La Mesa,741.4,1178.1,10/9/2020
Laguna-Pine Valley,22.4,392.4,10/9/2020
Lakeside,710.7,1181.1,10/9/2020
Lemon Grove,599.2,1933.9,10/9/2020
Mid-City,3817.1,2262.5,10/9/2020
Miramar,58.4,795.5,10/9/2020
Mountain Empire,123.7,1503.2,10/9/2020
National City,1717.4,2782.3,10/9/2020
North Central Region,5608.0,838.3,10/9/2020
North Coastal Region,5056.0,901.8,10/9/2020
North County,11347.0,964.6,10/9/2020
North Inland Region,6291.0,1021.7,10/9/2020
North San Diego,690.6,566.3,10/9/2020
Oceanside,1978.5,1167.4,10/9/2020
Palomar-Julian,50.2,641.9,10/9/2020
Pauma,142.6,1689.6,10/9/2020
Pendleton,99.0,239.8,10/9/2020
Peninsula,626.5,883.5,10/9/2020
Poway,572.0,631.7,10/9/2020
Ramona,378.0,1054.5,10/9/2020
San Diego County,50143.0,1496.0,10/9/2020
San Dieguito,654.2,643.5,10/9/2020
San Marcos,1221.1,1181.5,10/9/2020
Santee,522.1,940.6,10/9/2020
South Bay,5075.7,3845.8,10/9/2020
South Region,13764.0,2738.9,10/9/2020
Southeastern San Diego,3748.6,2614.1,10/9/2020
Spring Valley,1676.2,1980.7,10/9/2020
Supervisorial District 1,16968.7,2699.7,10/9/2020
Supervisorial District 2,9395.9,1427.7,10/9/2020
Supervisorial District 3,5423.5,804.6,10/9/2020
Supervisorial District 4,10560.2,1481.1,10/9/2020
Supervisorial District 5,6835.7,1008.1,10/9/2020
Sweetwater,3140.9,2051.6,10/9/2020
Unincorporated,6598.1,1279.6,10/9/2020
University,325.8,449.0,10/9/2020
Valley Center,247.1,1065.1,10/9/2020
Vista,1348.1,1256.7,10/9/2020
