Geography,"Allocated
API Case
Count
(Raw)","COVID-19
Total API
Rate
(Suppressed)",Date
Alpine,,,7/14/2020
Anza-Borrego Springs,,,7/14/2020
Carlsbad,16.7,163.6,7/14/2020
Central Region,299.0,498.0,7/14/2020
Central San Diego,57.9,387.0,7/14/2020
Chula Vista,58.6,568.6,7/14/2020
City of Carlsbad,13.1,138.3,7/14/2020
City of Chula Vista,186.9,523.0,7/14/2020
City of Coronado,,,7/14/2020
City of Del Mar,,,7/14/2020
City of El Cajon,32.3,666.9,7/14/2020
City of Encinitas,,,7/14/2020
City of Escondido,33.9,317.8,7/14/2020
City of Imperial Beach,6.0,261.3,7/14/2020
City of La Mesa,11.5,309.1,7/14/2020
City of Lemon Grove,5.0,311.5,7/14/2020
City of National City,53.7,508.0,7/14/2020
City of Oceanside,32.0,233.1,7/14/2020
City of Poway,16.0,260.7,7/14/2020
City of San Diego,618.9,276.3,7/14/2020
City of San Marcos,17.3,194.0,7/14/2020
City of Santee,14.1,507.2,7/14/2020
City of Solana Beach,,,7/14/2020
City of Vista,13.8,224.2,7/14/2020
Coastal,18.3,307.1,7/14/2020
Coronado,,,7/14/2020
Del Mar-Mira Mesa,103.6,188.5,7/14/2020
East Region,107.0,420.6,7/14/2020
El Cajon,38.3,647.4,7/14/2020
Elliott-Navajo,17.0,161.2,7/14/2020
Escondido,37.8,306.9,7/14/2020
Fallbrook,,,7/14/2020
Harbison Crest,,,7/14/2020
Harbison Crest-El Cajon,41.7,639.3,7/14/2020
Jamul,5.9,326.6,7/14/2020
Kearny Mesa,56.3,246.1,7/14/2020
La Mesa,11.7,307.0,7/14/2020
Laguna-Pine Valley,,,7/14/2020
Lakeside,8.1,334.5,7/14/2020
Lemon Grove,10.2,425.9,7/14/2020
Mid-City,83.4,378.3,7/14/2020
Miramar,6.6,261.6,7/14/2020
Mountain Empire,,,7/14/2020
National City,53.5,508.8,7/14/2020
North Central Region,215.0,179.6,7/14/2020
North Coastal Region,70.0,183.8,7/14/2020
North County,215.0,190.0,7/14/2020
North Inland Region,145.0,193.1,7/14/2020
North San Diego,51.5,165.9,7/14/2020
Oceanside,28.8,221.8,7/14/2020
Palomar-Julian,,,7/14/2020
Pauma,,,7/14/2020
Pendleton,,,7/14/2020
Peninsula,,,7/14/2020
Poway,28.1,176.4,7/14/2020
Ramona,,,7/14/2020
San Diego County,1147.0,302.8,7/14/2020
San Dieguito,8.8,146.7,7/14/2020
San Marcos,18.5,197.0,7/14/2020
Santee,13.1,499.6,7/14/2020
South Bay,57.1,501.2,7/14/2020
South Region,311.0,514.0,7/14/2020
Southeastern San Diego,158.7,672.7,7/14/2020
Spring Valley,22.2,365.4,7/14/2020
Supervisorial District 1,390.6,528.8,7/14/2020
Supervisorial District 2,145.9,357.6,7/14/2020
Supervisorial District 3,233.2,173.0,7/14/2020
Supervisorial District 4,289.2,358.5,7/14/2020
Supervisorial District 5,88.2,180.9,7/14/2020
Sweetwater,131.7,507.3,7/14/2020
Unincorporated,83.6,253.4,7/14/2020
University,12.7,62.0,7/14/2020
Valley Center,,,7/14/2020
Vista,14.2,234.9,7/14/2020
