Geography,"Allocated
Age0_9
Case
Count
(Raw)","COVID-19
Total Age0_9
Rate
(Suppressed)",Date
Alpine,,,7/14/2020
Anza-Borrego Springs,,,7/14/2020
Carlsbad,14.7,98.1,7/14/2020
Central Region,111.0,155.1,7/14/2020
Central San Diego,21.2,81.1,7/14/2020
Chula Vista,48.2,250.2,7/14/2020
City of Carlsbad,11.3,84.5,7/14/2020
City of Chula Vista,99.6,236.1,7/14/2020
City of Coronado,,,7/14/2020
City of Del Mar,,,7/14/2020
City of El Cajon,37.5,256.4,7/14/2020
City of Encinitas,12.3,165.7,7/14/2020
City of Escondido,35.9,157.6,7/14/2020
City of Imperial Beach,9.0,213.1,7/14/2020
City of La Mesa,6.7,90.7,7/14/2020
City of Lemon Grove,8.0,202.7,7/14/2020
City of National City,23.4,247.5,7/14/2020
City of Oceanside,30.0,118.5,7/14/2020
City of Poway,6.0,89.3,7/14/2020
City of San Diego,213.4,115.4,7/14/2020
City of San Marcos,21.7,154.1,7/14/2020
City of Santee,7.0,93.5,7/14/2020
City of Solana Beach,,,7/14/2020
City of Vista,20.3,128.1,7/14/2020
Coastal,,,7/14/2020
Coronado,,,7/14/2020
Del Mar-Mira Mesa,16.5,77.2,7/14/2020
East Region,109.0,166.4,7/14/2020
El Cajon,44.5,245.1,7/14/2020
Elliott-Navajo,,,7/14/2020
Escondido,39.8,154.2,7/14/2020
Fallbrook,8.3,129.9,7/14/2020
Harbison Crest,,,7/14/2020
Harbison Crest-El Cajon,47.6,235.2,7/14/2020
Jamul,5.1,188.4,7/14/2020
Kearny Mesa,18.8,85.6,7/14/2020
La Mesa,7.1,92.5,7/14/2020
Laguna-Pine Valley,,,7/14/2020
Lakeside,6.3,79.6,7/14/2020
Lemon Grove,9.3,203.1,7/14/2020
Mid-City,43.4,179.1,7/14/2020
Miramar,,,7/14/2020
Mountain Empire,,,7/14/2020
National City,23.2,247.1,7/14/2020
North Central Region,49.0,60.5,7/14/2020
North Coastal Region,81.0,108.7,7/14/2020
North County,177.0,111.9,7/14/2020
North Inland Region,96.0,114.7,7/14/2020
North San Diego,,,7/14/2020
Oceanside,27.8,113.9,7/14/2020
Palomar-Julian,,,7/14/2020
Pauma,,,7/14/2020
Pendleton,,,7/14/2020
Peninsula,,,7/14/2020
Poway,8.5,74.5,7/14/2020
Ramona,,,7/14/2020
San Diego County,636.0,140.5,7/14/2020
San Dieguito,15.2,129.7,7/14/2020
San Marcos,23.0,152.8,7/14/2020
Santee,6.8,95.0,7/14/2020
South Bay,59.6,296.5,7/14/2020
South Region,190.0,248.9,7/14/2020
Southeastern San Diego,50.4,219.3,7/14/2020
Spring Valley,25.5,213.3,7/14/2020
Supervisorial District 1,229.3,242.5,7/14/2020
Supervisorial District 2,127.3,146.9,7/14/2020
Supervisorial District 3,76.9,88.0,7/14/2020
Supervisorial District 4,91.1,99.7,7/14/2020
Supervisorial District 5,111.4,120.2,7/14/2020
Sweetwater,54.8,231.4,7/14/2020
Unincorporated,93.9,136.0,7/14/2020
University,,,7/14/2020
Valley Center,5.1,171.0,7/14/2020
Vista,23.2,139.8,7/14/2020
