Geography,"Allocated
Age0_9
Case
Count
(Raw)","COVID-19
Total Age0_9
Rate
(Suppressed)",Date
Alpine,,,6/17/2020
Anza-Borrego Springs,,,6/17/2020
Carlsbad,,,6/17/2020
Central Region,40.0,55.9,6/17/2020
Central San Diego,8.4,32.3,6/17/2020
Chula Vista,26.6,138.0,6/17/2020
City of Carlsbad,,,6/17/2020
City of Chula Vista,41.0,97.2,6/17/2020
City of Coronado,,,6/17/2020
City of Del Mar,,,6/17/2020
City of El Cajon,9.2,62.8,6/17/2020
City of Encinitas,6.7,90.1,6/17/2020
City of Escondido,11.7,51.4,6/17/2020
City of Imperial Beach,,,6/17/2020
City of La Mesa,,,6/17/2020
City of Lemon Grove,,,6/17/2020
City of National City,10.6,112.6,6/17/2020
City of Oceanside,14.0,55.3,6/17/2020
City of Poway,,,6/17/2020
City of San Diego,69.0,37.3,6/17/2020
City of San Marcos,,,6/17/2020
City of Santee,7.0,93.1,6/17/2020
City of Solana Beach,,,6/17/2020
City of Vista,8.1,50.9,6/17/2020
Coastal,,,6/17/2020
Coronado,,,6/17/2020
Del Mar-Mira Mesa,,,6/17/2020
East Region,41.0,62.6,6/17/2020
El Cajon,10.4,57.4,6/17/2020
Elliott-Navajo,,,6/17/2020
Escondido,12.6,48.6,6/17/2020
Fallbrook,,,6/17/2020
Harbison Crest,,,6/17/2020
Harbison Crest-El Cajon,10.9,54.0,6/17/2020
Jamul,,,6/17/2020
Kearny Mesa,6.0,27.3,6/17/2020
La Mesa,,,6/17/2020
Laguna-Pine Valley,,,6/17/2020
Lakeside,,,6/17/2020
Lemon Grove,,,6/17/2020
Mid-City,17.8,73.3,6/17/2020
Miramar,,,6/17/2020
Mountain Empire,,,6/17/2020
National City,10.6,113.2,6/17/2020
North Central Region,13.0,16.1,6/17/2020
North Coastal Region,33.0,44.3,6/17/2020
North County,55.0,34.8,6/17/2020
North Inland Region,22.0,26.3,6/17/2020
North San Diego,,,6/17/2020
Oceanside,12.8,52.3,6/17/2020
Palomar-Julian,,,6/17/2020
Pauma,,,6/17/2020
Pendleton,,,6/17/2020
Peninsula,,,6/17/2020
Poway,,,6/17/2020
Ramona,,,6/17/2020
San Diego County,222.0,49.1,6/17/2020
San Dieguito,7.1,60.6,6/17/2020
San Marcos,5.6,37.2,6/17/2020
Santee,6.5,91.1,6/17/2020
South Bay,19.6,97.5,6/17/2020
South Region,73.0,95.6,6/17/2020
Southeastern San Diego,15.0,65.3,6/17/2020
Spring Valley,9.6,80.0,6/17/2020
Supervisorial District 1,85.7,90.7,6/17/2020
Supervisorial District 2,47.4,54.7,6/17/2020
Supervisorial District 3,23.1,26.5,6/17/2020
Supervisorial District 4,31.9,34.9,6/17/2020
Supervisorial District 5,33.9,36.5,6/17/2020
Sweetwater,15.5,65.6,6/17/2020
Unincorporated,26.4,38.2,6/17/2020
University,,,6/17/2020
Valley Center,,,6/17/2020
Vista,9.3,56.1,6/17/2020
