Geography,"Allocated
Age10_19
Case
Count
(Raw)","COVID-19
Total
Age10_19
Rate
(Suppressed)",Date
Alpine,,,7/1/2020
Anza-Borrego Springs,,,7/1/2020
Carlsbad,20.3,129.7,7/1/2020
Central Region,178.0,269.2,7/1/2020
Central San Diego,45.5,214.6,7/1/2020
Chula Vista,56.4,303.3,7/1/2020
City of Carlsbad,19.3,135.5,7/1/2020
City of Chula Vista,104.2,253.2,7/1/2020
City of Coronado,,,7/1/2020
City of Del Mar,,,7/1/2020
City of El Cajon,29.0,209.9,7/1/2020
City of Encinitas,14.1,201.4,7/1/2020
City of Escondido,37.8,166.8,7/1/2020
City of Imperial Beach,12.0,312.2,7/1/2020
City of La Mesa,11.4,188.2,7/1/2020
City of Lemon Grove,14.0,365.8,7/1/2020
City of National City,40.2,405.3,7/1/2020
City of Oceanside,32.1,136.0,7/1/2020
City of Poway,8.0,116.3,7/1/2020
City of San Diego,340.2,186.7,7/1/2020
City of San Marcos,28.3,189.2,7/1/2020
City of Santee,11.1,156.3,7/1/2020
City of Solana Beach,5.1,363.9,7/1/2020
City of Vista,27.8,185.0,7/1/2020
Coastal,,,7/1/2020
Coronado,,,7/1/2020
Del Mar-Mira Mesa,23.2,100.4,7/1/2020
East Region,124.0,198.5,7/1/2020
El Cajon,35.3,204.7,7/1/2020
Elliott-Navajo,6.3,56.2,7/1/2020
Escondido,43.9,166.8,7/1/2020
Fallbrook,9.3,152.3,7/1/2020
Harbison Crest,,,7/1/2020
Harbison Crest-El Cajon,38.8,201.4,7/1/2020
Jamul,8.3,300.5,7/1/2020
Kearny Mesa,24.4,125.6,7/1/2020
La Mesa,12.1,193.1,7/1/2020
Laguna-Pine Valley,,,7/1/2020
Lakeside,5.5,70.9,7/1/2020
Lemon Grove,15.8,354.6,7/1/2020
Mid-City,59.1,246.8,7/1/2020
Miramar,,,7/1/2020
Mountain Empire,,,7/1/2020
National City,40.2,407.9,7/1/2020
North Central Region,90.0,108.4,7/1/2020
North Coastal Region,110.0,146.7,7/1/2020
North County,222.0,138.4,7/1/2020
North Inland Region,112.0,131.2,7/1/2020
North San Diego,8.3,51.6,7/1/2020
Oceanside,32.3,142.0,7/1/2020
Palomar-Julian,,,7/1/2020
Pauma,,,7/1/2020
Pendleton,,,7/1/2020
Peninsula,27.3,330.8,7/1/2020
Poway,13.7,112.3,7/1/2020
Ramona,6.9,147.5,7/1/2020
San Diego County,847.0,189.3,7/1/2020
San Dieguito,25.1,218.0,7/1/2020
San Marcos,28.5,186.4,7/1/2020
Santee,10.2,151.0,7/1/2020
South Bay,81.3,401.2,7/1/2020
South Region,233.0,309.0,7/1/2020
Southeastern San Diego,74.8,338.3,7/1/2020
Spring Valley,32.1,272.3,7/1/2020
Supervisorial District 1,303.9,322.7,7/1/2020
Supervisorial District 2,150.8,177.6,7/1/2020
Supervisorial District 3,100.2,113.6,7/1/2020
Supervisorial District 4,155.0,180.6,7/1/2020
Supervisorial District 5,137.1,145.5,7/1/2020
Sweetwater,49.8,214.6,7/1/2020
Unincorporated,107.9,151.6,7/1/2020
University,,,7/1/2020
Valley Center,,,7/1/2020
Vista,29.2,185.3,7/1/2020
