Geography,"Allocated
Age40_49
Case
Count
(Raw)","COVID-19
Total
Age40_49
Rate
(Suppressed)",Date
Alpine,,,6/24/2020
Anza-Borrego Springs,,,6/24/2020
Carlsbad,19.6,122.9,6/24/2020
Central Region,377.0,546.7,6/24/2020
Central San Diego,113.9,382.3,6/24/2020
Chula Vista,134.6,888.2,6/24/2020
City of Carlsbad,17.5,117.3,6/24/2020
City of Chula Vista,256.2,741.5,6/24/2020
City of Coronado,,,6/24/2020
City of Del Mar,,,6/24/2020
City of El Cajon,68.5,550.9,6/24/2020
City of Encinitas,14.7,179.3,6/24/2020
City of Escondido,71.4,400.0,6/24/2020
City of Imperial Beach,21.0,600.7,6/24/2020
City of La Mesa,23.0,289.8,6/24/2020
City of Lemon Grove,28.0,868.5,6/24/2020
City of National City,87.0,1266.7,6/24/2020
City of Oceanside,49.1,231.2,6/24/2020
City of Poway,8.0,145.5,6/24/2020
City of San Diego,774.9,413.9,6/24/2020
City of San Marcos,33.4,277.7,6/24/2020
City of Santee,20.1,281.1,6/24/2020
City of Solana Beach,,,6/24/2020
City of Vista,33.2,274.2,6/24/2020
Coastal,16.8,148.3,6/24/2020
Coronado,,,6/24/2020
Del Mar-Mira Mesa,36.5,160.6,6/24/2020
East Region,264.0,454.5,6/24/2020
El Cajon,83.3,539.2,6/24/2020
Elliott-Navajo,19.1,155.6,6/24/2020
Escondido,78.7,384.9,6/24/2020
Fallbrook,10.2,193.3,6/24/2020
Harbison Crest,8.2,464.0,6/24/2020
Harbison Crest-El Cajon,91.5,531.5,6/24/2020
Jamul,13.4,568.7,6/24/2020
Kearny Mesa,53.7,239.5,6/24/2020
La Mesa,23.8,290.4,6/24/2020
Laguna-Pine Valley,,,6/24/2020
Lakeside,24.2,349.1,6/24/2020
Lemon Grove,31.7,861.2,6/24/2020
Mid-City,121.4,531.3,6/24/2020
Miramar,,,6/24/2020
Mountain Empire,5.1,559.4,6/24/2020
National City,86.9,1276.0,6/24/2020
North Central Region,140.0,162.4,6/24/2020
North Coastal Region,131.0,197.2,6/24/2020
North County,309.0,220.4,6/24/2020
North Inland Region,178.0,241.4,6/24/2020
North San Diego,26.3,160.4,6/24/2020
Oceanside,48.6,238.9,6/24/2020
Palomar-Julian,,,6/24/2020
Pauma,,,6/24/2020
Pendleton,,,6/24/2020
Peninsula,5.3,60.9,6/24/2020
Poway,14.3,128.7,6/24/2020
Ramona,6.1,150.1,6/24/2020
San Diego County,1711.0,410.6,6/24/2020
San Dieguito,23.4,179.9,6/24/2020
San Marcos,35.9,284.7,6/24/2020
Santee,19.4,285.3,6/24/2020
South Bay,260.8,1499.9,6/24/2020
South Region,621.0,982.1,6/24/2020
Southeastern San Diego,147.5,828.2,6/24/2020
Spring Valley,58.3,578.3,6/24/2020
Supervisorial District 1,735.7,936.2,6/24/2020
Supervisorial District 2,304.8,392.6,6/24/2020
Supervisorial District 3,176.1,201.5,6/24/2020
Supervisorial District 4,328.5,348.5,6/24/2020
Supervisorial District 5,165.9,210.5,6/24/2020
Sweetwater,126.3,632.5,6/24/2020
Unincorporated,199.5,347.8,6/24/2020
University,9.1,110.6,6/24/2020
Valley Center,,,6/24/2020
Vista,36.2,286.8,6/24/2020
