Geography,"Allocated
Age80plus
Case
Count
(Raw)","COVID-19
Total
Age80plus
Rate
(Suppressed)",Date
Alpine,,,7/8/2020
Anza-Borrego Springs,,,7/8/2020
Carlsbad,9.446,169.01,7/8/2020
Central Region,159.000,1015.39,7/8/2020
Central San Diego,57.599,817.17,7/8/2020
Chula Vista,41.956,966.30,7/8/2020
City of Carlsbad,9.057,181.47,7/8/2020
City of Chula Vista,91.726,1121.49,7/8/2020
City of Coronado,,,7/8/2020
City of Del Mar,,,7/8/2020
City of El Cajon,73.910,1666.41,7/8/2020
City of Encinitas,,,7/8/2020
City of Escondido,25.557,462.12,7/8/2020
City of Imperial Beach,12.000,1433.69,7/8/2020
City of La Mesa,26.837,891.14,7/8/2020
City of Lemon Grove,12.000,1295.90,7/8/2020
City of National City,66.626,3360.27,7/8/2020
City of Oceanside,17.035,233.73,7/8/2020
City of Poway,6.985,343.14,7/8/2020
City of San Diego,330.712,666.67,7/8/2020
City of San Marcos,,,7/8/2020
City of Santee,,,7/8/2020
City of Solana Beach,,,7/8/2020
City of Vista,8.221,216.46,7/8/2020
Coastal,27.949,652.43,7/8/2020
Coronado,,,7/8/2020
Del Mar-Mira Mesa,21.897,476.98,7/8/2020
East Region,174.000,898.48,7/8/2020
El Cajon,87.705,1603.86,7/8/2020
Elliott-Navajo,12.815,295.34,7/8/2020
Escondido,27.647,430.28,7/8/2020
Fallbrook,6.457,275.55,7/8/2020
Harbison Crest,7.442,1253.50,7/8/2020
Harbison Crest-El Cajon,95.146,1569.55,7/8/2020
Jamul,8.350,1270.21,7/8/2020
Kearny Mesa,29.185,399.94,7/8/2020
La Mesa,27.015,867.87,7/8/2020
Laguna-Pine Valley,,,7/8/2020
Lakeside,13.306,578.86,7/8/2020
Lemon Grove,12.815,1235.00,7/8/2020
Mid-City,24.099,473.00,7/8/2020
Miramar,,,7/8/2020
Mountain Empire,,,7/8/2020
National City,66.567,3396.66,7/8/2020
North Central Region,92.000,358.77,7/8/2020
North Coastal Region,41.000,183.83,7/8/2020
North County,145.000,312.74,7/8/2020
North Inland Region,104.000,432.22,7/8/2020
North San Diego,30.750,651.59,7/8/2020
Oceanside,16.677,246.05,7/8/2020
Palomar-Julian,,,7/8/2020
Pauma,,,7/8/2020
Pendleton,,,7/8/2020
Peninsula,6.113,233.01,7/8/2020
Poway,10.615,311.50,7/8/2020
Ramona,,,7/8/2020
San Diego County,790.000,644.07,7/8/2020
San Dieguito,,,7/8/2020
San Marcos,7.582,191.48,7/8/2020
Santee,,,7/8/2020
South Bay,51.047,1380.98,7/8/2020
South Region,220.000,1408.09,7/8/2020
Southeastern San Diego,79.684,1951.27,7/8/2020
Spring Valley,16.903,562.17,7/8/2020
Supervisorial District 1,291.458,1550.12,7/8/2020
Supervisorial District 2,198.071,739.14,7/8/2020
Supervisorial District 3,95.052,400.40,7/8/2020
Supervisorial District 4,148.455,560.26,7/8/2020
Supervisorial District 5,56.964,212.39,7/8/2020
Sweetwater,48.568,1176.06,7/8/2020
Unincorporated,94.745,494.08,7/8/2020
University,6.927,249.38,7/8/2020
Valley Center,,,7/8/2020
Vista,9.116,226.13,7/8/2020
