Geography,"Allocated
Black
Case
Count
(Raw)","COVID-19
Total Black
Rate
(Suppressed)",Date
Alpine,,,7/14/2020
Anza-Borrego Springs,,,7/14/2020
Carlsbad,,,7/14/2020
Central Region,304.0,611.2,7/14/2020
Central San Diego,93.1,652.0,7/14/2020
Chula Vista,16.5,426.8,7/14/2020
City of Carlsbad,,,7/14/2020
City of Chula Vista,59.9,547.7,7/14/2020
City of Coronado,9.0,1005.6,7/14/2020
City of Del Mar,,,7/14/2020
City of El Cajon,41.3,837.8,7/14/2020
City of Encinitas,,,7/14/2020
City of Escondido,14.2,423.6,7/14/2020
City of Imperial Beach,5.0,470.8,7/14/2020
City of La Mesa,25.6,828.0,7/14/2020
City of Lemon Grove,11.0,375.3,7/14/2020
City of National City,21.7,744.8,7/14/2020
City of Oceanside,20.0,244.4,7/14/2020
City of Poway,,,7/14/2020
City of San Diego,430.0,545.6,7/14/2020
City of San Marcos,5.5,241.7,7/14/2020
City of Santee,,,7/14/2020
City of Solana Beach,,,7/14/2020
City of Vista,10.2,337.5,7/14/2020
Coastal,6.3,603.6,7/14/2020
Coronado,9.0,1005.6,7/14/2020
Del Mar-Mira Mesa,22.9,399.3,7/14/2020
East Region,160.0,656.7,7/14/2020
El Cajon,50.1,838.2,7/14/2020
Elliott-Navajo,19.5,497.4,7/14/2020
Escondido,16.7,429.8,7/14/2020
Fallbrook,,,7/14/2020
Harbison Crest,5.4,1001.5,7/14/2020
Harbison Crest-El Cajon,55.5,851.7,7/14/2020
Jamul,,,7/14/2020
Kearny Mesa,36.5,511.2,7/14/2020
La Mesa,26.5,818.3,7/14/2020
Laguna-Pine Valley,,,7/14/2020
Lakeside,11.7,755.0,7/14/2020
Lemon Grove,15.2,425.7,7/14/2020
Mid-City,88.9,531.3,7/14/2020
Miramar,,,7/14/2020
Mountain Empire,,,7/14/2020
National City,21.6,745.8,7/14/2020
North Central Region,100.0,453.2,7/14/2020
North Coastal Region,37.0,208.3,7/14/2020
North County,74.0,237.7,7/14/2020
North Inland Region,37.0,276.8,7/14/2020
North San Diego,,,7/14/2020
Oceanside,20.3,262.7,7/14/2020
Palomar-Julian,,,7/14/2020
Pauma,,,7/14/2020
Pendleton,,,7/14/2020
Peninsula,11.6,681.1,7/14/2020
Poway,,,7/14/2020
Ramona,,,7/14/2020
San Diego County,758.0,513.1,7/14/2020
San Dieguito,,,7/14/2020
San Marcos,5.9,242.2,7/14/2020
Santee,,,7/14/2020
South Bay,30.1,520.0,7/14/2020
South Region,120.0,587.6,7/14/2020
Southeastern San Diego,119.9,650.8,7/14/2020
Spring Valley,44.0,605.2,7/14/2020
Supervisorial District 1,211.7,642.0,7/14/2020
Supervisorial District 2,193.9,643.6,7/14/2020
Supervisorial District 3,53.8,301.2,7/14/2020
Supervisorial District 4,255.1,567.0,7/14/2020
Supervisorial District 5,43.5,199.8,7/14/2020
Sweetwater,44.7,615.2,7/14/2020
Unincorporated,94.2,438.9,7/14/2020
University,,,7/14/2020
Valley Center,,,7/14/2020
Vista,10.4,318.5,7/14/2020
