Geography,"Allocated
Hispanic
Case
Count
(Raw)","COVID-19
Total
Hispanic
Rate
(Suppressed)",Date
Alpine,,,6/17/2020
Anza-Borrego Springs,,,6/17/2020
Carlsbad,40.6,168.4,6/17/2020
Central Region,1334.0,606.2,6/17/2020
Central San Diego,382.4,507.3,6/17/2020
Chula Vista,647.5,773.2,6/17/2020
City of Carlsbad,28.7,148.5,6/17/2020
City of Chula Vista,1047.3,643.1,6/17/2020
City of Coronado,5.0,144.3,6/17/2020
City of Del Mar,,,6/17/2020
City of El Cajon,185.8,593.6,6/17/2020
City of Encinitas,28.9,283.7,6/17/2020
City of Escondido,212.2,306.9,6/17/2020
City of Imperial Beach,95.0,648.6,6/17/2020
City of La Mesa,46.5,260.7,6/17/2020
City of Lemon Grove,60.0,477.4,6/17/2020
City of National City,323.7,838.2,6/17/2020
City of Oceanside,153.2,245.4,6/17/2020
City of Poway,13.0,127.6,6/17/2020
City of San Diego,2425.6,556.7,6/17/2020
City of San Marcos,70.0,192.0,6/17/2020
City of Santee,32.3,259.6,6/17/2020
City of Solana Beach,,,6/17/2020
City of Vista,99.7,216.5,6/17/2020
Coastal,17.8,132.1,6/17/2020
Coronado,5.0,144.3,6/17/2020
Del Mar-Mira Mesa,38.7,166.8,6/17/2020
East Region,732.0,488.4,6/17/2020
El Cajon,220.4,561.2,6/17/2020
Elliott-Navajo,36.9,197.2,6/17/2020
Escondido,230.2,299.4,6/17/2020
Fallbrook,29.7,168.0,6/17/2020
Harbison Crest,21.6,463.6,6/17/2020
Harbison Crest-El Cajon,242.0,550.9,6/17/2020
Jamul,36.8,475.8,6/17/2020
Kearny Mesa,107.9,238.0,6/17/2020
La Mesa,48.3,262.2,6/17/2020
Laguna-Pine Valley,,,6/17/2020
Lakeside,67.4,450.9,6/17/2020
Lemon Grove,74.8,520.1,6/17/2020
Mid-City,400.8,559.6,6/17/2020
Miramar,,,6/17/2020
Mountain Empire,20.4,600.9,6/17/2020
National City,323.3,842.5,6/17/2020
North Central Region,246.0,199.2,6/17/2020
North Coastal Region,339.0,207.3,6/17/2020
North County,783.0,223.2,6/17/2020
North Inland Region,444.0,237.1,6/17/2020
North San Diego,22.1,136.1,6/17/2020
Oceanside,149.7,243.0,6/17/2020
Palomar-Julian,,,6/17/2020
Pauma,5.6,203.2,6/17/2020
Pendleton,,,6/17/2020
Peninsula,25.5,200.0,6/17/2020
Poway,22.8,149.3,6/17/2020
Ramona,29.9,314.1,6/17/2020
San Diego County,5469.0,475.2,6/17/2020
San Dieguito,40.0,250.2,6/17/2020
San Marcos,82.5,206.6,6/17/2020
Santee,32.6,274.2,6/17/2020
South Bay,944.4,1021.5,6/17/2020
South Region,2374.0,774.3,6/17/2020
Southeastern San Diego,573.6,737.5,6/17/2020
Spring Valley,214.4,647.2,6/17/2020
Supervisorial District 1,2882.1,766.2,6/17/2020
Supervisorial District 2,847.7,446.1,6/17/2020
Supervisorial District 3,356.5,243.2,6/17/2020
Supervisorial District 4,932.6,432.0,6/17/2020
Supervisorial District 5,450.2,202.6,6/17/2020
Sweetwater,421.2,511.0,6/17/2020
Unincorporated,638.0,386.0,6/17/2020
University,13.6,145.3,6/17/2020
Valley Center,20.9,300.5,6/17/2020
Vista,106.4,216.3,6/17/2020
