Geography,"Allocated
Multiple
Race
Case
Count
(Raw)","COVID-19
Total
Multiple
Race Rate
(Suppressed)",Date
Alpine,,,7/8/2020
Anza-Borrego Springs,,,7/8/2020
Carlsbad,5.9,137.2,7/8/2020
Central Region,41.0,234.3,7/8/2020
Central San Diego,15.0,216.6,7/8/2020
Chula Vista,10.3,389.2,7/8/2020
City of Carlsbad,6.1,150.9,7/8/2020
City of Chula Vista,27.9,361.4,7/8/2020
City of Coronado,,,7/8/2020
City of Del Mar,,,7/8/2020
City of El Cajon,8.7,197.9,7/8/2020
City of Encinitas,,,7/8/2020
City of Escondido,,,7/8/2020
City of Imperial Beach,,,7/8/2020
City of La Mesa,5.2,205.1,7/8/2020
City of Lemon Grove,,,7/8/2020
City of National City,,,7/8/2020
City of Oceanside,6.0,95.6,7/8/2020
City of Poway,,,7/8/2020
City of San Diego,86.9,156.3,7/8/2020
City of San Marcos,,,7/8/2020
City of Santee,6.0,265.2,7/8/2020
City of Solana Beach,,,7/8/2020
City of Vista,,,7/8/2020
Coastal,6.7,220.3,7/8/2020
Coronado,,,7/8/2020
Del Mar-Mira Mesa,11.5,127.5,7/8/2020
East Region,40.0,213.5,7/8/2020
El Cajon,11.7,214.2,7/8/2020
Elliott-Navajo,6.5,163.6,7/8/2020
Escondido,,,7/8/2020
Fallbrook,,,7/8/2020
Harbison Crest,,,7/8/2020
Harbison Crest-El Cajon,13.2,217.9,7/8/2020
Jamul,,,7/8/2020
Kearny Mesa,8.8,121.7,7/8/2020
La Mesa,5.4,203.2,7/8/2020
Laguna-Pine Valley,,,7/8/2020
Lakeside,,,7/8/2020
Lemon Grove,,,7/8/2020
Mid-City,8.4,138.2,7/8/2020
Miramar,,,7/8/2020
Mountain Empire,,,7/8/2020
National City,,,7/8/2020
North Central Region,39.0,133.8,7/8/2020
North Coastal Region,16.0,88.2,7/8/2020
North County,28.0,69.2,7/8/2020
North Inland Region,12.0,53.8,7/8/2020
North San Diego,,,7/8/2020
Oceanside,5.4,90.8,7/8/2020
Palomar-Julian,,,7/8/2020
Pauma,,,7/8/2020
Pendleton,,,7/8/2020
Peninsula,,,7/8/2020
Poway,,,7/8/2020
Ramona,,,7/8/2020
San Diego County,184.0,153.9,7/8/2020
San Dieguito,,,7/8/2020
San Marcos,,,7/8/2020
Santee,5.5,256.4,7/8/2020
South Bay,5.8,176.1,7/8/2020
South Region,36.0,262.5,7/8/2020
Southeastern San Diego,17.2,361.7,7/8/2020
Spring Valley,9.6,305.2,7/8/2020
Supervisorial District 1,44.7,255.9,7/8/2020
Supervisorial District 2,48.8,195.2,7/8/2020
Supervisorial District 3,24.8,85.9,7/8/2020
Supervisorial District 4,50.1,190.4,7/8/2020
Supervisorial District 5,15.6,71.3,7/8/2020
Sweetwater,17.1,329.7,7/8/2020
Unincorporated,22.8,132.4,7/8/2020
University,,,7/8/2020
Valley Center,,,7/8/2020
Vista,,,7/8/2020
