Geography,"Allocated
White
Case
Count
(Raw)","COVID-19
Total White
Rate
(Suppressed)",Date
Alpine,22.7,190.1,7/14/2020
Anza-Borrego Springs,5.3,144.7,7/14/2020
Carlsbad,189.7,225.1,7/14/2020
Central Region,651.0,386.5,7/14/2020
Central San Diego,350.6,362.3,7/14/2020
Chula Vista,89.1,401.5,7/14/2020
City of Carlsbad,188.8,236.2,7/14/2020
City of Chula Vista,216.5,437.8,7/14/2020
City of Coronado,49.0,315.4,7/14/2020
City of Del Mar,11.3,333.4,7/14/2020
City of El Cajon,228.4,382.8,7/14/2020
City of Encinitas,107.1,227.2,7/14/2020
City of Escondido,147.6,233.2,7/14/2020
City of Imperial Beach,35.0,392.9,7/14/2020
City of La Mesa,104.2,307.9,7/14/2020
City of Lemon Grove,41.0,477.1,7/14/2020
City of National City,36.3,435.9,7/14/2020
City of Oceanside,168.2,195.7,7/14/2020
City of Poway,61.9,198.8,7/14/2020
City of San Diego,1891.6,305.2,7/14/2020
City of San Marcos,114.0,256.9,7/14/2020
City of Santee,75.4,198.0,7/14/2020
City of Solana Beach,18.4,174.6,7/14/2020
City of Vista,90.8,203.0,7/14/2020
Coastal,254.0,409.3,7/14/2020
Coronado,49.0,315.4,7/14/2020
Del Mar-Mira Mesa,180.5,233.8,7/14/2020
East Region,828.0,312.9,7/14/2020
El Cajon,282.0,379.8,7/14/2020
Elliott-Navajo,149.1,261.4,7/14/2020
Escondido,171.1,230.3,7/14/2020
Fallbrook,50.6,197.4,7/14/2020
Harbison Crest,29.2,336.8,7/14/2020
Harbison Crest-El Cajon,311.2,375.3,7/14/2020
Jamul,24.4,283.4,7/14/2020
Kearny Mesa,274.5,314.2,7/14/2020
La Mesa,107.5,307.2,7/14/2020
Laguna-Pine Valley,7.8,202.8,7/14/2020
Lakeside,91.6,240.9,7/14/2020
Lemon Grove,43.8,479.0,7/14/2020
Mid-City,189.1,350.3,7/14/2020
Miramar,6.7,286.2,7/14/2020
Mountain Empire,7.5,182.8,7/14/2020
National City,35.4,434.4,7/14/2020
North Central Region,1041.0,283.0,7/14/2020
North Coastal Region,653.0,202.7,7/14/2020
North County,1294.0,205.9,7/14/2020
North Inland Region,641.0,209.3,7/14/2020
North San Diego,128.4,199.5,7/14/2020
Oceanside,162.2,201.8,7/14/2020
Palomar-Julian,6.6,123.3,7/14/2020
Pauma,7.5,169.8,7/14/2020
Pendleton,,,7/14/2020
Peninsula,124.1,254.1,7/14/2020
Poway,104.0,195.1,7/14/2020
Ramona,40.5,179.5,7/14/2020
San Diego County,4225.0,277.0,7/14/2020
San Dieguito,169.0,225.2,7/14/2020
San Marcos,116.2,255.9,7/14/2020
Santee,72.6,200.4,7/14/2020
South Bay,93.2,441.0,7/14/2020
South Region,411.0,428.1,7/14/2020
Southeastern San Diego,130.5,636.0,7/14/2020
Spring Valley,133.9,392.5,7/14/2020
Supervisorial District 1,542.6,433.2,7/14/2020
Supervisorial District 2,1054.7,288.7,7/14/2020
Supervisorial District 3,749.2,221.4,7/14/2020
Supervisorial District 4,1157.6,341.0,7/14/2020
Supervisorial District 5,720.8,202.0,7/14/2020
Sweetwater,135.7,474.9,7/14/2020
Unincorporated,639.5,234.4,7/14/2020
University,66.7,182.0,7/14/2020
Valley Center,23.3,180.7,7/14/2020
Vista,97.6,211.7,7/14/2020
