Geography,"Allocated
Male Case Count (Raw)","COVID-19
Total Male
Rate (Suppressed)",Allocated Female Case Count (Raw),"COVID-19
Total Female
Rate (Suppressed)",date
Alpine,5.53,69.20,6.49,80.282,6/10/2020
Anza-Borrego Springs,5.10,200.71,,,6/10/2020
Carlsbad,48.64,78.71,50.24,78.968,6/10/2020
Central Region,923.00,345.77,1004.00,400.236,6/10/2020
Central San Diego,352.02,315.95,309.63,316.734,6/10/2020
Chula Vista,344.93,567.44,378.74,607.849,6/10/2020
City of Carlsbad,41.91,74.34,44.89,77.074,6/10/2020
City of Chula Vista,633.07,478.99,672.53,496.946,6/10/2020
City of Coronado,19.00,159.60,5.00,51.135,6/10/2020
City of Del Mar,,,,,6/10/2020
City of El Cajon,210.10,403.09,253.90,475.142,6/10/2020
City of Encinitas,36.44,116.41,32.52,102.096,6/10/2020
City of Escondido,128.60,171.96,156.88,204.564,6/10/2020
City of Imperial Beach,61.00,433.27,65.00,461.517,6/10/2020
City of La Mesa,58.99,196.27,76.98,246.684,6/10/2020
City of Lemon Grove,35.00,264.97,47.00,344.954,6/10/2020
City of National City,182.01,558.26,253.98,856.464,6/10/2020
City of Oceanside,104.14,119.27,112.11,124.496,6/10/2020
City of Poway,23.95,96.93,23.95,93.911,6/10/2020
City of San Diego,2073.22,288.12,1952.03,278.755,6/10/2020
City of San Marcos,46.40,98.01,64.03,132.201,6/10/2020
City of Santee,37.27,134.95,30.47,103.715,6/10/2020
City of Solana Beach,7.87,115.68,,,6/10/2020
City of Vista,65.50,126.78,70.37,136.070,6/10/2020
Coastal,43.89,100.64,52.81,124.760,6/10/2020
Coronado,19.00,159.60,5.00,51.135,6/10/2020
Del Mar-Mira Mesa,92.89,107.56,96.82,114.564,6/10/2020
East Region,632.00,263.82,790.00,321.200,6/10/2020
El Cajon,245.70,378.67,307.62,462.352,6/10/2020
Elliott-Navajo,64.83,139.06,65.26,136.043,6/10/2020
Escondido,139.85,163.57,173.46,197.628,6/10/2020
Fallbrook,23.95,99.83,15.03,61.102,6/10/2020
Harbison Crest,19.36,258.12,31.34,409.750,6/10/2020
Harbison Crest-El Cajon,265.06,366.18,338.96,456.928,6/10/2020
Jamul,35.82,364.19,30.93,317.024,6/10/2020
Kearny Mesa,141.84,167.45,153.56,178.445,6/10/2020
La Mesa,60.56,194.90,79.34,245.890,6/10/2020
Laguna-Pine Valley,,,,,6/10/2020
Lakeside,54.80,184.84,76.26,254.751,6/10/2020
Lemon Grove,44.64,294.19,58.03,371.467,6/10/2020
Mid-City,245.67,289.09,290.74,337.558,6/10/2020
Miramar,5.07,132.56,5.03,165.245,6/10/2020
Mountain Empire,14.45,342.21,7.15,178.946,6/10/2020
National City,181.30,560.50,253.63,863.033,6/10/2020
North Central Region,440.00,131.37,416.00,125.893,6/10/2020
North Coastal Region,288.00,100.74,297.00,107.462,6/10/2020
North County,655.00,111.84,721.00,123.408,6/10/2020
North Inland Region,367.00,122.44,424.00,137.722,6/10/2020
North San Diego,65.70,110.74,74.72,121.306,6/10/2020
Oceanside,101.83,122.02,110.56,128.627,6/10/2020
Palomar-Julian,,,,,6/10/2020
Pauma,,,,,6/10/2020
Pendleton,,,,,6/10/2020
Peninsula,72.02,193.54,31.01,94.749,6/10/2020
Poway,39.48,89.00,39.21,85.451,6/10/2020
Ramona,20.90,119.28,26.81,151.885,6/10/2020
San Diego County,4256.00,253.57,4437.00,267.448,6/10/2020
San Dieguito,56.66,112.93,50.88,98.891,6/10/2020
San Marcos,54.33,108.75,71.25,139.694,6/10/2020
Santee,37.02,140.49,31.14,111.451,6/10/2020
South Bay,728.22,1037.78,536.67,833.627,6/10/2020
South Region,1606.00,638.88,1506.00,608.411,6/10/2020
Southeastern San Diego,340.50,469.25,420.62,576.086,6/10/2020
Spring Valley,130.52,314.32,169.02,397.587,6/10/2020
Supervisorial District 1,1883.88,586.53,1858.92,605.987,6/10/2020
Supervisorial District 2,748.36,231.82,920.02,277.340,6/10/2020
Supervisorial District 3,406.59,122.24,432.94,128.514,6/10/2020
Supervisorial District 4,880.45,244.56,859.12,245.257,6/10/2020
Supervisorial District 5,336.72,98.52,366.00,109.793,6/10/2020
Sweetwater,302.84,408.98,306.30,403.970,6/10/2020
Unincorporated,487.46,185.58,567.95,226.759,6/10/2020
University,28.29,79.53,20.45,55.366,6/10/2020
Valley Center,13.07,114.99,13.03,114.205,6/10/2020
Vista,67.64,125.46,74.86,138.218,6/10/2020
