DATE,DATA #,CENTRAL,EAST,NORTH CENTRAL,NORTH COASTAL,NORTH INLAND,SOUTH
2020-01-01,-59,9934,17146,17070,18684,18462,14825
2020-01-02,-58,10416,19779,20913,22483,23126,18511
2020-01-03,-57,11367,21753,22980,24545,25202,20751
2020-01-04,-56,10668,20471,21144,22878,24142,18997
2020-01-05,-55,10588,19124,19565,21536,21788,17663
2020-01-06,-54,11301,21695,24378,24198,25521,18950
2020-01-07,-53,11436,21874,24708,24152,25638,19216
2020-01-08,-52,11642,22221,24713,24461,26701,19193
2020-01-09,-51,11230,22307,24808,24623,26540,18485
2020-01-10,-50,12264,24855,26965,27600,29216,21629
2020-01-11,-49,10958,21195,23032,23964,25039,19152
2020-01-12,-48,10036,19085,20029,21269,21995,17832
2020-01-13,-47,9975,21005,22691,23403,25045,18605
2020-01-14,-46,9712,22351,23698,24152,26120,19896
2020-01-15,-45,9987,22175,24185,24408,26629,21203
2020-01-16,-44,9795,22474,23904,24200,26394,21072
2020-01-17,-43,10329,23689,25545,26671,28895,22787
2020-01-18,-42,9474,20634,21683,23171,24592,19583
2020-01-19,-41,8650,18685,18838,19823,21447,17214
2020-01-20,-40,8179,18839,19374,21068,21922,17271
2020-01-21,-39,9755,21792,22807,23626,25443,20228
2020-01-22,-38,10419,22137,23520,24596,26348,21106
2020-01-23,-37,10345,22456,23564,24266,26417,20877
2020-01-24,-36,10772,23771,25869,25540,28298,22835
2020-01-25,-35,8826,18922,20722,19580,23296,17876
2020-01-26,-34,8556,17184,18264,17709,20477,16035
2020-01-27,-33,9738,20702,21504,21442,24631,19435
2020-01-28,-32,9340,21016,21984,21665,24807,19282
2020-01-29,-31,9587,21185,22227,22569,25453,20106
2020-01-30,-30,10096,22390,23238,23752,25988,20647
2020-01-31,-29,11336,24777,25730,26341,27889,24104
2020-02-01,-28,11953,25320,26210,28124,29373,23705
2020-02-02,-27,10268,20648,20514,21497,23023,19457
2020-02-03,-26,11890,24847,25375,26116,28116,23673
2020-02-04,-25,11521,24399,25416,25410,28116,22736
2020-02-05,-24,11535,24693,25415,25762,28789,23394
2020-02-06,-23,11617,25121,25993,26539,28788,23691
2020-02-07,-22,12983,27790,28918,30240,32433,26930
2020-02-08,-21,11769,25520,25780,28125,30068,23894
2020-02-09,-20,9696,20420,20207,21492,23191,18508
2020-02-10,-19,11180,21205,24714,25905,27445,22432
2020-02-11,-18,11449,24346,25706,25834,28218,22631
2020-02-12,-17,11328,24703,26335,26586,29046,23889
2020-02-13,-16,11645,25550,27126,27744,29952,24129
2020-02-14,-15,11259,28018,26688,28108,31572,23811
2020-02-15,-14,10581,21995,22363,23749,25667,20384
2020-02-16,-13,9281,20600,20101,21982,22479,19005
2020-02-17,-12,8652,20004,20818,21750,22546,18764
2020-02-18,-11,10204,22653,24017,23377,24593,21353
2020-02-19,-10,10926,23712,25736,24926,25856,22546
2020-02-20,-9,11819,24480,27077,25983,26525,23023
2020-02-21,-8,11671,25642,27862,27462,27787,24871
2020-02-22,-7,9933,20948,22796,23303,24344,20087
2020-02-23,-6,9375,20103,21512,22067,22908,18878
2020-02-24,-5,11239,24145,26235,26465,28477,22630
2020-02-25,-4,8057,14770,16273,15793,16814,12921
2020-02-26,-3,12013,25160,27575,27012,29889,23528
2020-02-27,-2,11386,23842,26658,26198,28504,22002
2020-02-28,-1,11236,25394,28158,28369,30683,24637
2020-02-29,0,9825,22021,24811,25238,26375,20736
2020-03-01,1,10623,20439,21921,22649,24215,19503
2020-03-02,2,12342,24229,26713,26858,28916,23305
2020-03-03,3,14361,26829,29750,29298,31684,25876
2020-03-04,4,13542,25948,28518,27907,30902,25088
2020-03-05,5,13481,26280,28911,28625,31304,24870
2020-03-06,6,13951,28044,30625,30152,33003,26761
2020-03-07,7,11995,23415,25762,26248,28305,22407
2020-03-08,8,10801,20370,22529,22528,24068,19198
2020-03-09,9,12231,23360,25986,25058,28115,22540
2020-03-10,10,10948,22188,23905,23737,26181,20940
2020-03-11,11,11465,23728,24815,25009,27541,22416
2020-03-12,12,11672,23490,24960,24558,27164,22439
2020-03-13,13,12534,25744,26491,27330,30091,24976
2020-03-14,14,9793,18712,19444,20627,21766,17428
2020-03-15,15,8663,15906,16395,16870,18421,15493
2020-03-16,16,8372,16755,16533,17422,18991,15575
2020-03-17,17,7543,14890,14762,15910,16534,13635
2020-03-18,18,6310,12788,12224,13223,14467,11763
2020-03-19,19,6374,13248,12356,13583,14273,11853
2020-03-20,20,5147,10081,9129,10116,10997,9108
2020-03-21,21,4144,7214,7064,7534,8100,6713
2020-03-22,22,5236,9703,9365,10230,10955,8989
2020-03-23,23,5705,10915,9920,11446,12040,10072
2020-03-24,24,5855,11564,10297,11629,12487,10192
2020-03-25,25,6201,12104,10720,12518,13362,10364
2020-03-26,26,5035,10323,9332,10470,11637,9136
2020-03-27,27,5385,10901,9421,10997,12453,9977
2020-03-28,28,4948,10066,8590,10571,11727,9140
2020-03-29,29,4656,8959,8176,9665,10281,8239
2020-03-30,30,5260,10652,9533,11012,12047,9592
2020-03-31,31,5068,10732,9411,10776,11858,9663
2020-04-01,32,5910,11866,10279,11682,12973,10642
2020-04-02,33,5813,11513,9646,11703,13066,10264
2020-04-03,34,6408,13055,10901,13002,14158,11878
2020-04-04,35,5582,11270,9389,11392,12946,10120
2020-04-05,36,4780,9288,7641,8880,9801,8235
2020-04-06,37,4983,9830,8461,9265,10359,8909
2020-04-07,38,4812,9240,8174,9645,9978,8420
2020-04-08,39,5174,10177,8837,10210,10722,8696
2020-04-09,40,5064,10347,8630,9844,10812,9088
2020-04-10,41,5077,9866,8370,9668,10572,9167
2020-04-11,42,5461,11405,9529,12170,13280,10088
2020-04-12,43,4166,7240,6321,7173,7650,6898
2020-04-13,44,4904,10049,8024,9962,10890,8515
2020-04-14,45,5105,10704,8716,10401,11412,9529
2020-04-15,46,5190,11204,8957,10792,11670,9960
2020-04-16,47,5144,11114,8830,10869,11803,9965
2020-04-17,48,5460,11926,9774,11373,12870,10731
2020-04-18,49,5109,10458,9022,11061,11808,9725
2020-04-19,50,4557,9279,7507,9299,10238,8163
2020-04-20,51,5194,10599,8759,10589,11283,9409
2020-04-21,52,5610,11666,9802,11451,12597,10060
2020-04-22,53,5713,12048,10157,11746,13169,10487
2020-04-23,54,5781,11811,10232,12093,13185,10421
2020-04-24,55,5949,12975,10868,12723,13835,11331
2020-04-25,56,5389,11758,10235,12130,13576,10973
2020-04-26,57,4930,10309,9007,10665,11585,9229
2020-04-27,58,5255,11626,9910,11602,12914,10051
2020-04-28,59,5388,12153,10721,12086,12767,10509
2020-04-29,60,5265,11899,10241,11871,12785,10458
2020-04-30,61,5398,12439,10789,12363,13613,11236
2020-05-01,62,6310,14628,12295,14600,15831,13349
2020-05-02,63,5865,13571,11727,14020,14897,12789
2020-05-03,64,5003,11049,9506,11406,12045,10204
2020-05-04,65,5667,12260,10551,12914,14009,11301
2020-05-05,66,5815,12719,11103,13711,14304,12123
2020-05-06,67,5597,12632,11001,13521,13976,11940
2020-05-07,68,5604,13113,11090,13671,14138,11915
2020-05-08,69,6025,14329,11868,14790,15625,13191
2020-05-09,70,6256,14198,12406,15464,16735,13378
2020-05-10,71,5824,12315,10487,12065,13539,11712
2020-05-11,72,5719,12102,10398,12424,13208,10911
2020-05-12,73,5698,13075,11064,13115,14004,11447
2020-05-13,74,5706,12998,11428,13550,14088,11294
2020-05-14,75,5562,13062,10998,13447,14378,11554
2020-05-15,76,6154,14536,12642,15159,16341,13420
2020-05-16,77,5772,13813,12077,15028,15768,12700
2020-05-17,78,5521,12170,10703,12939,13629,10904
2020-05-18,79,5838,13178,11155,13294,14744,11848
2020-05-19,80,5933,13404,11612,13686,15018,12177
2020-05-20,81,6073,14094,12109,14503,15603,12413
2020-05-21,82,6238,14430,12658,15398,16130,12934
2020-05-22,83,6730,15937,14191,16992,18260,14548
2020-05-23,84,6266,14454,13084,15809,17363,13544
2020-05-24,85,5685,12847,11345,13768,14706,11552
2020-05-25,86,5912,12386,11463,13567,14415,11857
2020-05-26,87,6226,14017,12177,14857,15825,12782
2020-05-27,88,6096,14431,12425,15169,16526,13200
2020-05-28,89,6538,15189,13095,15609,16808,13614
2020-05-29,90,7081,17321,14853,17418,19068,15664
2020-05-30,91,7274,16284,14719,17706,18635,14978
2020-05-31,92,6333,13362,12163,15270,15720,12490
2020-06-01,93,6857,14539,13247,15935,16906,13556
2020-06-02,94,6647,14850,13540,16342,17237,14235
2020-06-03,95,6799,15334,14155,17683,17861,15270
2020-06-04,96,6654,16309,13706,16918,18611,15399
