Geography,"Allocated
Case Count (Raw)","COVID-19
Total Rate (Suppressed)",date
Alpine,,,4/10/2020
Anza-Borrego Springs,,,4/10/2020
Carlsbad,50.44,40.2192,4/10/2020
Central Region,419,80.9207,4/10/2020
Central San Diego,191.54,91.5706,4/10/2020
Chula Vista,76.92,62.4887,4/10/2020
City of Carlsbad,48.86,42.6247,4/10/2020
City of Chula Vista,169.96,63.5355,4/10/2020
City of Coronado,5,23.0595,4/10/2020
City of Del Mar,,,4/10/2020
City of El Cajon,98.17,93.0001,4/10/2020
City of Encinitas,31.6,50.0345,4/10/2020
City of Escondido,52.08,34.3789,4/10/2020
City of Imperial Beach,10,35.5076,4/10/2020
City of La Mesa,33.38,54.481,4/10/2020
City of Lemon Grove,15,55.8992,4/10/2020
City of National City,37.4,60.072,4/10/2020
City of Oceanside,38.05,21.4542,4/10/2020
City of Poway,17.96,35.7746,4/10/2020
City of San Diego,878.56,61.8773,4/10/2020
City of San Marcos,23.61,24.6573,4/10/2020
City of Santee,17.16,30.1037,4/10/2020
City of Solana Beach,,,4/10/2020
City of Vista,30.13,29.1401,4/10/2020
Coastal,54.72,63.675,4/10/2020
Coronado,5,23.0595,4/10/2020
Del Mar-Mira Mesa,76.25,44.6262,4/10/2020
East Region,295,60.7612,4/10/2020
El Cajon,120.54,91.7244,4/10/2020
Elliott-Navajo,51.99,54.9673,4/10/2020
Escondido,61.1,35.2635,4/10/2020
Fallbrook,9.26,19.0646,4/10/2020
Harbison Crest,11.67,77.0326,4/10/2020
Harbison Crest-El Cajon,132.21,90.206,4/10/2020
Jamul,10.43,53.2124,4/10/2020
Kearny Mesa,86.3,50.5358,4/10/2020
La Mesa,34.1,53.8377,4/10/2020
Laguna-Pine Valley,,,4/10/2020
Lakeside,26.59,44.6218,4/10/2020
Lemon Grove,18.21,59.127,4/10/2020
Mid-City,118.23,69.0975,4/10/2020
Miramar,,,4/10/2020
Mountain Empire,,,4/10/2020
National City,36.9,59.7689,4/10/2020
North Central Region,311,46.7406,4/10/2020
North Coastal Region,186,33.0803,4/10/2020
North County,385,32.9095,4/10/2020
North Inland Region,199,32.7515,4/10/2020
North San Diego,56.8,46.9677,4/10/2020
Oceanside,36.43,21.5069,4/10/2020
Palomar-Julian,,,4/10/2020
Pauma,,,4/10/2020
Pendleton,,,4/10/2020
Peninsula,22.01,31.4746,4/10/2020
Poway,29.12,32.2681,4/10/2020
Ramona,9.93,28.22,4/10/2020
San Diego County,1761,52.7648,4/10/2020
San Dieguito,53.33,52.4731,4/10/2020
San Marcos,23.53,23.308,4/10/2020
Santee,16.8,30.9394,4/10/2020
South Bay,97.6,72.5365,4/10/2020
South Region,324,64.9418,4/10/2020
Southeastern San Diego,117.77,80.9015,4/10/2020
Spring Valley,55.6,66.1602,4/10/2020
Supervisorial District 1,413.69,65.8797,4/10/2020
Supervisorial District 2,368.87,56.3551,4/10/2020
Supervisorial District 3,274.11,40.9423,4/10/2020
Supervisorial District 4,491.82,69.2411,4/10/2020
Supervisorial District 5,185.5,27.4757,4/10/2020
Sweetwater,98.89,65.9867,4/10/2020
Unincorporated,218.14,42.5127,4/10/2020
University,30.44,41.9844,4/10/2020
Valley Center,,,4/10/2020
Vista,30.1,27.8532,4/10/2020
