Geography,"Allocated
Case Count (Raw)","COVID-19
Total Rate (Suppressed)",date
Alpine,,,5/10/2020
Anza-Borrego Springs,,,5/10/2020
Carlsbad,68.04,54.249,5/10/2020
Central Region,1043,201.433,5/10/2020
Central San Diego,381.89,182.57,5/10/2020
Chula Vista,384.27,312.17,5/10/2020
City of Carlsbad,64.03,55.861,5/10/2020
City of Chula Vista,721.07,269.556,5/10/2020
City of Coronado,12,55.343,5/10/2020
City of Del Mar,5.02,116.06,5/10/2020
City of El Cajon,250.86,237.655,5/10/2020
City of Encinitas,37.12,58.775,5/10/2020
City of Escondido,153.67,101.448,5/10/2020
City of Imperial Beach,44,156.233,5/10/2020
City of La Mesa,84.36,137.707,5/10/2020
City of Lemon Grove,51,190.057,5/10/2020
City of National City,232.07,372.755,5/10/2020
City of Oceanside,119.12,67.159,5/10/2020
City of Poway,33.93,67.574,5/10/2020
City of San Diego,2365.55,166.606,5/10/2020
City of San Marcos,46.36,48.404,5/10/2020
City of Santee,43.43,76.199,5/10/2020
City of Solana Beach,7.08,50.767,5/10/2020
City of Vista,73.71,71.3,5/10/2020
Coastal,66.17,76.99,5/10/2020
Coronado,12,55.343,5/10/2020
Del Mar-Mira Mesa,137.36,80.387,5/10/2020
East Region,803,165.394,5/10/2020
El Cajon,303.68,231.075,5/10/2020
Elliott-Navajo,80.97,85.609,5/10/2020
Escondido,170.72,98.528,5/10/2020
Fallbrook,19.61,40.374,5/10/2020
Harbison Crest,29.95,197.721,5/10/2020
Harbison Crest-El Cajon,333.63,227.627,5/10/2020
Jamul,37.6,191.922,5/10/2020
Kearny Mesa,179.35,105.03,5/10/2020
La Mesa,85.87,135.568,5/10/2020
Laguna-Pine Valley,,,5/10/2020
Lakeside,76.52,128.427,5/10/2020
Lemon Grove,61.36,199.266,5/10/2020
Mid-City,292.97,171.215,5/10/2020
Miramar,7.39,107.516,5/10/2020
Mountain Empire,11.3,137.495,5/10/2020
National City,231.26,374.594,5/10/2020
North Central Region,567,85.215,5/10/2020
North Coastal Region,347,61.714,5/10/2020
North County,803,68.64,5/10/2020
North Inland Region,456,75.049,5/10/2020
North San Diego,111.1,91.878,5/10/2020
Oceanside,117.49,69.356,5/10/2020
Palomar-Julian,,,5/10/2020
Pauma,,,5/10/2020
Pendleton,,,5/10/2020
Peninsula,76.46,109.328,5/10/2020
Poway,57.38,63.587,5/10/2020
Ramona,19.12,54.352,5/10/2020
San Diego County,5065,151.762,5/10/2020
San Dieguito,64.34,63.314,5/10/2020
San Marcos,52.7,52.201,5/10/2020
Santee,42.98,79.175,5/10/2020
South Bay,706.75,525.275,5/10/2020
South Region,1723,345.354,5/10/2020
Southeastern San Diego,389.39,267.486,5/10/2020
Spring Valley,162.2,193.02,5/10/2020
Supervisorial District 1,2036.96,324.382,5/10/2020
Supervisorial District 2,939.86,143.588,5/10/2020
Supervisorial District 3,543.48,81.177,5/10/2020
Supervisorial District 4,1028.51,144.799,5/10/2020
Supervisorial District 5,390.19,57.793,5/10/2020
Sweetwater,355.81,237.414,5/10/2020
Unincorporated,594.64,115.886,5/10/2020
University,34.94,48.193,5/10/2020
Valley Center,13.34,58.603,5/10/2020
Vista,77.83,72.01,5/10/2020
