Geography,"Allocated
Case
Count
(Raw)","COVID-19
Total Rate
(Suppressed)",Date
Alpine,440.9,2729.6,12/11/2020
Anza-Borrego Springs,55.2,1055.9,12/11/2020
Carlsbad,1997.6,1579.4,12/11/2020
Central Region,19722.0,3828.5,12/11/2020
Central San Diego,6639.2,3148.1,12/11/2020
Chula Vista,6551.8,5281.2,12/11/2020
City of Carlsbad,1676.2,1454.4,12/11/2020
City of Chula Vista,12625.6,4651.2,12/11/2020
City of Coronado,372.0,1537.3,12/11/2020
City of Del Mar,57.6,1301.5,12/11/2020
City of El Cajon,4599.5,4349.0,12/11/2020
City of Encinitas,945.8,1492.7,12/11/2020
City of Escondido,4790.4,3136.0,12/11/2020
City of Imperial Beach,1188.0,4328.2,12/11/2020
City of La Mesa,1413.6,2325.4,12/11/2020
City of Lemon Grove,1054.0,3873.9,12/11/2020
City of National City,3016.7,4848.3,12/11/2020
City of Oceanside,4486.7,2521.0,12/11/2020
City of Poway,775.2,1540.5,12/11/2020
City of San Diego,41386.7,2913.6,12/11/2020
City of San Marcos,2430.3,2474.9,12/11/2020
City of Santee,1314.1,2250.8,12/11/2020
City of Solana Beach,165.6,1187.6,12/11/2020
City of Vista,3234.4,3172.2,12/11/2020
Coastal,1931.4,2220.5,12/11/2020
Coronado,372.0,1537.3,12/11/2020
Del Mar-Mira Mesa,2342.0,1369.6,12/11/2020
East Region,16772.0,3431.7,12/11/2020
El Cajon,5657.4,4275.3,12/11/2020
Elliott-Navajo,1737.4,1814.2,12/11/2020
Escondido,5343.7,3048.6,12/11/2020
Fallbrook,1166.3,2352.5,12/11/2020
Harbison Crest,574.1,3789.2,12/11/2020
Harbison Crest-El Cajon,6231.5,4225.3,12/11/2020
Jamul,780.8,4119.5,12/11/2020
Kearny Mesa,3689.7,2157.7,12/11/2020
La Mesa,1466.9,2330.9,12/11/2020
Laguna-Pine Valley,98.9,1728.4,12/11/2020
Lakeside,1641.0,2727.1,12/11/2020
Lemon Grove,1229.7,3968.8,12/11/2020
Mid-City,6596.4,3909.8,12/11/2020
Miramar,119.4,1627.4,12/11/2020
Mountain Empire,364.8,4433.8,12/11/2020
National City,3002.3,4864.1,12/11/2020
North Central Region,11733.0,1753.9,12/11/2020
North Coastal Region,11720.0,2090.5,12/11/2020
North County,25524.0,2169.7,12/11/2020
North Inland Region,13804.0,2241.8,12/11/2020
North San Diego,1498.1,1228.6,12/11/2020
Oceanside,4391.7,2591.3,12/11/2020
Palomar-Julian,92.3,1178.8,12/11/2020
Pauma,271.7,3219.6,12/11/2020
Pendleton,209.0,506.2,12/11/2020
Peninsula,1223.5,1725.4,12/11/2020
Poway,1285.3,1419.4,12/11/2020
Ramona,922.6,2574.0,12/11/2020
San Diego County,104956.0,3131.3,12/11/2020
San Dieguito,1476.8,1452.6,12/11/2020
San Marcos,2677.3,2590.6,12/11/2020
Santee,1263.5,2276.4,12/11/2020
South Bay,9725.3,7368.7,12/11/2020
South Region,26451.0,5263.5,12/11/2020
Southeastern San Diego,6876.5,4795.3,12/11/2020
Spring Valley,3402.7,4020.7,12/11/2020
Supervisorial District 1,32160.8,5116.7,12/11/2020
Supervisorial District 2,20715.7,3147.8,12/11/2020
Supervisorial District 3,11908.8,1766.6,12/11/2020
Supervisorial District 4,19947.7,2797.7,12/11/2020
Supervisorial District 5,15469.0,2281.4,12/11/2020
Sweetwater,6311.4,4122.5,12/11/2020
Unincorporated,14669.5,2844.9,12/11/2020
University,747.7,1030.5,12/11/2020
Valley Center,576.2,2483.4,12/11/2020
Vista,3451.5,3217.7,12/11/2020
