Geography,"Allocated
Case
Count
(Raw)","COVID-19
Total Rate
(Suppressed)",Date
Alpine,119.6,740.7,10/14/2020
Anza-Borrego Springs,18.7,357.0,10/14/2020
Carlsbad,914.9,723.4,10/14/2020
Central Region,11218.0,2177.7,10/14/2020
Central San Diego,3686.5,1748.0,10/14/2020
Chula Vista,3509.1,2828.5,10/14/2020
City of Carlsbad,783.6,679.9,10/14/2020
City of Chula Vista,6606.7,2433.9,10/14/2020
City of Coronado,199.0,822.3,10/14/2020
City of Del Mar,29.1,657.8,10/14/2020
City of El Cajon,2031.8,1921.1,10/14/2020
City of Encinitas,436.7,689.2,10/14/2020
City of Escondido,2265.2,1482.9,10/14/2020
City of Imperial Beach,656.0,2390.0,10/14/2020
City of La Mesa,729.7,1200.3,10/14/2020
City of Lemon Grove,506.0,1859.7,10/14/2020
City of National City,1765.0,2836.6,10/14/2020
City of Oceanside,2084.2,1171.1,10/14/2020
City of Poway,340.2,676.1,10/14/2020
City of San Diego,22193.2,1562.4,10/14/2020
City of San Marcos,1147.7,1168.7,10/14/2020
City of Santee,554.2,949.2,10/14/2020
City of Solana Beach,67.4,483.2,10/14/2020
City of Vista,1293.4,1268.5,10/14/2020
Coastal,1042.4,1198.4,10/14/2020
Coronado,199.0,822.3,10/14/2020
Del Mar-Mira Mesa,1142.1,667.9,10/14/2020
East Region,7653.0,1565.9,10/14/2020
El Cajon,2493.5,1884.3,10/14/2020
Elliott-Navajo,795.4,830.5,10/14/2020
Escondido,2511.4,1432.7,10/14/2020
Fallbrook,594.8,1199.7,10/14/2020
Harbison Crest,250.4,1652.5,10/14/2020
Harbison Crest-El Cajon,2743.9,1860.5,10/14/2020
Jamul,367.1,1936.7,10/14/2020
Kearny Mesa,1804.0,1054.9,10/14/2020
La Mesa,756.1,1201.5,10/14/2020
Laguna-Pine Valley,22.4,391.6,10/14/2020
Lakeside,731.0,1214.8,10/14/2020
Lemon Grove,603.5,1947.8,10/14/2020
Mid-City,3887.8,2304.4,10/14/2020
Miramar,59.7,813.0,10/14/2020
Mountain Empire,125.4,1524.1,10/14/2020
National City,1758.3,2848.7,10/14/2020
North Central Region,5793.0,866.0,10/14/2020
North Coastal Region,5207.0,928.8,10/14/2020
North County,11680.0,992.9,10/14/2020
North Inland Region,6473.0,1051.2,10/14/2020
North San Diego,703.2,576.7,10/14/2020
Oceanside,2033.0,1199.5,10/14/2020
Palomar-Julian,51.7,660.2,10/14/2020
Pauma,144.1,1707.6,10/14/2020
Pendleton,102.0,247.1,10/14/2020
Peninsula,644.8,909.2,10/14/2020
Poway,583.1,643.9,10/14/2020
Ramona,388.9,1085.0,10/14/2020
San Diego County,51470.0,1535.6,10/14/2020
San Dieguito,674.8,663.7,10/14/2020
San Marcos,1254.1,1213.5,10/14/2020
Santee,534.7,963.4,10/14/2020
South Bay,5201.2,3940.9,10/14/2020
South Region,14133.0,2812.3,10/14/2020
Southeastern San Diego,3833.9,2673.6,10/14/2020
Spring Valley,1723.5,2036.5,10/14/2020
Supervisorial District 1,17411.5,2770.1,10/14/2020
Supervisorial District 2,9636.0,1464.2,10/14/2020
Supervisorial District 3,5600.2,830.8,10/14/2020
Supervisorial District 4,10800.7,1514.8,10/14/2020
Supervisorial District 5,7028.6,1036.6,10/14/2020
Sweetwater,3227.4,2108.1,10/14/2020
Unincorporated,6788.1,1316.4,10/14/2020
University,336.8,464.2,10/14/2020
Valley Center,252.7,1089.2,10/14/2020
Vista,1394.2,1299.7,10/14/2020
