Geography,"Allocated
Case
Count
(Raw)","COVID-19
Total Rate
(Suppressed)",Date
Alpine,486.1,3009.1,12/15/2020
Anza-Borrego Springs,62.3,1193.0,12/15/2020
Carlsbad,2194.1,1734.8,12/15/2020
Central Region,21022.0,4080.8,12/15/2020
Central San Diego,7030.9,3333.8,12/15/2020
Chula Vista,7035.4,5670.9,12/15/2020
City of Carlsbad,1844.7,1600.6,12/15/2020
City of Chula Vista,13546.3,4990.4,12/15/2020
City of Coronado,396.0,1636.4,12/15/2020
City of Del Mar,62.3,1407.6,12/15/2020
City of El Cajon,5000.5,4728.1,12/15/2020
City of Encinitas,1036.9,1636.3,12/15/2020
City of Escondido,5322.3,3484.3,12/15/2020
City of Imperial Beach,1267.0,4616.0,12/15/2020
City of La Mesa,1514.8,2491.8,12/15/2020
City of Lemon Grove,1128.0,4145.8,12/15/2020
City of National City,3294.7,5295.1,12/15/2020
City of Oceanside,4866.3,2734.3,12/15/2020
City of Poway,833.0,1655.5,12/15/2020
City of San Diego,44586.3,3138.8,12/15/2020
City of San Marcos,2679.6,2728.9,12/15/2020
City of Santee,1429.7,2448.7,12/15/2020
City of Solana Beach,179.6,1288.2,12/15/2020
City of Vista,3543.2,3475.1,12/15/2020
Coastal,2018.9,2321.1,12/15/2020
Coronado,396.0,1636.4,12/15/2020
Del Mar-Mira Mesa,2530.7,1480.0,12/15/2020
East Region,18144.0,3712.4,12/15/2020
El Cajon,6148.7,4646.5,12/15/2020
Elliott-Navajo,1881.0,1964.1,12/15/2020
Escondido,5929.5,3382.8,12/15/2020
Fallbrook,1275.1,2572.1,12/15/2020
Harbison Crest,620.9,4098.4,12/15/2020
Harbison Crest-El Cajon,6769.6,4590.2,12/15/2020
Jamul,869.5,4587.5,12/15/2020
Kearny Mesa,3956.7,2313.8,12/15/2020
La Mesa,1571.7,2497.5,12/15/2020
Laguna-Pine Valley,107.6,1881.2,12/15/2020
Lakeside,1766.5,2935.7,12/15/2020
Lemon Grove,1319.2,4257.5,12/15/2020
Mid-City,6974.6,4133.9,12/15/2020
Miramar,129.7,1766.9,12/15/2020
Mountain Empire,389.0,4727.7,12/15/2020
National City,3279.6,5313.3,12/15/2020
North Central Region,12548.0,1875.7,12/15/2020
North Coastal Region,12794.0,2282.1,12/15/2020
North County,27988.0,2379.1,12/15/2020
North Inland Region,15194.0,2467.5,12/15/2020
North San Diego,1636.0,1341.7,12/15/2020
Oceanside,4764.1,2811.0,12/15/2020
Palomar-Julian,96.7,1235.7,12/15/2020
Pauma,295.8,3505.4,12/15/2020
Pendleton,228.0,552.3,12/15/2020
Peninsula,1280.8,1806.2,12/15/2020
Poway,1387.3,1532.1,12/15/2020
Ramona,1001.8,2794.9,12/15/2020
San Diego County,114248.0,3408.6,12/15/2020
San Dieguito,1613.5,1587.1,12/15/2020
San Marcos,2958.2,2862.4,12/15/2020
Santee,1374.0,2475.5,12/15/2020
South Bay,10784.3,8171.0,12/15/2020
South Region,28798.0,5730.5,12/15/2020
Southeastern San Diego,7432.2,5182.8,12/15/2020
Spring Valley,3665.7,4331.6,12/15/2020
Supervisorial District 1,34931.4,5557.5,12/15/2020
Supervisorial District 2,22370.2,3399.2,12/15/2020
Supervisorial District 3,13057.5,1937.0,12/15/2020
Supervisorial District 4,21204.2,2974.0,12/15/2020
Supervisorial District 5,16936.8,2497.9,12/15/2020
Sweetwater,6765.9,4419.4,12/15/2020
Unincorporated,15968.8,3096.8,12/15/2020
University,809.6,1115.9,12/15/2020
Valley Center,644.8,2778.9,12/15/2020
Vista,3787.5,3531.0,12/15/2020
