Geography,"Allocated
Case Count (Raw)","COVID-19
Total Rate (Suppressed)",date
Alpine,7.45,46.341,5/15/2020
Anza-Borrego Springs,,,5/15/2020
Carlsbad,76.32,60.851,5/15/2020
Central Region,1184,228.664,5/15/2020
Central San Diego,429.68,205.418,5/15/2020
Chula Vista,448.42,364.283,5/15/2020
City of Carlsbad,71.03,61.968,5/15/2020
City of Chula Vista,823.1,307.698,5/15/2020
City of Coronado,17,78.402,5/15/2020
City of Del Mar,5.33,123.314,5/15/2020
City of El Cajon,293.6,278.147,5/15/2020
City of Encinitas,37.12,58.775,5/15/2020
City of Escondido,175.15,115.629,5/15/2020
City of Imperial Beach,54,191.741,5/15/2020
City of La Mesa,95.9,156.54,5/15/2020
City of Lemon Grove,55,204.964,5/15/2020
City of National City,276.85,444.697,5/15/2020
City of Oceanside,133.14,75.067,5/15/2020
City of Poway,34.92,69.562,5/15/2020
City of San Diego,2613.94,184.1,5/15/2020
City of San Marcos,61.03,63.726,5/15/2020
City of Santee,48.48,85.062,5/15/2020
City of Solana Beach,7.14,51.251,5/15/2020
City of Vista,85.66,82.854,5/15/2020
Coastal,69.67,81.071,5/15/2020
Coronado,17,78.402,5/15/2020
Del Mar-Mira Mesa,145.33,85.048,5/15/2020
East Region,913,188.051,5/15/2020
El Cajon,352.58,268.286,5/15/2020
Elliott-Navajo,84.58,89.418,5/15/2020
Escondido,194.66,112.344,5/15/2020
Fallbrook,24.17,49.755,5/15/2020
Harbison Crest,33.3,219.806,5/15/2020
Harbison Crest-El Cajon,385.87,263.275,5/15/2020
Jamul,41.75,213.106,5/15/2020
Kearny Mesa,190.51,111.567,5/15/2020
La Mesa,97.95,154.644,5/15/2020
Laguna-Pine Valley,,,5/15/2020
Lakeside,83.74,140.542,5/15/2020
Lemon Grove,67.09,217.847,5/15/2020
Mid-City,326.94,191.069,5/15/2020
Miramar,7.79,113.33,5/15/2020
Mountain Empire,13.45,163.654,5/15/2020
National City,276.04,447.133,5/15/2020
North Central Region,597,89.724,5/15/2020
North Coastal Region,383,68.117,5/15/2020
North County,891,76.162,5/15/2020
North Inland Region,508,83.607,5/15/2020
North San Diego,113.17,93.589,5/15/2020
Oceanside,131.36,77.543,5/15/2020
Palomar-Julian,,,5/15/2020
Pauma,5.1,62.691,5/15/2020
Pendleton,,,5/15/2020
Peninsula,77.8,111.239,5/15/2020
Poway,59.22,65.62,5/15/2020
Ramona,21.1,60.002,5/15/2020
San Diego County,5662,169.65,5/15/2020
San Dieguito,65.56,64.517,5/15/2020
San Marcos,68.88,68.219,5/15/2020
Santee,48.09,88.572,5/15/2020
South Bay,795.26,591.054,5/15/2020
South Region,1968,394.462,5/15/2020
Southeastern San Diego,449.63,308.865,5/15/2020
Spring Valley,180.98,215.361,5/15/2020
Supervisorial District 1,2331.13,371.229,5/15/2020
Supervisorial District 2,1058.8,161.758,5/15/2020
Supervisorial District 3,580.5,86.707,5/15/2020
Supervisorial District 4,1132.97,159.504,5/15/2020
Supervisorial District 5,449.61,66.594,5/15/2020
Sweetwater,396.18,264.349,5/15/2020
Unincorporated,664.6,129.52,5/15/2020
University,36.86,50.845,5/15/2020
Valley Center,14.79,64.94,5/15/2020
Vista,90.22,83.473,5/15/2020
