Geography,"Allocated
Case
Count
(Raw)","COVID-19
Total Rate
(Suppressed)",Date
Alpine,14.7,91.6,6/16/2020
Anza-Borrego Springs,9.2,179.9,6/16/2020
Carlsbad,113.8,90.8,6/16/2020
Central Region,2162.0,417.5,6/16/2020
Central San Diego,738.9,353.2,6/16/2020
Chula Vista,823.6,669.1,6/16/2020
City of Carlsbad,98.1,85.6,6/16/2020
City of Chula Vista,1455.0,543.9,6/16/2020
City of Coronado,28.0,129.1,6/16/2020
City of Del Mar,6.9,159.6,6/16/2020
City of El Cajon,497.5,471.3,6/16/2020
City of Encinitas,79.2,125.3,6/16/2020
City of Escondido,336.1,221.9,6/16/2020
City of Imperial Beach,144.0,511.3,6/16/2020
City of La Mesa,147.6,240.9,6/16/2020
City of Lemon Grove,97.0,361.5,6/16/2020
City of National City,490.7,788.2,6/16/2020
City of Oceanside,255.3,144.0,6/16/2020
City of Poway,51.9,103.3,6/16/2020
City of San Diego,4431.1,312.1,6/16/2020
City of San Marcos,128.0,133.6,6/16/2020
City of Santee,80.8,141.8,6/16/2020
City of Solana Beach,14.5,103.9,6/16/2020
City of Vista,162.7,157.4,6/16/2020
Coastal,119.6,139.2,6/16/2020
Coronado,28.0,129.1,6/16/2020
Del Mar-Mira Mesa,202.5,118.5,6/16/2020
East Region,1574.0,324.2,6/16/2020
El Cajon,594.1,452.0,6/16/2020
Elliott-Navajo,137.0,144.8,6/16/2020
Escondido,367.7,212.2,6/16/2020
Fallbrook,51.9,106.8,6/16/2020
Harbison Crest,55.1,363.8,6/16/2020
Harbison Crest-El Cajon,649.2,442.9,6/16/2020
Jamul,74.1,378.4,6/16/2020
Kearny Mesa,318.9,186.7,6/16/2020
La Mesa,152.4,240.6,6/16/2020
Laguna-Pine Valley,,,6/16/2020
Lakeside,146.2,245.4,6/16/2020
Lemon Grove,119.9,389.2,6/16/2020
Mid-City,608.8,355.8,6/16/2020
Miramar,10.4,151.7,6/16/2020
Mountain Empire,26.6,323.7,6/16/2020
National City,489.6,793.1,6/16/2020
North Central Region,943.0,141.7,6/16/2020
North Coastal Region,681.0,121.1,6/16/2020
North County,1590.0,135.9,6/16/2020
North Inland Region,909.0,149.6,6/16/2020
North San Diego,148.9,123.2,6/16/2020
Oceanside,250.2,147.7,6/16/2020
Palomar-Julian,,,6/16/2020
Pauma,8.3,102.2,6/16/2020
Pendleton,,,6/16/2020
Peninsula,116.4,166.4,6/16/2020
Poway,86.9,96.3,6/16/2020
Ramona,53.7,152.6,6/16/2020
San Diego County,9854.0,295.3,6/16/2020
San Dieguito,121.9,119.9,6/16/2020
San Marcos,146.4,145.0,6/16/2020
Santee,80.7,148.6,6/16/2020
South Bay,1358.9,1010.0,6/16/2020
South Region,3419.0,685.3,6/16/2020
Southeastern San Diego,847.6,582.3,6/16/2020
Spring Valley,333.9,397.4,6/16/2020
Supervisorial District 1,4126.4,657.1,6/16/2020
Supervisorial District 2,1841.2,281.3,6/16/2020
Supervisorial District 3,941.0,140.6,6/16/2020
Supervisorial District 4,1950.8,274.6,6/16/2020
Supervisorial District 5,828.5,122.7,6/16/2020
Sweetwater,662.4,442.0,6/16/2020
Unincorporated,1183.6,230.7,6/16/2020
University,55.7,76.8,6/16/2020
Valley Center,32.4,142.5,6/16/2020
Vista,171.1,158.3,6/16/2020
