Geography,"Allocated
Case
Count
(Raw)","COVID-19
Total Rate
(Suppressed)",Date
Alpine,120.7,747.2,10/18/2020
Anza-Borrego Springs,18.7,357.0,10/18/2020
Carlsbad,941.8,744.7,10/18/2020
Central Region,11422.0,2217.3,10/18/2020
Central San Diego,3763.6,1784.6,10/18/2020
Chula Vista,3587.1,2891.4,10/18/2020
City of Carlsbad,805.9,699.3,10/18/2020
City of Chula Vista,6765.2,2492.3,10/18/2020
City of Coronado,207.0,855.4,10/18/2020
City of Del Mar,29.1,657.8,10/18/2020
City of El Cajon,2076.7,1963.5,10/18/2020
City of Encinitas,450.8,711.5,10/18/2020
City of Escondido,2320.4,1519.1,10/18/2020
City of Imperial Beach,670.0,2441.0,10/18/2020
City of La Mesa,740.5,1218.1,10/18/2020
City of Lemon Grove,513.0,1885.5,10/18/2020
City of National City,1805.8,2902.2,10/18/2020
City of Oceanside,2140.3,1202.6,10/18/2020
City of Poway,357.1,709.8,10/18/2020
City of San Diego,22721.3,1599.5,10/18/2020
City of San Marcos,1178.6,1200.2,10/18/2020
City of Santee,568.3,973.3,10/18/2020
City of Solana Beach,71.4,511.9,10/18/2020
City of Vista,1330.8,1305.2,10/18/2020
Coastal,1072.1,1232.6,10/18/2020
Coronado,207.0,855.4,10/18/2020
Del Mar-Mira Mesa,1169.6,684.0,10/18/2020
East Region,7840.0,1604.1,10/18/2020
El Cajon,2550.5,1927.4,10/18/2020
Elliott-Navajo,823.1,859.5,10/18/2020
Escondido,2572.1,1467.4,10/18/2020
Fallbrook,604.1,1218.6,10/18/2020
Harbison Crest,255.9,1688.9,10/18/2020
Harbison Crest-El Cajon,2806.4,1902.9,10/18/2020
Jamul,379.5,2002.3,10/18/2020
Kearny Mesa,1855.7,1085.2,10/18/2020
La Mesa,767.4,1219.5,10/18/2020
Laguna-Pine Valley,22.4,392.4,10/18/2020
Lakeside,747.9,1242.9,10/18/2020
Lemon Grove,612.8,1977.8,10/18/2020
Mid-City,3945.6,2338.7,10/18/2020
Miramar,60.9,829.3,10/18/2020
Mountain Empire,135.0,1640.1,10/18/2020
National City,1798.9,2914.4,10/18/2020
North Central Region,5968.0,892.1,10/18/2020
North Coastal Region,5352.0,954.6,10/18/2020
North County,11984.0,1018.7,10/18/2020
North Inland Region,6632.0,1077.0,10/18/2020
North San Diego,720.9,591.2,10/18/2020
Oceanside,2086.6,1231.2,10/18/2020
Palomar-Julian,52.5,670.1,10/18/2020
Pauma,145.1,1719.6,10/18/2020
Pendleton,103.0,249.5,10/18/2020
Peninsula,671.3,946.6,10/18/2020
Poway,608.9,672.4,10/18/2020
Ramona,397.9,1110.1,10/18/2020
San Diego County,52735.0,1573.3,10/18/2020
San Dieguito,698.1,686.7,10/18/2020
San Marcos,1288.5,1246.8,10/18/2020
Santee,548.2,987.8,10/18/2020
South Bay,5345.0,4049.8,10/18/2020
South Region,14496.0,2884.6,10/18/2020
Southeastern San Diego,3910.6,2727.1,10/18/2020
Spring Valley,1774.8,2097.2,10/18/2020
Supervisorial District 1,17839.0,2838.1,10/18/2020
Supervisorial District 2,9873.2,1500.3,10/18/2020
Supervisorial District 3,5751.5,853.2,10/18/2020
Supervisorial District 4,11041.7,1548.6,10/18/2020
Supervisorial District 5,7204.6,1062.6,10/18/2020
Sweetwater,3312.2,2163.5,10/18/2020
Unincorporated,6957.8,1349.3,10/18/2020
University,345.4,476.0,10/18/2020
Valley Center,255.7,1102.1,10/18/2020
Vista,1432.9,1335.8,10/18/2020
