Geography,"Allocated
Case Count (Raw)","COVID-19
Total Rate (Suppressed)",date
Alpine,8.35,51.944,5/19/2020
Anza-Borrego Springs,,,5/19/2020
Carlsbad,77.84,62.062,5/19/2020
Central Region,1310,252.998,5/19/2020
Central San Diego,475.81,227.475,5/19/2020
Chula Vista,499.13,405.48,5/19/2020
City of Carlsbad,72.06,62.865,5/19/2020
City of Chula Vista,906.36,338.821,5/19/2020
City of Coronado,18,83.014,5/19/2020
City of Del Mar,5.33,123.314,5/19/2020
City of El Cajon,327.7,310.452,5/19/2020
City of Encinitas,39.04,61.815,5/19/2020
City of Escondido,180.56,119.197,5/19/2020
City of Imperial Beach,60,213.045,5/19/2020
City of La Mesa,102.36,167.086,5/19/2020
City of Lemon Grove,56,208.69,5/19/2020
City of National City,306.8,492.788,5/19/2020
City of Oceanside,139.15,78.453,5/19/2020
City of Poway,34.92,69.562,5/19/2020
City of San Diego,2840.35,200.047,5/19/2020
City of San Marcos,72.3,75.492,5/19/2020
City of Santee,51.52,90.388,5/19/2020
City of Solana Beach,7.14,51.251,5/19/2020
City of Vista,91.65,88.657,5/19/2020
Coastal,70.43,81.954,5/19/2020
Coronado,18,83.014,5/19/2020
Del Mar-Mira Mesa,151.38,88.593,5/19/2020
East Region,987,203.293,5/19/2020
El Cajon,391.06,297.566,5/19/2020
Elliott-Navajo,91.18,96.403,5/19/2020
Escondido,201.39,116.23,5/19/2020
Fallbrook,25.08,51.628,5/19/2020
Harbison Crest,35.56,234.764,5/19/2020
Harbison Crest-El Cajon,426.62,291.075,5/19/2020
Jamul,43.69,222.994,5/19/2020
Kearny Mesa,209.4,122.626,5/19/2020
La Mesa,104.65,165.226,5/19/2020
Laguna-Pine Valley,,,5/19/2020
Lakeside,88.59,148.692,5/19/2020
Lemon Grove,69.41,225.389,5/19/2020
Mid-City,361.61,211.332,5/19/2020
Miramar,8.27,120.306,5/19/2020
Mountain Empire,13.45,163.655,5/19/2020
National City,305.95,495.592,5/19/2020
North Central Region,635,95.435,5/19/2020
North Coastal Region,399,70.963,5/19/2020
North County,940,80.351,5/19/2020
North Inland Region,541,89.038,5/19/2020
North San Diego,117.88,97.483,5/19/2020
Oceanside,137.77,81.327,5/19/2020
Palomar-Julian,,,5/19/2020
Pauma,5.11,62.793,5/19/2020
Pendleton,,,5/19/2020
Peninsula,82.02,117.276,5/19/2020
Poway,60.2,66.708,5/19/2020
Ramona,28.88,82.097,5/19/2020
San Diego County,6140,183.973,5/19/2020
San Dieguito,67.78,66.693,5/19/2020
San Marcos,79.84,79.075,5/19/2020
Santee,51.26,94.41,5/19/2020
South Bay,860.83,639.79,5/19/2020
South Region,2152,431.342,5/19/2020
Southeastern San Diego,496.3,340.927,5/19/2020
Spring Valley,195.39,232.512,5/19/2020
Supervisorial District 1,2558.86,407.494,5/19/2020
Supervisorial District 2,1149.32,175.588,5/19/2020
Supervisorial District 3,605.75,90.477,5/19/2020
Supervisorial District 4,1232.93,173.578,5/19/2020
Supervisorial District 5,477.14,70.673,5/19/2020
Sweetwater,430.68,287.371,5/19/2020
Unincorporated,712.77,138.907,5/19/2020
University,38.1,52.557,5/19/2020
Valley Center,14.91,65.506,5/19/2020
Vista,96.33,89.134,5/19/2020
