Geography,"Allocated
Case Count (Raw)","COVID-19
Total Rate (Suppressed)",date
Alpine,,,4/1/2020
Anza-Borrego Springs,,,4/1/2020
Carlsbad,32.133,25.6196,4/1/2020
Central Region,243,46.9301,4/1/2020
Central San Diego,134.344,64.2266,4/1/2020
Chula Vista,27.701,22.5038,4/1/2020
City of Carlsbad,32.6,28.4414,4/1/2020
City of Chula Vista,66.028,24.6833,4/1/2020
City of Coronado,,,4/1/2020
City of Del Mar,,,4/1/2020
City of El Cajon,39.419,37.3441,4/1/2020
City of Encinitas,23.321,36.9241,4/1/2020
City of Escondido,23.046,15.2144,4/1/2020
City of Imperial Beach,,,4/1/2020
City of La Mesa,11.459,18.7045,4/1/2020
City of Lemon Grove,8,29.8129,4/1/2020
City of National City,10.88,17.4766,4/1/2020
City of Oceanside,24.04,13.554,4/1/2020
City of Poway,9.979,19.8748,4/1/2020
City of San Diego,539.073,37.9671,4/1/2020
City of San Marcos,12.993,13.5676,4/1/2020
City of Santee,10.048,17.6306,4/1/2020
City of Solana Beach,,,4/1/2020
City of Vista,11.551,11.1735,4/1/2020
Coastal,43.674,50.8186,4/1/2020
Coronado,,,4/1/2020
Del Mar-Mira Mesa,53.64,31.3917,4/1/2020
East Region,124,25.5403,4/1/2020
El Cajon,48.052,36.5639,4/1/2020
Elliott-Navajo,25.201,26.6439,4/1/2020
Escondido,27.682,15.9764,4/1/2020
Fallbrook,8.324,17.1345,4/1/2020
Harbison Crest,,,4/1/2020
Harbison Crest-El Cajon,52.199,35.6142,4/1/2020
Jamul,,,4/1/2020
Kearny Mesa,63.702,37.3046,4/1/2020
La Mesa,11.7,18.4719,4/1/2020
Laguna-Pine Valley,,,4/1/2020
Lakeside,12.002,20.1433,4/1/2020
Lemon Grove,8.995,29.2085,4/1/2020
Mid-City,64.317,37.5877,4/1/2020
Miramar,,,4/1/2020
Mountain Empire,,,4/1/2020
National City,10.621,17.2046,4/1/2020
North Central Region,219,32.9138,4/1/2020
North Coastal Region,122,21.6978,4/1/2020
North County,238,20.3441,4/1/2020
North Inland Region,116,19.0913,4/1/2020
North San Diego,42.964,35.5297,4/1/2020
Oceanside,22.482,13.271,4/1/2020
Palomar-Julian,,,4/1/2020
Pauma,,,4/1/2020
Pendleton,,,4/1/2020
Peninsula,15.787,22.5731,4/1/2020
Poway,18.287,20.2634,4/1/2020
Ramona,,,4/1/2020
San Diego County,966,28.9442,4/1/2020
San Dieguito,42.993,42.3058,4/1/2020
San Marcos,12.26,12.1426,4/1/2020
Santee,9.742,17.9449,4/1/2020
South Bay,30.146,22.4053,4/1/2020
South Region,116,23.2508,4/1/2020
Southeastern San Diego,49.925,34.2952,4/1/2020
Spring Valley,25.659,30.5332,4/1/2020
Supervisorial District 1,160.998,25.6387,4/1/2020
Supervisorial District 2,158.533,24.2199,4/1/2020
Supervisorial District 3,181.772,27.1503,4/1/2020
Supervisorial District 4,325.476,45.822,4/1/2020
Supervisorial District 5,113.221,16.77,4/1/2020
Sweetwater,41.474,27.6737,4/1/2020
Unincorporated,107.136,20.8791,4/1/2020
University,23.533,32.4586,4/1/2020
Valley Center,,,4/1/2020
Vista,12.626,11.6825,4/1/2020
