Geography,"Allocated
Case
Count
(Raw)","COVID-19
Total Rate
(Suppressed)",Date
Alpine,71.3,441.7,8/1/2020
Anza-Borrego Springs,16.5,315.8,8/1/2020
Carlsbad,546.0,431.7,8/1/2020
Central Region,6370.0,1236.6,8/1/2020
Central San Diego,2106.4,998.8,8/1/2020
Chula Vista,2040.7,1644.9,8/1/2020
City of Carlsbad,491.7,426.6,8/1/2020
City of Chula Vista,3856.9,1420.8,8/1/2020
City of Coronado,138.0,570.3,8/1/2020
City of Del Mar,18.2,410.2,8/1/2020
City of El Cajon,1301.2,1230.3,8/1/2020
City of Encinitas,249.5,393.7,8/1/2020
City of Escondido,1177.3,770.7,8/1/2020
City of Imperial Beach,386.0,1406.3,8/1/2020
City of La Mesa,477.0,784.6,8/1/2020
City of Lemon Grove,325.0,1194.5,8/1/2020
City of National City,1155.8,1857.6,8/1/2020
City of Oceanside,1006.6,565.6,8/1/2020
City of Poway,183.6,364.8,8/1/2020
City of San Diego,12916.8,909.3,8/1/2020
City of San Marcos,583.3,594.0,8/1/2020
City of Santee,290.0,496.7,8/1/2020
City of Solana Beach,43.0,308.2,8/1/2020
City of Vista,695.4,682.1,8/1/2020
Coastal,611.8,703.4,8/1/2020
Coronado,138.0,570.3,8/1/2020
Del Mar-Mira Mesa,696.1,407.1,8/1/2020
East Region,4746.0,971.1,8/1/2020
El Cajon,1589.1,1200.9,8/1/2020
Elliott-Navajo,456.6,476.8,8/1/2020
Escondido,1299.5,741.4,8/1/2020
Fallbrook,306.8,618.9,8/1/2020
Harbison Crest,154.3,1018.3,8/1/2020
Harbison Crest-El Cajon,1743.4,1182.1,8/1/2020
Jamul,219.6,1158.9,8/1/2020
Kearny Mesa,1091.6,638.3,8/1/2020
La Mesa,491.6,781.2,8/1/2020
Laguna-Pine Valley,17.4,303.9,8/1/2020
Lakeside,417.8,694.4,8/1/2020
Lemon Grove,388.0,1252.1,8/1/2020
Mid-City,1885.6,1117.6,8/1/2020
Miramar,38.3,521.6,8/1/2020
Mountain Empire,66.3,805.5,8/1/2020
National City,1152.5,1867.2,8/1/2020
North Central Region,3453.0,516.2,8/1/2020
North Coastal Region,2799.0,499.3,8/1/2020
North County,6203.0,527.3,8/1/2020
North Inland Region,3404.0,552.8,8/1/2020
North San Diego,420.4,344.7,8/1/2020
Oceanside,989.4,583.8,8/1/2020
Palomar-Julian,17.2,219.2,8/1/2020
Pauma,88.0,1042.3,8/1/2020
Pendleton,60.0,145.3,8/1/2020
Peninsula,386.6,545.3,8/1/2020
Poway,321.0,354.5,8/1/2020
Ramona,168.9,471.2,8/1/2020
San Diego County,29883.0,891.6,8/1/2020
San Dieguito,394.3,387.8,8/1/2020
San Marcos,643.8,622.9,8/1/2020
Santee,281.8,507.7,8/1/2020
South Bay,3120.1,2364.1,8/1/2020
South Region,8474.0,1686.2,8/1/2020
Southeastern San Diego,2479.9,1729.4,8/1/2020
Spring Valley,1086.1,1283.4,8/1/2020
Supervisorial District 1,10612.8,1688.5,8/1/2020
Supervisorial District 2,5626.6,855.0,8/1/2020
Supervisorial District 3,3179.4,471.7,8/1/2020
Supervisorial District 4,6109.9,856.9,8/1/2020
Supervisorial District 5,3717.3,548.2,8/1/2020
Sweetwater,1897.6,1239.5,8/1/2020
Unincorporated,3951.0,766.2,8/1/2020
University,196.4,270.7,8/1/2020
Valley Center,140.6,605.9,8/1/2020
Vista,752.2,701.2,8/1/2020
