Geography,"Allocated
Case Count (Raw)","COVID-19
Total Rate (Suppressed)",date
Alpine,,,4/20/2020
Anza-Borrego Springs,,,4/20/2020
Carlsbad,52.99,42.252,4/20/2020
Central Region,536,103.517,4/20/2020
Central San Diego,227.86,108.935,4/20/2020
Chula Vista,133.53,108.473,4/20/2020
City of Carlsbad,50.86,44.37,4/20/2020
City of Chula Vista,276.33,103.3,4/20/2020
City of Coronado,7,32.283,4/20/2020
City of Del Mar,5.02,116.06,4/20/2020
City of El Cajon,130.48,123.607,4/20/2020
City of Encinitas,31.6,50.034,4/20/2020
City of Escondido,73.99,48.848,4/20/2020
City of Imperial Beach,16,56.812,4/20/2020
City of La Mesa,48.06,78.458,4/20/2020
City of Lemon Grove,19,70.806,4/20/2020
City of National City,70.37,113.033,4/20/2020
City of Oceanside,55.06,31.042,4/20/2020
City of Poway,20.95,41.737,4/20/2020
City of San Diego,1198.46,84.408,4/20/2020
City of San Marcos,29.18,30.471,4/20/2020
City of Santee,27.21,47.739,4/20/2020
City of Solana Beach,6.08,43.598,4/20/2020
City of Vista,36.26,35.069,4/20/2020
Coastal,56.71,65.989,4/20/2020
Coronado,7,32.283,4/20/2020
Del Mar-Mira Mesa,97.32,56.954,4/20/2020
East Region,410,84.448,4/20/2020
El Cajon,160.18,121.885,4/20/2020
Elliott-Navajo,59.98,63.412,4/20/2020
Escondido,85.33,49.248,4/20/2020
Fallbrook,10.27,21.143,4/20/2020
Harbison Crest,15.5,102.326,4/20/2020
Harbison Crest-El Cajon,175.68,119.863,4/20/2020
Jamul,17.11,87.322,4/20/2020
Kearny Mesa,111.12,65.074,4/20/2020
La Mesa,49.15,77.601,4/20/2020
Laguna-Pine Valley,,,4/20/2020
Lakeside,35.17,59.037,4/20/2020
Lemon Grove,23.89,77.566,4/20/2020
Mid-City,145.3,84.915,4/20/2020
Miramar,6.58,95.806,4/20/2020
Mountain Empire,,,4/20/2020
National City,69.71,112.915,4/20/2020
North Central Region,390,58.614,4/20/2020
North Coastal Region,217,38.594,4/20/2020
North County,482,41.201,4/20/2020
North Inland Region,265,43.614,4/20/2020
North San Diego,75.63,62.544,4/20/2020
Oceanside,52.99,31.28,4/20/2020
Palomar-Julian,,,4/20/2020
Pauma,,,4/20/2020
Pendleton,,,4/20/2020
Peninsula,39.57,56.574,4/20/2020
Poway,38.05,42.158,4/20/2020
Ramona,11.94,33.94,4/20/2020
San Diego County,2434,72.93,4/20/2020
San Dieguito,55.24,54.357,4/20/2020
San Marcos,29.6,29.315,4/20/2020
Santee,26.29,48.422,4/20/2020
South Bay,209.11,155.416,4/20/2020
South Region,585,117.256,4/20/2020
Southeastern San Diego,175,120.211,4/20/2020
Spring Valley,79.51,94.615,4/20/2020
Supervisorial District 1,717.19,114.211,4/20/2020
Supervisorial District 2,498.77,76.2,4/20/2020
Supervisorial District 3,356.38,53.23,4/20/2020
Supervisorial District 4,606.16,85.337,4/20/2020
Supervisorial District 5,224.51,33.254,4/20/2020
Sweetwater,150.93,100.708,4/20/2020
Unincorporated,301.09,58.679,4/20/2020
University,33.44,46.122,4/20/2020
Valley Center,6.85,30.098,4/20/2020
Vista,37.75,34.929,4/20/2020
