Geography,"Allocated
Case
Count
(Raw)","COVID-19
Total Rate
(Suppressed)",Date
Alpine,16.5,102.8,6/20/2020
Anza-Borrego Springs,9.2,179.9,6/20/2020
Carlsbad,132.5,105.7,6/20/2020
Central Region,2407.0,464.9,6/20/2020
Central San Diego,812.9,388.6,6/20/2020
Chula Vista,892.4,725.0,6/20/2020
City of Carlsbad,113.1,98.7,6/20/2020
City of Chula Vista,1572.4,587.8,6/20/2020
City of Coronado,29.0,133.7,6/20/2020
City of Del Mar,8.2,188.6,6/20/2020
City of El Cajon,518.5,491.2,6/20/2020
City of Encinitas,81.0,128.3,6/20/2020
City of Escondido,381.8,252.1,6/20/2020
City of Imperial Beach,162.0,575.2,6/20/2020
City of La Mesa,162.2,264.8,6/20/2020
City of Lemon Grove,115.0,428.6,6/20/2020
City of National City,523.2,840.4,6/20/2020
City of Oceanside,290.4,163.7,6/20/2020
City of Poway,63.9,127.2,6/20/2020
City of San Diego,4851.8,341.7,6/20/2020
City of San Marcos,149.5,156.1,6/20/2020
City of Santee,90.8,159.4,6/20/2020
City of Solana Beach,16.7,120.1,6/20/2020
City of Vista,192.1,185.8,6/20/2020
Coastal,136.6,158.9,6/20/2020
Coronado,29.0,133.7,6/20/2020
Del Mar-Mira Mesa,228.8,133.9,6/20/2020
East Region,1708.0,351.8,6/20/2020
El Cajon,620.6,472.3,6/20/2020
Elliott-Navajo,148.8,157.3,6/20/2020
Escondido,418.8,241.7,6/20/2020
Fallbrook,63.0,129.7,6/20/2020
Harbison Crest,58.2,384.3,6/20/2020
Harbison Crest-El Cajon,678.9,463.2,6/20/2020
Jamul,80.9,413.1,6/20/2020
Kearny Mesa,347.2,203.3,6/20/2020
La Mesa,167.8,265.0,6/20/2020
Laguna-Pine Valley,,,6/20/2020
Lakeside,153.5,257.6,6/20/2020
Lemon Grove,140.1,454.9,6/20/2020
Mid-City,685.9,400.8,6/20/2020
Miramar,12.2,177.8,6/20/2020
Mountain Empire,31.9,388.2,6/20/2020
National City,522.1,845.7,6/20/2020
North Central Region,1037.0,155.9,6/20/2020
North Coastal Region,774.0,137.7,6/20/2020
North County,1797.0,153.6,6/20/2020
North Inland Region,1023.0,168.4,6/20/2020
North San Diego,157.8,130.5,6/20/2020
Oceanside,284.5,167.9,6/20/2020
Palomar-Julian,,,6/20/2020
Pauma,9.8,119.8,6/20/2020
Pendleton,,,6/20/2020
Peninsula,119.7,171.2,6/20/2020
Poway,102.5,113.6,6/20/2020
Ramona,55.7,158.4,6/20/2020
San Diego County,10794.0,323.4,6/20/2020
San Dieguito,128.3,126.3,6/20/2020
San Marcos,170.0,168.4,6/20/2020
Santee,90.0,165.8,6/20/2020
South Bay,1452.3,1079.4,6/20/2020
South Region,3667.0,735.0,6/20/2020
Southeastern San Diego,943.9,648.4,6/20/2020
Spring Valley,371.8,442.4,6/20/2020
Supervisorial District 1,4463.0,710.7,6/20/2020
Supervisorial District 2,2007.0,306.6,6/20/2020
Supervisorial District 3,1045.1,156.1,6/20/2020
Supervisorial District 4,2146.0,302.1,6/20/2020
Supervisorial District 5,954.9,141.4,6/20/2020
Sweetwater,712.9,475.7,6/20/2020
Unincorporated,1294.2,252.2,6/20/2020
University,61.7,85.1,6/20/2020
Valley Center,35.1,154.1,6/20/2020
Vista,200.3,185.4,6/20/2020
