Geography,"Allocated
Case Count (Raw)","COVID-19
Total Rate (Suppressed)",date
Alpine,8.36,52.006,5/21/2020
Anza-Borrego Springs,,,5/21/2020
Carlsbad,80.31,64.036,5/21/2020
Central Region,1366,263.813,5/21/2020
Central San Diego,491.11,234.787,5/21/2020
Chula Vista,520.19,422.587,5/21/2020
City of Carlsbad,74.09,64.635,5/21/2020
City of Chula Vista,949.2,354.836,5/21/2020
City of Coronado,18,83.014,5/21/2020
City of Del Mar,5.33,123.314,5/21/2020
City of El Cajon,349.04,330.667,5/21/2020
City of Encinitas,39.96,63.271,5/21/2020
City of Escondido,192.59,127.138,5/21/2020
City of Imperial Beach,65,230.799,5/21/2020
City of La Mesa,105.2,171.732,5/21/2020
City of Lemon Grove,61,227.324,5/21/2020
City of National City,320.28,514.456,5/21/2020
City of Oceanside,146.16,82.406,5/21/2020
City of Poway,36.92,73.537,5/21/2020
City of San Diego,2962.07,208.619,5/21/2020
City of San Marcos,78,81.448,5/21/2020
City of Santee,52.53,92.162,5/21/2020
City of Solana Beach,7.14,51.251,5/21/2020
City of Vista,100.03,96.757,5/21/2020
Coastal,71.43,83.111,5/21/2020
Coronado,18,83.014,5/21/2020
Del Mar-Mira Mesa,153.23,89.677,5/21/2020
East Region,1039,214.003,5/21/2020
El Cajon,414.41,315.333,5/21/2020
Elliott-Navajo,91.39,96.624,5/21/2020
Escondido,214.78,123.956,5/21/2020
Fallbrook,26.05,53.621,5/21/2020
Harbison Crest,36.44,240.586,5/21/2020
Harbison Crest-El Cajon,450.85,307.608,5/21/2020
Jamul,47.87,244.315,5/21/2020
Kearny Mesa,222.25,130.149,5/21/2020
La Mesa,107.68,170.007,5/21/2020
Laguna-Pine Valley,,,5/21/2020
Lakeside,93.16,156.358,5/21/2020
Lemon Grove,75.21,244.221,5/21/2020
Mid-City,373.76,218.431,5/21/2020
Miramar,8.43,122.632,5/21/2020
Mountain Empire,13.6,165.473,5/21/2020
National City,319.46,517.474,5/21/2020
North Central Region,654,98.29,5/21/2020
North Coastal Region,419,74.52,5/21/2020
North County,987,84.368,5/21/2020
North Inland Region,568,93.482,5/21/2020
North San Diego,119.75,99.025,5/21/2020
Oceanside,145.27,85.754,5/21/2020
Palomar-Julian,,,5/21/2020
Pauma,5.3,65.043,5/21/2020
Pendleton,,,5/21/2020
Peninsula,84.91,121.407,5/21/2020
Poway,62.37,69.114,5/21/2020
Ramona,29.9,85.001,5/21/2020
San Diego County,6434,192.782,5/21/2020
San Dieguito,68.89,67.787,5/21/2020
San Marcos,86.1,85.278,5/21/2020
Santee,52.6,96.881,5/21/2020
South Bay,912.71,678.349,5/21/2020
South Region,2262,453.39,5/21/2020
Southeastern San Diego,525.3,360.844,5/21/2020
Spring Valley,205.77,244.868,5/21/2020
Supervisorial District 1,2689.16,428.244,5/21/2020
Supervisorial District 2,1206.3,184.294,5/21/2020
Supervisorial District 3,623.82,93.176,5/21/2020
Supervisorial District 4,1283.49,180.695,5/21/2020
Supervisorial District 5,505.23,74.834,5/21/2020
Sweetwater,452.15,301.696,5/21/2020
Unincorporated,745.47,145.281,5/21/2020
University,38.1,52.557,5/21/2020
Valley Center,16.14,70.881,5/21/2020
Vista,105.17,97.313,5/21/2020
