Geography,"Allocated
Case
Count
(Raw)","COVID-19
Total Rate
(Suppressed)",Date
Alpine,104.2,644.9,9/22/2020
Anza-Borrego Springs,18.2,348.4,9/22/2020
Carlsbad,812.1,642.1,9/22/2020
Central Region,10123.0,1965.1,9/22/2020
Central San Diego,3319.9,1574.2,9/22/2020
Chula Vista,3044.2,2453.8,9/22/2020
City of Carlsbad,700.7,608.0,9/22/2020
City of Chula Vista,5715.0,2105.4,9/22/2020
City of Coronado,177.0,731.4,9/22/2020
City of Del Mar,24.4,551.7,9/22/2020
City of El Cajon,1830.6,1730.9,9/22/2020
City of Encinitas,364.0,574.4,9/22/2020
City of Escondido,2000.3,1309.5,9/22/2020
City of Imperial Beach,570.0,2076.7,9/22/2020
City of La Mesa,658.0,1082.3,9/22/2020
City of Lemon Grove,462.0,1698.0,9/22/2020
City of National City,1592.0,2558.6,9/22/2020
City of Oceanside,1819.8,1022.5,9/22/2020
City of Poway,289.3,575.0,9/22/2020
City of San Diego,19654.7,1383.7,9/22/2020
City of San Marcos,1029.2,1048.1,9/22/2020
City of Santee,444.9,761.9,9/22/2020
City of Solana Beach,58.3,418.4,9/22/2020
City of Vista,1123.4,1101.8,9/22/2020
Coastal,838.6,964.1,9/22/2020
Coronado,177.0,731.4,9/22/2020
Del Mar-Mira Mesa,1003.5,586.9,9/22/2020
East Region,6790.0,1389.3,9/22/2020
El Cajon,2241.9,1694.2,9/22/2020
Elliott-Navajo,691.9,722.5,9/22/2020
Escondido,2216.5,1264.5,9/22/2020
Fallbrook,527.0,1063.1,9/22/2020
Harbison Crest,222.5,1468.8,9/22/2020
Harbison Crest-El Cajon,2464.4,1671.0,9/22/2020
Jamul,322.0,1698.7,9/22/2020
Kearny Mesa,1541.4,901.4,9/22/2020
La Mesa,681.6,1083.2,9/22/2020
Laguna-Pine Valley,21.4,374.0,9/22/2020
Lakeside,641.8,1066.5,9/22/2020
Lemon Grove,549.5,1773.5,9/22/2020
Mid-City,3501.8,2075.6,9/22/2020
Miramar,54.0,736.3,9/22/2020
Mountain Empire,106.4,1293.0,9/22/2020
National City,1586.6,2570.4,9/22/2020
North Central Region,4938.0,738.2,9/22/2020
North Coastal Region,4543.0,810.3,9/22/2020
North County,10251.0,871.4,9/22/2020
North Inland Region,5708.0,927.0,9/22/2020
North San Diego,626.0,513.4,9/22/2020
Oceanside,1775.1,1047.4,9/22/2020
Palomar-Julian,38.2,487.9,9/22/2020
Pauma,136.3,1615.3,9/22/2020
Pendleton,99.0,239.8,9/22/2020
Peninsula,545.7,769.5,9/22/2020
Poway,511.2,564.5,9/22/2020
Ramona,319.0,890.0,9/22/2020
San Diego County,45425.0,1355.2,9/22/2020
San Dieguito,571.3,562.0,9/22/2020
San Marcos,1123.1,1086.7,9/22/2020
Santee,432.1,778.5,9/22/2020
South Bay,4604.3,3488.6,9/22/2020
South Region,12398.0,2467.1,9/22/2020
Southeastern San Diego,3460.6,2413.2,9/22/2020
Spring Valley,1532.1,1810.4,9/22/2020
Supervisorial District 1,15368.5,2445.1,9/22/2020
Supervisorial District 2,8508.7,1292.9,9/22/2020
Supervisorial District 3,4922.3,730.2,9/22/2020
Supervisorial District 4,9491.3,1331.2,9/22/2020
Supervisorial District 5,6209.2,915.7,9/22/2020
Sweetwater,2783.4,1818.1,9/22/2020
Unincorporated,5986.4,1161.0,9/22/2020
University,281.1,387.4,9/22/2020
Valley Center,224.0,965.6,9/22/2020
Vista,1213.6,1131.4,9/22/2020
