Geography,"Allocated
Case
Count
(Raw)","COVID-19
Total Rate
(Suppressed)",Date
Alpine,84.3,521.9,8/25/2020
Anza-Borrego Springs,18.1,346.6,8/25/2020
Carlsbad,665.6,526.2,8/25/2020
Central Region,7823.0,1518.6,8/25/2020
Central San Diego,2545.0,1206.7,8/25/2020
Chula Vista,2510.9,2023.9,8/25/2020
City of Carlsbad,583.2,506.0,8/25/2020
City of Chula Vista,4733.8,1743.9,8/25/2020
City of Coronado,159.0,657.1,8/25/2020
City of Del Mar,19.7,445.6,8/25/2020
City of El Cajon,1621.3,1533.0,8/25/2020
City of Encinitas,304.3,480.2,8/25/2020
City of Escondido,1586.1,1038.3,8/25/2020
City of Imperial Beach,467.0,1701.4,8/25/2020
City of La Mesa,553.4,910.4,8/25/2020
City of Lemon Grove,394.0,1448.1,8/25/2020
City of National City,1393.7,2239.9,8/25/2020
City of Oceanside,1375.3,772.7,8/25/2020
City of Poway,228.5,454.0,8/25/2020
City of San Diego,15809.2,1112.9,8/25/2020
City of San Marcos,807.7,822.6,8/25/2020
City of Santee,377.5,646.6,8/25/2020
City of Solana Beach,47.3,339.3,8/25/2020
City of Vista,909.7,892.2,8/25/2020
Coastal,708.8,814.9,8/25/2020
Coronado,159.0,657.1,8/25/2020
Del Mar-Mira Mesa,848.0,495.9,8/25/2020
East Region,5862.0,1199.4,8/25/2020
El Cajon,1980.7,1496.8,8/25/2020
Elliott-Navajo,539.7,563.6,8/25/2020
Escondido,1754.0,1000.7,8/25/2020
Fallbrook,428.8,865.0,8/25/2020
Harbison Crest,193.5,1277.3,8/25/2020
Harbison Crest-El Cajon,2174.3,1474.3,8/25/2020
Jamul,272.1,1435.4,8/25/2020
Kearny Mesa,1333.2,779.7,8/25/2020
La Mesa,572.1,909.1,8/25/2020
Laguna-Pine Valley,19.3,337.3,8/25/2020
Lakeside,544.2,904.4,8/25/2020
Lemon Grove,471.3,1521.2,8/25/2020
Mid-City,2377.0,1408.9,8/25/2020
Miramar,46.1,628.2,8/25/2020
Mountain Empire,86.0,1045.7,8/25/2020
National City,1389.5,2251.2,8/25/2020
North Central Region,4132.0,617.7,8/25/2020
North Coastal Region,3609.0,643.7,8/25/2020
North County,8175.0,694.9,8/25/2020
North Inland Region,4566.0,741.5,8/25/2020
North San Diego,507.2,415.9,8/25/2020
Oceanside,1348.6,795.7,8/25/2020
Palomar-Julian,35.3,450.8,8/25/2020
Pauma,119.8,1419.2,8/25/2020
Pendleton,75.0,181.7,8/25/2020
Peninsula,457.4,645.1,8/25/2020
Poway,392.2,433.1,8/25/2020
Ramona,257.6,718.6,8/25/2020
San Diego County,37222.0,1110.5,8/25/2020
San Dieguito,475.7,467.9,8/25/2020
San Marcos,885.6,856.9,8/25/2020
Santee,366.9,661.0,8/25/2020
South Bay,3884.0,2942.8,8/25/2020
South Region,10426.0,2074.7,8/25/2020
Southeastern San Diego,3027.1,2111.0,8/25/2020
Spring Valley,1323.6,1564.0,8/25/2020
Supervisorial District 1,13015.4,2070.7,8/25/2020
Supervisorial District 2,6988.9,1062.0,8/25/2020
Supervisorial District 3,4000.7,593.5,8/25/2020
Supervisorial District 4,7478.2,1048.8,8/25/2020
Supervisorial District 5,4934.7,727.8,8/25/2020
Sweetwater,2320.8,1515.9,8/25/2020
Unincorporated,5047.3,978.8,8/25/2020
University,231.6,319.2,8/25/2020
Valley Center,178.7,770.0,8/25/2020
Vista,983.7,917.0,8/25/2020
