Geography,"Allocated
Case
Count
(Raw)","COVID-19
Total Rate
(Suppressed)",Date
Alpine,62.4,386.1,7/29/2020
Anza-Borrego Springs,16.5,315.8,7/29/2020
Carlsbad,528.4,417.7,7/29/2020
Central Region,6142.0,1192.3,7/29/2020
Central San Diego,2036.5,965.6,7/29/2020
Chula Vista,1946.6,1569.1,7/29/2020
City of Carlsbad,478.5,415.2,7/29/2020
City of Chula Vista,3681.7,1356.3,7/29/2020
City of Coronado,133.0,549.6,7/29/2020
City of Del Mar,18.2,410.2,7/29/2020
City of El Cajon,1236.0,1168.7,7/29/2020
City of Encinitas,243.9,385.0,7/29/2020
City of Escondido,1106.5,724.3,7/29/2020
City of Imperial Beach,373.0,1358.9,7/29/2020
City of La Mesa,466.3,767.1,7/29/2020
City of Lemon Grove,308.0,1132.0,7/29/2020
City of National City,1111.5,1786.3,7/29/2020
City of Oceanside,954.5,536.3,7/29/2020
City of Poway,182.6,362.8,7/29/2020
City of San Diego,12436.3,875.5,7/29/2020
City of San Marcos,560.2,570.5,7/29/2020
City of Santee,271.9,465.8,7/29/2020
City of Solana Beach,40.0,286.7,7/29/2020
City of Vista,655.6,643.0,7/29/2020
Coastal,594.5,683.5,7/29/2020
Coronado,133.0,549.6,7/29/2020
Del Mar-Mira Mesa,672.7,393.4,7/29/2020
East Region,4533.0,927.5,7/29/2020
El Cajon,1512.9,1143.3,7/29/2020
Elliott-Navajo,443.2,462.8,7/29/2020
Escondido,1224.5,698.6,7/29/2020
Fallbrook,293.0,590.9,7/29/2020
Harbison Crest,149.1,984.0,7/29/2020
Harbison Crest-El Cajon,1662.0,1126.9,7/29/2020
Jamul,210.8,1112.3,7/29/2020
Kearny Mesa,1037.5,606.7,7/29/2020
La Mesa,480.6,763.7,7/29/2020
Laguna-Pine Valley,15.9,278.1,7/29/2020
Lakeside,399.2,663.4,7/29/2020
Lemon Grove,368.2,1188.4,7/29/2020
Mid-City,1815.8,1076.2,7/29/2020
Miramar,36.9,503.0,7/29/2020
Mountain Empire,64.1,778.9,7/29/2020
National City,1108.5,1795.9,7/29/2020
North Central Region,3319.0,496.1,7/29/2020
North Coastal Region,2677.0,477.5,7/29/2020
North County,5918.0,503.1,7/29/2020
North Inland Region,3241.0,526.3,7/29/2020
North San Diego,402.7,330.3,7/29/2020
Oceanside,937.7,553.3,7/29/2020
Palomar-Julian,17.2,219.1,7/29/2020
Pauma,82.1,973.1,7/29/2020
Pendleton,59.0,142.9,7/29/2020
Peninsula,367.6,518.4,7/29/2020
Poway,314.4,347.2,7/29/2020
Ramona,160.0,446.2,7/29/2020
San Diego County,28668.0,855.3,7/29/2020
San Dieguito,384.2,377.9,7/29/2020
San Marcos,614.7,594.7,7/29/2020
Santee,264.3,476.2,7/29/2020
South Bay,3001.4,2274.1,7/29/2020
South Region,8121.0,1616.0,7/29/2020
Southeastern San Diego,2388.1,1665.4,7/29/2020
Spring Valley,1041.5,1230.7,7/29/2020
Supervisorial District 1,10191.0,1621.4,7/29/2020
Supervisorial District 2,5383.6,818.1,7/29/2020
Supervisorial District 3,3037.9,450.7,7/29/2020
Supervisorial District 4,5871.7,823.5,7/29/2020
Supervisorial District 5,3548.8,523.4,7/29/2020
Sweetwater,1810.9,1182.9,7/29/2020
Unincorporated,3775.3,732.2,7/29/2020
University,191.3,263.7,7/29/2020
Valley Center,134.2,578.5,7/29/2020
Vista,710.9,662.8,7/29/2020
