Geography,"Allocated
Case Count (Raw)","COVID-19
Total Rate (Suppressed)",date
Alpine,10.22,63.568,6/2/2020
Anza-Borrego Springs,7.21,140.85,6/2/2020
Carlsbad,86.75,69.167,6/2/2020
Central Region,1694,327.159,6/2/2020
Central San Diego,589.1,281.633,6/2/2020
Chula Vista,636.13,516.778,6/2/2020
City of Carlsbad,78.46,68.449,6/2/2020
City of Chula Vista,1158.78,433.184,6/2/2020
City of Coronado,23,106.074,6/2/2020
City of Del Mar,5.64,130.567,6/2/2020
City of El Cajon,422.03,399.812,6/2/2020
City of Encinitas,52.92,83.792,6/2/2020
City of Escondido,247.21,163.201,6/2/2020
City of Imperial Beach,100,355.076,6/2/2020
City of La Mesa,119.97,195.838,6/2/2020
City of Lemon Grove,75,279.496,6/2/2020
City of National City,392.02,629.681,6/2/2020
City of Oceanside,171.21,96.533,6/2/2020
City of Poway,37.92,75.524,6/2/2020
City of San Diego,3579.8,252.127,6/2/2020
City of San Marcos,97.55,101.858,6/2/2020
City of Santee,65.67,115.229,6/2/2020
City of Solana Beach,10.21,73.243,6/2/2020
City of Vista,116.28,112.482,6/2/2020
Coastal,86.94,101.16,6/2/2020
Coronado,23,106.074,6/2/2020
Del Mar-Mira Mesa,176.97,103.566,6/2/2020
East Region,1263,260.14,6/2/2020
El Cajon,503.82,383.367,6/2/2020
Elliott-Navajo,114.52,121.075,6/2/2020
Escondido,273.29,157.723,6/2/2020
Fallbrook,35.21,72.485,6/2/2020
Harbison Crest,46.39,306.256,6/2/2020
Harbison Crest-El Cajon,550.21,375.398,6/2/2020
Jamul,61.11,311.913,6/2/2020
Kearny Mesa,265.1,155.247,6/2/2020
La Mesa,123.11,194.374,6/2/2020
Laguna-Pine Valley,,,6/2/2020
Lakeside,120.34,201.973,6/2/2020
Lemon Grove,92.47,300.276,6/2/2020
Mid-City,471.13,275.332,6/2/2020
Miramar,9.63,140.074,6/2/2020
Mountain Empire,14.6,177.644,6/2/2020
National City,391.1,633.521,6/2/2020
North Central Region,779,117.077,6/2/2020
North Coastal Region,486,86.436,6/2/2020
North County,1188,101.549,6/2/2020
North Inland Region,702,115.535,6/2/2020
North San Diego,135.26,111.855,6/2/2020
Oceanside,169.6,100.115,6/2/2020
Palomar-Julian,,,6/2/2020
Pauma,6.47,79.461,6/2/2020
Pendleton,,,6/2/2020
Peninsula,99.69,142.544,6/2/2020
Poway,66.14,73.295,6/2/2020
Ramona,40.8,115.989,6/2/2020
San Diego County,7798,233.651,6/2/2020
San Dieguito,87.39,85.997,6/2/2020
San Marcos,108.93,107.888,6/2/2020
Santee,65.68,120.982,6/2/2020
South Bay,1105.78,821.844,6/2/2020
South Region,2752,551.605,6/2/2020
Southeastern San Diego,660.95,454.03,6/2/2020
Spring Valley,248.66,295.899,6/2/2020
Supervisorial District 1,3300.69,525.629,6/2/2020
Supervisorial District 2,1473.27,225.08,6/2/2020
Supervisorial District 3,748.62,111.818,6/2/2020
Supervisorial District 4,1553.05,218.646,6/2/2020
Supervisorial District 5,600.36,88.923,6/2/2020
Sweetwater,546.66,364.758,6/2/2020
Unincorporated,922.31,179.745,6/2/2020
University,42.53,58.662,6/2/2020
Valley Center,22.83,100.281,6/2/2020
Vista,122.12,112.996,6/2/2020
