Geography,"Allocated
Case
Count
(Raw)","COVID-19
Total Rate
(Suppressed)",Date
Alpine,96.8,599.5,9/4/2020
Anza-Borrego Springs,18.1,346.6,9/4/2020
Carlsbad,721.8,570.7,9/4/2020
Central Region,8605.0,1670.4,9/4/2020
Central San Diego,2815.1,1334.8,9/4/2020
Chula Vista,2740.9,2209.3,9/4/2020
City of Carlsbad,629.8,546.4,9/4/2020
City of Chula Vista,5121.1,1886.6,9/4/2020
City of Coronado,163.0,673.6,9/4/2020
City of Del Mar,22.9,516.3,9/4/2020
City of El Cajon,1685.9,1594.0,9/4/2020
City of Encinitas,331.5,523.2,9/4/2020
City of Escondido,1771.9,1160.0,9/4/2020
City of Imperial Beach,508.0,1850.8,9/4/2020
City of La Mesa,600.9,988.5,9/4/2020
City of Lemon Grove,423.0,1554.7,9/4/2020
City of National City,1487.5,2390.7,9/4/2020
City of Oceanside,1551.5,871.7,9/4/2020
City of Poway,242.4,481.8,9/4/2020
City of San Diego,17176.9,1209.2,9/4/2020
City of San Marcos,886.6,902.9,9/4/2020
City of Santee,404.6,693.0,9/4/2020
City of Solana Beach,55.0,394.5,9/4/2020
City of Vista,987.0,968.1,9/4/2020
Coastal,758.1,871.6,9/4/2020
Coronado,163.0,673.6,9/4/2020
Del Mar-Mira Mesa,914.1,534.6,9/4/2020
East Region,6227.0,1274.1,9/4/2020
El Cajon,2064.2,1559.9,9/4/2020
Elliott-Navajo,583.0,608.7,9/4/2020
Escondido,1959.8,1118.0,9/4/2020
Fallbrook,475.1,958.3,9/4/2020
Harbison Crest,204.6,1350.6,9/4/2020
Harbison Crest-El Cajon,2268.8,1538.4,9/4/2020
Jamul,288.4,1521.6,9/4/2020
Kearny Mesa,1401.1,819.3,9/4/2020
La Mesa,622.2,988.7,9/4/2020
Laguna-Pine Valley,20.0,349.0,9/4/2020
Lakeside,587.0,975.4,9/4/2020
Lemon Grove,504.0,1626.7,9/4/2020
Mid-City,2732.8,1619.8,9/4/2020
Miramar,49.3,672.3,9/4/2020
Mountain Empire,95.8,1163.9,9/4/2020
National City,1482.9,2402.5,9/4/2020
North Central Region,4403.0,658.2,9/4/2020
North Coastal Region,3988.0,711.3,9/4/2020
North County,9010.0,765.9,9/4/2020
North Inland Region,5022.0,815.6,9/4/2020
North San Diego,544.8,446.8,9/4/2020
Oceanside,1519.4,896.5,9/4/2020
Palomar-Julian,37.3,476.6,9/4/2020
Pauma,127.6,1511.6,9/4/2020
Pendleton,91.0,220.4,9/4/2020
Peninsula,485.8,685.1,9/4/2020
Poway,425.1,469.4,9/4/2020
Ramona,282.5,788.1,9/4/2020
San Diego County,40342.0,1203.6,9/4/2020
San Dieguito,519.1,510.5,9/4/2020
San Marcos,971.2,939.8,9/4/2020
Santee,393.2,708.4,9/4/2020
South Bay,4198.1,3180.8,9/4/2020
South Region,11246.0,2237.8,9/4/2020
Southeastern San Diego,3194.3,2227.5,9/4/2020
Spring Valley,1406.5,1661.9,9/4/2020
Supervisorial District 1,13979.9,2224.2,9/4/2020
Supervisorial District 2,7539.1,1145.6,9/4/2020
Supervisorial District 3,4381.0,649.9,9/4/2020
Supervisorial District 4,8154.2,1143.7,9/4/2020
Supervisorial District 5,5436.8,801.8,9/4/2020
Sweetwater,2486.0,1623.8,9/4/2020
Unincorporated,5441.5,1055.3,9/4/2020
University,246.0,339.1,9/4/2020
Valley Center,195.5,842.6,9/4/2020
Vista,1069.7,997.3,9/4/2020
