Geography,"Allocated
Case
Count
(Raw)","COVID-19
Total Rate
(Suppressed)",Date
Alpine,152.4,943.7,11/7/2020
Anza-Borrego Springs,23.0,439.6,11/7/2020
Carlsbad,1110.1,877.7,11/7/2020
Central Region,12693.0,2464.0,11/7/2020
Central San Diego,4350.3,2062.8,11/7/2020
Chula Vista,4022.3,3242.2,11/7/2020
City of Carlsbad,949.1,823.5,11/7/2020
City of Chula Vista,7589.0,2795.8,11/7/2020
City of Coronado,230.0,950.5,11/7/2020
City of Del Mar,35.1,792.2,11/7/2020
City of El Cajon,2485.4,2350.0,11/7/2020
City of Encinitas,538.8,850.4,11/7/2020
City of Escondido,2695.1,1764.3,11/7/2020
City of Imperial Beach,734.0,2674.1,11/7/2020
City of La Mesa,826.5,1359.6,11/7/2020
City of Lemon Grove,590.0,2168.5,11/7/2020
City of National City,2004.9,3222.2,11/7/2020
City of Oceanside,2520.7,1416.3,11/7/2020
City of Poway,407.0,808.9,11/7/2020
City of San Diego,25604.9,1802.5,11/7/2020
City of San Marcos,1366.8,1391.9,11/7/2020
City of Santee,654.8,1121.6,11/7/2020
City of Solana Beach,94.7,678.9,11/7/2020
City of Vista,1580.5,1550.1,11/7/2020
Coastal,1237.1,1422.3,11/7/2020
Coronado,230.0,950.5,11/7/2020
Del Mar-Mira Mesa,1357.3,793.8,11/7/2020
East Region,9143.0,1870.7,11/7/2020
El Cajon,3048.8,2304.0,11/7/2020
Elliott-Navajo,965.1,1007.7,11/7/2020
Escondido,2992.7,1707.3,11/7/2020
Fallbrook,677.8,1367.2,11/7/2020
Harbison Crest,303.8,2005.5,11/7/2020
Harbison Crest-El Cajon,3352.7,2273.3,11/7/2020
Jamul,432.0,2279.3,11/7/2020
Kearny Mesa,2132.1,1246.8,11/7/2020
La Mesa,856.9,1361.7,11/7/2020
Laguna-Pine Valley,32.7,571.0,11/7/2020
Lakeside,883.9,1469.0,11/7/2020
Lemon Grove,699.3,2256.9,11/7/2020
Mid-City,4273.6,2533.0,11/7/2020
Miramar,68.0,926.9,11/7/2020
Mountain Empire,185.4,2252.6,11/7/2020
National City,1996.7,3234.9,11/7/2020
North Central Region,6891.0,1030.1,11/7/2020
North Coastal Region,6337.0,1130.3,11/7/2020
North County,14015.0,1191.3,11/7/2020
North Inland Region,7678.0,1246.9,11/7/2020
North San Diego,837.4,686.7,11/7/2020
Oceanside,2458.6,1450.7,11/7/2020
Palomar-Julian,57.8,738.3,11/7/2020
Pauma,161.8,1917.2,11/7/2020
Pendleton,117.0,283.4,11/7/2020
Peninsula,773.6,1090.9,11/7/2020
Poway,700.2,773.3,11/7/2020
Ramona,471.9,1316.6,11/7/2020
San Diego County,60169.0,1795.1,11/7/2020
San Dieguito,841.8,828.0,11/7/2020
San Marcos,1493.9,1445.5,11/7/2020
Santee,633.1,1140.7,11/7/2020
South Bay,5981.0,4531.7,11/7/2020
South Region,16231.0,3229.8,11/7/2020
Southeastern San Diego,4294.5,2994.8,11/7/2020
Spring Valley,2000.7,2364.1,11/7/2020
Supervisorial District 1,19892.5,3164.8,11/7/2020
Supervisorial District 2,11432.0,1737.1,11/7/2020
Supervisorial District 3,6709.5,995.3,11/7/2020
Supervisorial District 4,12511.5,1754.8,11/7/2020
Supervisorial District 5,8427.4,1242.9,11/7/2020
Sweetwater,3719.7,2429.7,11/7/2020
Unincorporated,8065.7,1564.2,11/7/2020
University,397.8,548.2,11/7/2020
Valley Center,302.8,1305.0,11/7/2020
Vista,1698.2,1583.2,11/7/2020
