Date,Case,Rate,Date
Alpine,,,4/8/2020
Anza-Borrego Springs,,,4/8/2020
Carlsbad,45.06,35.9267,4/8/2020
Central Region,392,75.7062,4/8/2020
Central San Diego,182.43,87.2163,4/8/2020
Chula Vista,66.4,53.938,4/8/2020
City of Carlsbad,43.8,38.2126,4/8/2020
City of Chula Vista,153.04,57.2103,4/8/2020
City of Coronado,5,23.0595,4/8/2020
City of Del Mar,,,4/8/2020
City of El Cajon,86.93,82.3562,4/8/2020
City of Encinitas,29.76,47.1211,4/8/2020
City of Escondido,42.17,27.8423,4/8/2020
City of Imperial Beach,10,35.5076,4/8/2020
City of La Mesa,29.38,47.9539,4/8/2020
City of Lemon Grove,14,52.1726,4/8/2020
City of National City,32.58,52.3335,4/8/2020
City of Oceanside,36.04,20.3215,4/8/2020
City of Poway,15.97,31.7997,4/8/2020
City of San Diego,825.4,58.1332,4/8/2020
City of San Marcos,23.51,24.5529,4/8/2020
City of Santee,16.14,28.3157,4/8/2020
City of Solana Beach,,,4/8/2020
City of Vista,27.49,26.5918,4/8/2020
Coastal,52.97,61.6347,4/8/2020
Coronado,5,23.0595,4/8/2020
Del Mar-Mira Mesa,74.34,43.5066,4/8/2020
East Region,264,54.3761,4/8/2020
El Cajon,106.85,81.3052,4/8/2020
Elliott-Navajo,48.05,50.8029,4/8/2020
Escondido,50.18,28.9629,4/8/2020
Fallbrook,6.54,13.4633,4/8/2020
Harbison Crest,10.34,68.2802,4/8/2020
Harbison Crest-El Cajon,117.19,79.959,4/8/2020
Jamul,9.88,50.4153,4/8/2020
Kearny Mesa,84.76,49.6358,4/8/2020
La Mesa,30.1,47.5259,4/8/2020
Laguna-Pine Valley,,,4/8/2020
Lakeside,24.1,40.4501,4/8/2020
Lemon Grove,16.77,54.4702,4/8/2020
Mid-City,110.05,64.3162,4/8/2020
Miramar,,,4/8/2020
Mountain Empire,,,4/8/2020
National City,32.07,51.9537,4/8/2020
North Central Region,299,44.9371,4/8/2020
North Coastal Region,174,30.9461,4/8/2020
North County,355,30.3451,4/8/2020
North Inland Region,181,29.789,4/8/2020
North San Diego,55.16,45.6182,4/8/2020
Oceanside,34.23,20.2089,4/8/2020
Palomar-Julian,,,4/8/2020
Pauma,,,4/8/2020
Pendleton,,,4/8/2020
Peninsula,19.57,27.9788,4/8/2020
Poway,26.71,29.5982,4/8/2020
Ramona,9.88,28.0855,4/8/2020
San Diego County,1628,48.7797,4/8/2020
San Dieguito,51.33,50.505,4/8/2020
San Marcos,23.39,23.1636,4/8/2020
Santee,15.76,29.0251,4/8/2020
South Bay,84.93,63.1207,4/8/2020
South Region,289,57.9265,4/8/2020
Southeastern San Diego,107.73,74.0009,4/8/2020
Spring Valley,49.11,58.4427,4/8/2020
Supervisorial District 1,373.67,59.5063,4/8/2020
Supervisorial District 2,331.48,50.642,4/8/2020
Supervisorial District 3,257.29,38.4307,4/8/2020
Supervisorial District 4,464.27,65.3625,4/8/2020
Supervisorial District 5,172.28,25.518,4/8/2020
Sweetwater,92.19,61.5168,4/8/2020
Unincorporated,198.83,38.7495,4/8/2020
University,30.2,41.6521,4/8/2020
Valley Center,,,4/8/2020
Vista,27.66,25.5959,4/8/2020
