Geography,Allocated API Case Count (Raw),"COVID-19
Total API
Rate (Suppressed)",date
Alpine,,,6/10/2020
Anza-Borrego Springs,,,6/10/2020
Carlsbad,6.979,68.217,6/10/2020
Central Region,127.000,211.540,6/10/2020
Central San Diego,26.327,176.069,6/10/2020
Chula Vista,29.612,287.537,6/10/2020
City of Carlsbad,6.086,64.199,6/10/2020
City of Chula Vista,98.077,274.509,6/10/2020
City of Coronado,,,6/10/2020
City of Del Mar,,,6/10/2020
City of El Cajon,20.311,419.662,6/10/2020
City of Encinitas,,,6/10/2020
City of Escondido,11.025,103.366,6/10/2020
City of Imperial Beach,,,6/10/2020
City of La Mesa,8.612,232.291,6/10/2020
City of Lemon Grove,,,6/10/2020
City of National City,29.082,275.109,6/10/2020
City of Oceanside,8.003,58.291,6/10/2020
City of Poway,11.974,195.535,6/10/2020
City of San Diego,275.852,123.173,6/10/2020
City of San Marcos,,,6/10/2020
City of Santee,11.037,398.427,6/10/2020
City of Solana Beach,,,6/10/2020
City of Vista,6.108,99.565,6/10/2020
Coastal,7.268,122.238,6/10/2020
Coronado,,,6/10/2020
Del Mar-Mira Mesa,45.281,82.387,6/10/2020
East Region,64.000,251.592,6/10/2020
El Cajon,24.641,416.840,6/10/2020
Elliott-Navajo,11.149,105.594,6/10/2020
Escondido,12.681,103.092,6/10/2020
Fallbrook,,,6/10/2020
Harbison Crest,,,6/10/2020
Harbison Crest-El Cajon,27.051,415.147,6/10/2020
Jamul,,,6/10/2020
Kearny Mesa,23.205,101.510,6/10/2020
La Mesa,8.672,227.562,6/10/2020
Laguna-Pine Valley,,,6/10/2020
Lakeside,,,6/10/2020
Lemon Grove,,,6/10/2020
Mid-City,30.303,137.504,6/10/2020
Miramar,,,6/10/2020
Mountain Empire,,,6/10/2020
National City,28.941,275.454,6/10/2020
North Central Region,96.000,80.200,6/10/2020
North Coastal Region,26.000,68.279,6/10/2020
North County,99.000,87.471,6/10/2020
North Inland Region,73.000,97.201,6/10/2020
North San Diego,34.255,110.437,6/10/2020
Oceanside,7.538,58.122,6/10/2020
Palomar-Julian,,,6/10/2020
Pauma,,,6/10/2020
Pendleton,,,6/10/2020
Peninsula,,,6/10/2020
Poway,17.191,107.746,6/10/2020
Ramona,,,6/10/2020
San Diego County,541.000,142.798,6/10/2020
San Dieguito,5.230,87.030,6/10/2020
San Marcos,,,6/10/2020
Santee,10.121,385.927,6/10/2020
South Bay,19.297,169.393,6/10/2020
South Region,155.000,256.198,6/10/2020
Southeastern San Diego,71.550,303.335,6/10/2020
Spring Valley,10.471,172.446,6/10/2020
Supervisorial District 1,190.707,258.181,6/10/2020
Supervisorial District 2,86.822,212.851,6/10/2020
Supervisorial District 3,112.030,83.117,6/10/2020
Supervisorial District 4,122.236,151.547,6/10/2020
Supervisorial District 5,29.205,59.902,6/10/2020
Sweetwater,70.952,273.277,6/10/2020
Unincorporated,44.177,133.901,6/10/2020
University,6.704,32.813,6/10/2020
Valley Center,,,6/10/2020
Vista,5.939,98.287,6/10/2020
