Geography,"Allocated
API Case
Count
(Raw)","COVID-19
Total API
Rate
(Suppressed)",Date
Alpine,,,7/1/2020
Anza-Borrego Springs,,,7/1/2020
Carlsbad,9.4,92.0,7/1/2020
Central Region,215.0,358.1,7/1/2020
Central San Diego,47.3,316.3,7/1/2020
Chula Vista,45.7,443.5,7/1/2020
City of Carlsbad,6.1,64.2,7/1/2020
City of Chula Vista,144.9,405.5,7/1/2020
City of Coronado,,,7/1/2020
City of Del Mar,,,7/1/2020
City of El Cajon,27.3,564.0,7/1/2020
City of Encinitas,,,7/1/2020
City of Escondido,24.5,229.6,7/1/2020
City of Imperial Beach,,,7/1/2020
City of La Mesa,9.6,259.3,7/1/2020
City of Lemon Grove,,,7/1/2020
City of National City,40.6,384.5,7/1/2020
City of Oceanside,22.0,160.3,7/1/2020
City of Poway,13.0,211.8,7/1/2020
City of San Diego,432.5,193.1,7/1/2020
City of San Marcos,9.6,107.5,7/1/2020
City of Santee,13.0,470.6,7/1/2020
City of Solana Beach,,,7/1/2020
City of Vista,9.6,157.1,7/1/2020
Coastal,12.2,205.9,7/1/2020
Coronado,,,7/1/2020
Del Mar-Mira Mesa,67.6,123.0,7/1/2020
East Region,80.0,314.5,7/1/2020
El Cajon,32.1,542.6,7/1/2020
Elliott-Navajo,12.7,120.2,7/1/2020
Escondido,27.5,223.9,7/1/2020
Fallbrook,,,7/1/2020
Harbison Crest,,,7/1/2020
Harbison Crest-El Cajon,34.6,530.6,7/1/2020
Jamul,,,7/1/2020
Kearny Mesa,32.8,143.4,7/1/2020
La Mesa,9.7,253.8,7/1/2020
Laguna-Pine Valley,,,7/1/2020
Lakeside,,,7/1/2020
Lemon Grove,6.7,277.3,7/1/2020
Mid-City,53.4,242.3,7/1/2020
Miramar,,,7/1/2020
Mountain Empire,,,7/1/2020
National City,40.5,385.6,7/1/2020
North Central Region,137.0,114.5,7/1/2020
North Coastal Region,45.0,118.2,7/1/2020
North County,151.0,133.4,7/1/2020
North Inland Region,106.0,141.1,7/1/2020
North San Diego,40.8,131.6,7/1/2020
Oceanside,19.3,148.9,7/1/2020
Palomar-Julian,,,7/1/2020
Pauma,,,7/1/2020
Pendleton,,,7/1/2020
Peninsula,,,7/1/2020
Poway,19.2,120.5,7/1/2020
Ramona,,,7/1/2020
San Diego County,820.0,216.4,7/1/2020
San Dieguito,6.0,99.4,7/1/2020
San Marcos,10.2,108.1,7/1/2020
Santee,12.0,458.3,7/1/2020
South Bay,41.5,364.1,7/1/2020
South Region,237.0,391.7,7/1/2020
Southeastern San Diego,114.5,485.4,7/1/2020
Spring Valley,12.6,207.4,7/1/2020
Supervisorial District 1,296.0,400.7,7/1/2020
Supervisorial District 2,108.5,266.0,7/1/2020
Supervisorial District 3,159.8,118.5,7/1/2020
Supervisorial District 4,199.8,247.7,7/1/2020
Supervisorial District 5,55.9,114.7,7/1/2020
Sweetwater,101.8,392.1,7/1/2020
Unincorporated,56.4,171.1,7/1/2020
University,8.7,42.6,7/1/2020
Valley Center,,,7/1/2020
Vista,9.6,159.4,7/1/2020
