Geography,"Allocated
Age0_9
Case
Count
(Raw)","COVID-19
Total Age0_9
Rate
(Suppressed)",Date
Alpine,,,7/1/2020
Anza-Borrego Springs,,,7/1/2020
Carlsbad,6.0,40.2,7/1/2020
Central Region,67.0,93.6,7/1/2020
Central San Diego,15.0,57.4,7/1/2020
Chula Vista,32.7,169.7,7/1/2020
City of Carlsbad,,,7/1/2020
City of Chula Vista,59.0,139.8,7/1/2020
City of Coronado,,,7/1/2020
City of Del Mar,,,7/1/2020
City of El Cajon,22.0,150.0,7/1/2020
City of Encinitas,7.7,103.6,7/1/2020
City of Escondido,22.8,100.2,7/1/2020
City of Imperial Beach,5.0,118.4,7/1/2020
City of La Mesa,6.7,90.7,7/1/2020
City of Lemon Grove,,,7/1/2020
City of National City,12.6,133.0,7/1/2020
City of Oceanside,18.0,71.1,7/1/2020
City of Poway,,,7/1/2020
City of San Diego,119.3,64.5,7/1/2020
City of San Marcos,7.6,54.0,7/1/2020
City of Santee,8.0,106.7,7/1/2020
City of Solana Beach,,,7/1/2020
City of Vista,15.5,97.8,7/1/2020
Coastal,,,7/1/2020
Coronado,,,7/1/2020
Del Mar-Mira Mesa,7.2,33.9,7/1/2020
East Region,71.0,108.4,7/1/2020
El Cajon,25.6,140.9,7/1/2020
Elliott-Navajo,,,7/1/2020
Escondido,24.2,93.6,7/1/2020
Fallbrook,,,7/1/2020
Harbison Crest,,,7/1/2020
Harbison Crest-El Cajon,27.5,136.0,7/1/2020
Jamul,,,7/1/2020
Kearny Mesa,9.8,44.6,7/1/2020
La Mesa,7.1,92.5,7/1/2020
Laguna-Pine Valley,,,7/1/2020
Lakeside,,,7/1/2020
Lemon Grove,,,7/1/2020
Mid-City,22.0,90.9,7/1/2020
Miramar,,,7/1/2020
Mountain Empire,,,7/1/2020
National City,12.5,133.9,7/1/2020
North Central Region,25.0,30.9,7/1/2020
North Coastal Region,50.0,67.1,7/1/2020
North County,96.0,60.7,7/1/2020
North Inland Region,46.0,55.0,7/1/2020
North San Diego,,,7/1/2020
Oceanside,17.2,70.6,7/1/2020
Palomar-Julian,,,7/1/2020
Pauma,,,7/1/2020
Pendleton,,,7/1/2020
Peninsula,,,7/1/2020
Poway,,,7/1/2020
Ramona,,,7/1/2020
San Diego County,364.0,80.4,7/1/2020
San Dieguito,8.8,75.2,7/1/2020
San Marcos,9.5,63.2,7/1/2020
Santee,7.5,105.2,7/1/2020
South Bay,31.3,156.0,7/1/2020
South Region,105.0,137.6,7/1/2020
Southeastern San Diego,31.5,137.0,7/1/2020
Spring Valley,14.8,123.8,7/1/2020
Supervisorial District 1,133.1,140.8,7/1/2020
Supervisorial District 2,80.2,92.5,7/1/2020
Supervisorial District 3,44.0,50.4,7/1/2020
Supervisorial District 4,48.5,53.1,7/1/2020
Supervisorial District 5,58.2,62.8,7/1/2020
Sweetwater,27.5,116.2,7/1/2020
Unincorporated,49.7,72.1,7/1/2020
University,,,7/1/2020
Valley Center,,,7/1/2020
Vista,17.4,104.7,7/1/2020
