Geography,"Allocated
Age20_29
Case
Count
(Raw)","COVID-19
Total
Age20_29
Rate
(Suppressed)",Date
Alpine,,,6/17/2020
Anza-Borrego Springs,,,6/17/2020
Carlsbad,20.2,128.8,6/17/2020
Central Region,457.0,563.9,6/17/2020
Central San Diego,156.0,471.8,6/17/2020
Chula Vista,159.6,883.9,6/17/2020
City of Carlsbad,16.4,114.6,6/17/2020
City of Chula Vista,267.7,686.4,6/17/2020
City of Coronado,9.0,183.3,6/17/2020
City of Del Mar,,,6/17/2020
City of El Cajon,77.0,560.6,6/17/2020
City of Encinitas,14.0,180.7,6/17/2020
City of Escondido,60.5,291.7,6/17/2020
City of Imperial Beach,34.0,819.9,6/17/2020
City of La Mesa,18.4,233.3,6/17/2020
City of Lemon Grove,15.0,386.2,6/17/2020
City of National City,72.1,592.6,6/17/2020
City of Oceanside,55.1,235.1,6/17/2020
City of Poway,9.0,139.8,6/17/2020
City of San Diego,911.2,447.2,6/17/2020
City of San Marcos,32.0,248.2,6/17/2020
City of Santee,7.2,98.4,6/17/2020
City of Solana Beach,,,6/17/2020
City of Vista,39.0,270.7,6/17/2020
Coastal,25.3,257.4,6/17/2020
Coronado,9.0,183.3,6/17/2020
Del Mar-Mira Mesa,33.4,133.6,6/17/2020
East Region,262.0,410.0,6/17/2020
El Cajon,94.5,552.4,6/17/2020
Elliott-Navajo,31.7,275.5,6/17/2020
Escondido,66.2,280.7,6/17/2020
Fallbrook,10.2,159.2,6/17/2020
Harbison Crest,10.7,544.7,6/17/2020
Harbison Crest-El Cajon,105.2,551.6,6/17/2020
Jamul,8.8,328.4,6/17/2020
Kearny Mesa,53.9,240.9,6/17/2020
La Mesa,19.1,234.7,6/17/2020
Laguna-Pine Valley,,,6/17/2020
Lakeside,29.3,382.2,6/17/2020
Lemon Grove,19.7,440.6,6/17/2020
Mid-City,143.2,587.5,6/17/2020
Miramar,,,6/17/2020
Mountain Empire,,,6/17/2020
National City,72.1,595.7,6/17/2020
North Central Region,208.0,225.0,6/17/2020
North Coastal Region,139.0,164.4,6/17/2020
North County,294.0,178.5,6/17/2020
North Inland Region,155.0,193.4,6/17/2020
North San Diego,15.1,98.2,6/17/2020
Oceanside,54.5,241.8,6/17/2020
Palomar-Julian,,,6/17/2020
Pauma,,,6/17/2020
Pendleton,,,6/17/2020
Peninsula,45.9,419.4,6/17/2020
Poway,11.6,103.2,6/17/2020
Ramona,8.0,177.2,6/17/2020
San Diego County,1856.0,388.0,6/17/2020
San Dieguito,20.4,164.9,6/17/2020
San Marcos,35.7,260.6,6/17/2020
Santee,7.8,112.0,6/17/2020
South Bay,277.1,1287.4,6/17/2020
South Region,635.0,832.1,6/17/2020
Southeastern San Diego,160.1,744.0,6/17/2020
Spring Valley,68.4,595.0,6/17/2020
Supervisorial District 1,778.2,753.9,6/17/2020
Supervisorial District 2,320.0,371.1,6/17/2020
Supervisorial District 3,159.6,177.8,6/17/2020
Supervisorial District 4,422.3,429.6,6/17/2020
Supervisorial District 5,176.0,174.4,6/17/2020
Sweetwater,113.5,524.2,6/17/2020
Unincorporated,216.2,271.3,6/17/2020
University,16.6,138.0,6/17/2020
Valley Center,5.7,188.1,6/17/2020
Vista,40.6,270.7,6/17/2020
