Geography,"Allocated
Age40_49
Case
Count
(Raw)","COVID-19
Total
Age40_49
Rate
(Suppressed)",Date
Alpine,6.4,358.0,7/14/2020
Anza-Borrego Springs,,,7/14/2020
Carlsbad,53.4,334.2,7/14/2020
Central Region,642.0,931.0,7/14/2020
Central San Diego,207.0,694.8,7/14/2020
Chula Vista,215.6,1422.7,7/14/2020
City of Carlsbad,47.9,321.8,7/14/2020
City of Chula Vista,427.7,1237.9,7/14/2020
City of Coronado,,,7/14/2020
City of Del Mar,,,7/14/2020
City of El Cajon,117.7,947.5,7/14/2020
City of Encinitas,30.5,371.8,7/14/2020
City of Escondido,121.4,679.7,7/14/2020
City of Imperial Beach,35.0,1001.1,7/14/2020
City of La Mesa,42.6,537.0,7/14/2020
City of Lemon Grove,46.0,1426.8,7/14/2020
City of National City,140.3,2042.4,7/14/2020
City of Oceanside,103.2,486.0,7/14/2020
City of Poway,16.0,290.9,7/14/2020
City of San Diego,1312.4,701.0,7/14/2020
City of San Marcos,67.2,558.6,7/14/2020
City of Santee,35.2,492.2,7/14/2020
City of Solana Beach,5.6,310.1,7/14/2020
City of Vista,71.7,591.9,7/14/2020
Coastal,29.6,261.1,7/14/2020
Coronado,,,7/14/2020
Del Mar-Mira Mesa,77.0,338.7,7/14/2020
East Region,483.0,831.5,7/14/2020
El Cajon,146.1,946.1,7/14/2020
Elliott-Navajo,34.6,281.8,7/14/2020
Escondido,134.0,655.6,7/14/2020
Fallbrook,25.9,489.7,7/14/2020
Harbison Crest,15.7,888.0,7/14/2020
Harbison Crest-El Cajon,161.8,940.2,7/14/2020
Jamul,30.9,1309.6,7/14/2020
Kearny Mesa,103.6,461.7,7/14/2020
La Mesa,44.2,540.3,7/14/2020
Laguna-Pine Valley,,,7/14/2020
Lakeside,41.6,600.7,7/14/2020
Lemon Grove,52.2,1419.0,7/14/2020
Mid-City,199.7,874.2,7/14/2020
Miramar,,,7/14/2020
Mountain Empire,8.0,874.0,7/14/2020
National City,139.9,2055.7,7/14/2020
North Central Region,286.0,331.7,7/14/2020
North Coastal Region,287.0,432.0,7/14/2020
North County,624.0,445.1,7/14/2020
North Inland Region,337.0,456.9,7/14/2020
North San Diego,47.1,286.7,7/14/2020
Oceanside,101.4,498.6,7/14/2020
Palomar-Julian,,,7/14/2020
Pauma,,,7/14/2020
Pendleton,,,7/14/2020
Peninsula,23.2,264.7,7/14/2020
Poway,32.4,291.8,7/14/2020
Ramona,12.0,297.7,7/14/2020
San Diego County,3014.0,723.3,7/14/2020
San Dieguito,47.0,361.5,7/14/2020
San Marcos,72.4,574.3,7/14/2020
Santee,33.7,496.2,7/14/2020
South Bay,381.9,2196.0,7/14/2020
South Region,979.0,1548.2,7/14/2020
Southeastern San Diego,248.1,1393.7,7/14/2020
Spring Valley,112.1,1112.5,7/14/2020
Supervisorial District 1,1179.7,1501.2,7/14/2020
Supervisorial District 2,556.8,717.3,7/14/2020
Supervisorial District 3,330.0,377.6,7/14/2020
Supervisorial District 4,581.8,617.2,7/14/2020
Supervisorial District 5,365.7,463.9,7/14/2020
Sweetwater,218.6,1094.9,7/14/2020
Unincorporated,388.8,678.1,7/14/2020
University,15.7,190.7,7/14/2020
Valley Center,11.7,462.5,7/14/2020
Vista,77.4,614.3,7/14/2020
