Geography,"Allocated
Age50_59
Case
Count
(Raw)","COVID-19
Total
Age50_59
Rate
(Suppressed)",Date
Alpine,11.7,512.6,7/14/2020
Anza-Borrego Springs,,,7/14/2020
Carlsbad,63.6,362.9,7/14/2020
Central Region,634.0,1053.3,7/14/2020
Central San Diego,200.9,829.1,7/14/2020
Chula Vista,239.8,1628.4,7/14/2020
City of Carlsbad,58.9,360.5,7/14/2020
City of Chula Vista,444.2,1380.2,7/14/2020
City of Coronado,9.0,364.5,7/14/2020
City of Del Mar,,,7/14/2020
City of El Cajon,114.5,823.1,7/14/2020
City of Encinitas,34.4,397.1,7/14/2020
City of Escondido,103.5,560.0,7/14/2020
City of Imperial Beach,41.0,1183.3,7/14/2020
City of La Mesa,40.1,495.7,7/14/2020
City of Lemon Grove,36.0,1089.9,7/14/2020
City of National City,149.2,2319.9,7/14/2020
City of Oceanside,90.2,401.9,7/14/2020
City of Poway,33.9,477.9,7/14/2020
City of San Diego,1228.4,705.9,7/14/2020
City of San Marcos,49.7,438.0,7/14/2020
City of Santee,25.2,322.9,7/14/2020
City of Solana Beach,5.7,283.5,7/14/2020
City of Vista,64.6,506.9,7/14/2020
Coastal,28.3,281.9,7/14/2020
Coronado,9.0,364.5,7/14/2020
Del Mar-Mira Mesa,80.5,339.1,7/14/2020
East Region,491.0,763.3,7/14/2020
El Cajon,139.8,805.2,7/14/2020
Elliott-Navajo,38.6,321.4,7/14/2020
Escondido,111.6,529.9,7/14/2020
Fallbrook,33.3,538.2,7/14/2020
Harbison Crest,15.0,736.1,7/14/2020
Harbison Crest-El Cajon,154.8,797.9,7/14/2020
Jamul,23.0,875.0,7/14/2020
Kearny Mesa,81.0,376.9,7/14/2020
La Mesa,41.9,501.6,7/14/2020
Laguna-Pine Valley,7.2,995.5,7/14/2020
Lakeside,45.7,555.6,7/14/2020
Lemon Grove,44.3,1172.6,7/14/2020
Mid-City,175.3,855.7,7/14/2020
Miramar,,,7/14/2020
Mountain Empire,8.4,807.8,7/14/2020
National City,148.6,2335.0,7/14/2020
North Central Region,258.0,312.9,7/14/2020
North Coastal Region,285.0,403.0,7/14/2020
North County,617.0,413.7,7/14/2020
North Inland Region,332.0,423.4,7/14/2020
North San Diego,46.8,282.5,7/14/2020
Oceanside,87.2,407.8,7/14/2020
Palomar-Julian,,,7/14/2020
Pauma,,,7/14/2020
Pendleton,,,7/14/2020
Peninsula,21.9,272.3,7/14/2020
Poway,47.6,365.3,7/14/2020
Ramona,25.6,508.9,7/14/2020
San Diego County,2974.0,716.3,7/14/2020
San Dieguito,52.8,373.0,7/14/2020
San Marcos,56.2,465.9,7/14/2020
Santee,25.0,335.6,7/14/2020
South Bay,341.2,2154.6,7/14/2020
South Region,974.0,1648.4,7/14/2020
Southeastern San Diego,275.4,1607.2,7/14/2020
Spring Valley,132.0,1229.7,7/14/2020
Supervisorial District 1,1185.5,1634.9,7/14/2020
Supervisorial District 2,593.4,683.1,7/14/2020
Supervisorial District 3,311.5,353.5,7/14/2020
Supervisorial District 4,538.9,636.5,7/14/2020
Supervisorial District 5,344.7,415.2,7/14/2020
Sweetwater,215.9,1192.5,7/14/2020
Unincorporated,442.0,693.6,7/14/2020
University,7.9,110.6,7/14/2020
Valley Center,8.0,265.5,7/14/2020
Vista,70.7,531.5,7/14/2020
