Geography,"Allocated
Age60_69
Case
Count
(Raw)","COVID-19
Total
Age60_69
Rate
(Suppressed)",Date
Alpine,,,6/24/2020
Anza-Borrego Springs,,,6/24/2020
Carlsbad,13.54,88.40,6/24/2020
Central Region,263.00,553.54,6/24/2020
Central San Diego,80.89,411.99,6/24/2020
Chula Vista,103.28,938.38,6/24/2020
City of Carlsbad,11.14,78.31,6/24/2020
City of Chula Vista,182.29,784.04,6/24/2020
City of Coronado,,,6/24/2020
City of Del Mar,,,6/24/2020
City of El Cajon,75.15,626.42,6/24/2020
City of Encinitas,,,6/24/2020
City of Escondido,43.61,280.62,6/24/2020
City of Imperial Beach,17.00,629.40,6/24/2020
City of La Mesa,14.92,205.23,6/24/2020
City of Lemon Grove,11.00,390.63,6/24/2020
City of National City,63.02,1306.20,6/24/2020
City of Oceanside,32.06,167.49,6/24/2020
City of Poway,6.98,108.98,6/24/2020
City of San Diego,512.95,359.24,6/24/2020
City of San Marcos,13.07,142.66,6/24/2020
City of Santee,8.11,121.74,6/24/2020
City of Solana Beach,,,6/24/2020
City of Vista,20.23,197.39,6/24/2020
Coastal,12.80,138.75,6/24/2020
Coronado,,,6/24/2020
Del Mar-Mira Mesa,29.77,159.44,6/24/2020
East Region,212.00,375.81,6/24/2020
El Cajon,88.42,588.65,6/24/2020
Elliott-Navajo,14.05,128.66,6/24/2020
Escondido,49.28,277.38,6/24/2020
Fallbrook,10.18,169.41,6/24/2020
Harbison Crest,7.48,424.18,6/24/2020
Harbison Crest-El Cajon,95.90,571.38,6/24/2020
Jamul,13.31,586.17,6/24/2020
Kearny Mesa,42.83,237.84,6/24/2020
La Mesa,15.40,204.43,6/24/2020
Laguna-Pine Valley,,,6/24/2020
Lakeside,16.01,224.11,6/24/2020
Lemon Grove,14.50,451.92,6/24/2020
Mid-City,71.23,448.46,6/24/2020
Miramar,,,6/24/2020
Mountain Empire,,,6/24/2020
National City,62.73,1317.94,6/24/2020
North Central Region,112.00,158.52,6/24/2020
North Coastal Region,82.00,133.20,6/24/2020
North County,205.00,158.25,6/24/2020
North Inland Region,123.00,180.93,6/24/2020
North San Diego,21.62,157.84,6/24/2020
Oceanside,31.26,172.78,6/24/2020
Palomar-Julian,,,6/24/2020
Pauma,,,6/24/2020
Pendleton,,,6/24/2020
Peninsula,10.78,138.14,6/24/2020
Poway,12.32,109.89,6/24/2020
Ramona,6.96,152.87,6/24/2020
San Diego County,1186.00,341.19,6/24/2020
San Dieguito,11.72,86.44,6/24/2020
San Marcos,14.37,147.24,6/24/2020
Santee,8.25,129.83,6/24/2020
South Bay,132.55,1185.15,6/24/2020
South Region,394.00,906.00,6/24/2020
Southeastern San Diego,117.41,870.77,6/24/2020
Spring Valley,44.96,489.94,6/24/2020
Supervisorial District 1,481.28,900.31,6/24/2020
Supervisorial District 2,243.37,316.34,6/24/2020
Supervisorial District 3,117.54,158.35,6/24/2020
Supervisorial District 4,237.73,332.61,6/24/2020
Supervisorial District 5,106.08,148.33,6/24/2020
Sweetwater,84.55,654.54,6/24/2020
Unincorporated,163.34,285.06,6/24/2020
University,,,6/24/2020
Valley Center,,,6/24/2020
Vista,21.12,196.65,6/24/2020
