Geography,"Allocated
Age80plus
Case
Count
(Raw)","COVID-19
Total
Age80plus
Rate
(Suppressed)",Date
Alpine,,,6/17/2020
Anza-Borrego Springs,,,6/17/2020
Carlsbad,,,6/17/2020
Central Region,84.0,536.4,6/17/2020
Central San Diego,45.0,638.9,6/17/2020
Chula Vista,33.3,768.0,6/17/2020
City of Carlsbad,,,6/17/2020
City of Chula Vista,73.2,894.4,6/17/2020
City of Coronado,,,6/17/2020
City of Del Mar,,,6/17/2020
City of El Cajon,65.4,1474.4,6/17/2020
City of Encinitas,,,6/17/2020
City of Escondido,18.5,334.8,6/17/2020
City of Imperial Beach,11.0,1314.2,6/17/2020
City of La Mesa,26.8,891.1,6/17/2020
City of Lemon Grove,7.0,755.9,6/17/2020
City of National City,52.1,2627.8,6/17/2020
City of Oceanside,11.0,151.2,6/17/2020
City of Poway,,,6/17/2020
City of San Diego,210.8,425.0,6/17/2020
City of San Marcos,,,6/17/2020
City of Santee,,,6/17/2020
City of Solana Beach,,,6/17/2020
City of Vista,6.7,177.5,6/17/2020
Coastal,23.2,541.9,6/17/2020
Coronado,,,6/17/2020
Del Mar-Mira Mesa,9.2,201.4,6/17/2020
East Region,148.0,764.2,6/17/2020
El Cajon,77.2,1411.9,6/17/2020
Elliott-Navajo,10.8,249.2,6/17/2020
Escondido,19.4,302.5,6/17/2020
Fallbrook,,,6/17/2020
Harbison Crest,6.3,1060.6,6/17/2020
Harbison Crest-El Cajon,83.5,1377.5,6/17/2020
Jamul,7.3,1113.3,6/17/2020
Kearny Mesa,26.2,358.5,6/17/2020
La Mesa,27.0,867.9,6/17/2020
Laguna-Pine Valley,,,6/17/2020
Lakeside,12.0,523.4,6/17/2020
Lemon Grove,7.5,721.3,6/17/2020
Mid-City,17.3,339.3,6/17/2020
Miramar,,,6/17/2020
Mountain Empire,,,6/17/2020
National City,52.1,2658.1,6/17/2020
North Central Region,80.0,312.0,6/17/2020
North Coastal Region,27.0,121.1,6/17/2020
North County,86.0,185.5,6/17/2020
North Inland Region,59.0,245.2,6/17/2020
North San Diego,18.7,396.5,6/17/2020
Oceanside,10.8,160.0,6/17/2020
Palomar-Julian,,,6/17/2020
Pauma,,,6/17/2020
Pendleton,,,6/17/2020
Peninsula,5.1,194.9,6/17/2020
Poway,8.4,247.9,6/17/2020
Ramona,,,6/17/2020
San Diego County,571.0,465.5,6/17/2020
San Dieguito,,,6/17/2020
San Marcos,,,6/17/2020
Santee,,,6/17/2020
South Bay,41.3,1117.3,6/17/2020
South Region,173.0,1107.3,6/17/2020
Southeastern San Diego,23.2,568.2,6/17/2020
Spring Valley,11.5,383.2,6/17/2020
Supervisorial District 1,191.0,1015.7,6/17/2020
Supervisorial District 2,165.3,616.7,6/17/2020
Supervisorial District 3,61.3,258.3,6/17/2020
Supervisorial District 4,118.7,448.1,6/17/2020
Supervisorial District 5,34.7,129.4,6/17/2020
Sweetwater,37.9,916.9,6/17/2020
Unincorporated,71.9,375.1,6/17/2020
University,5.7,204.7,6/17/2020
Valley Center,,,6/17/2020
Vista,7.1,175.6,6/17/2020
