Geography,"Allocated
Age80plus
Case
Count
(Raw)","COVID-19
Total
Age80plus
Rate
(Suppressed)",Date
Alpine,,,7/1/2020
Anza-Borrego Springs,,,7/1/2020
Carlsbad,7.4,133.0,7/1/2020
Central Region,136.0,868.5,7/1/2020
Central San Diego,54.2,768.6,7/1/2020
Chula Vista,38.9,895.9,7/1/2020
City of Carlsbad,7.1,141.4,7/1/2020
City of Chula Vista,85.4,1044.7,7/1/2020
City of Coronado,,,7/1/2020
City of Del Mar,,,7/1/2020
City of El Cajon,69.4,1564.4,7/1/2020
City of Encinitas,,,7/1/2020
City of Escondido,23.7,428.4,7/1/2020
City of Imperial Beach,11.0,1314.2,7/1/2020
City of La Mesa,26.8,891.1,7/1/2020
City of Lemon Grove,11.0,1187.9,7/1/2020
City of National City,61.8,3115.5,7/1/2020
City of Oceanside,14.0,192.4,7/1/2020
City of Poway,7.0,343.1,7/1/2020
City of San Diego,298.1,600.9,7/1/2020
City of San Marcos,,,7/1/2020
City of Santee,,,7/1/2020
City of Solana Beach,,,7/1/2020
City of Vista,6.7,177.5,7/1/2020
Coastal,27.2,634.7,7/1/2020
Coronado,,,7/1/2020
Del Mar-Mira Mesa,21.9,477.0,7/1/2020
East Region,164.0,846.8,7/1/2020
El Cajon,82.3,1504.5,7/1/2020
Elliott-Navajo,11.8,272.3,7/1/2020
Escondido,25.4,395.2,7/1/2020
Fallbrook,,,7/1/2020
Harbison Crest,6.9,1167.1,7/1/2020
Harbison Crest-El Cajon,89.2,1471.4,7/1/2020
Jamul,8.1,1231.0,7/1/2020
Kearny Mesa,28.2,386.2,7/1/2020
La Mesa,27.0,867.9,7/1/2020
Laguna-Pine Valley,,,7/1/2020
Lakeside,12.7,551.1,7/1/2020
Lemon Grove,11.7,1128.4,7/1/2020
Mid-City,20.7,406.8,7/1/2020
Miramar,,,7/1/2020
Mountain Empire,,,7/1/2020
National City,61.7,3150.5,7/1/2020
North Central Region,87.0,339.3,7/1/2020
North Coastal Region,34.0,152.4,7/1/2020
North County,130.0,280.4,7/1/2020
North Inland Region,96.0,399.0,7/1/2020
North San Diego,30.8,651.6,7/1/2020
Oceanside,13.6,200.3,7/1/2020
Palomar-Julian,,,7/1/2020
Pauma,,,7/1/2020
Pendleton,,,7/1/2020
Peninsula,5.1,194.9,7/1/2020
Poway,10.6,311.5,7/1/2020
Ramona,,,7/1/2020
San Diego County,718.0,585.4,7/1/2020
San Dieguito,,,7/1/2020
San Marcos,,,7/1/2020
Santee,,,7/1/2020
South Bay,45.2,1222.7,7/1/2020
South Region,201.0,1286.5,7/1/2020
Southeastern San Diego,63.1,1545.2,7/1/2020
Spring Valley,14.8,491.2,7/1/2020
Supervisorial District 1,257.0,1367.0,7/1/2020
Supervisorial District 2,186.3,695.2,7/1/2020
Supervisorial District 3,92.1,387.8,7/1/2020
Supervisorial District 4,138.7,523.5,7/1/2020
Supervisorial District 5,43.9,163.8,7/1/2020
Sweetwater,44.8,1084.8,7/1/2020
Unincorporated,85.2,444.3,7/1/2020
University,5.7,204.7,7/1/2020
Valley Center,,,7/1/2020
Vista,7.2,177.4,7/1/2020
