Geography,"Allocated
Black
Case
Count
(Raw)","COVID-19
Total Black
Rate
(Suppressed)",Date
Alpine,,,6/24/2020
Anza-Borrego Springs,,,6/24/2020
Carlsbad,,,6/24/2020
Central Region,151.0,303.6,6/24/2020
Central San Diego,50.7,354.8,6/24/2020
Chula Vista,6.8,175.8,6/24/2020
City of Carlsbad,,,6/24/2020
City of Chula Vista,25.1,229.7,6/24/2020
City of Coronado,,,6/24/2020
City of Del Mar,,,6/24/2020
City of El Cajon,22.4,454.6,6/24/2020
City of Encinitas,,,6/24/2020
City of Escondido,7.2,214.5,6/24/2020
City of Imperial Beach,,,6/24/2020
City of La Mesa,9.9,320.8,6/24/2020
City of Lemon Grove,7.0,238.8,6/24/2020
City of National City,14.6,503.6,6/24/2020
City of Oceanside,9.0,110.0,6/24/2020
City of Poway,,,6/24/2020
City of San Diego,216.0,274.1,6/24/2020
City of San Marcos,,,6/24/2020
City of Santee,,,6/24/2020
City of Solana Beach,,,6/24/2020
City of Vista,5.8,193.2,6/24/2020
Coastal,,,6/24/2020
Coronado,,,6/24/2020
Del Mar-Mira Mesa,13.4,233.2,6/24/2020
East Region,76.0,311.9,6/24/2020
El Cajon,26.3,439.3,6/24/2020
Elliott-Navajo,12.2,310.7,6/24/2020
Escondido,8.2,212.2,6/24/2020
Fallbrook,,,6/24/2020
Harbison Crest,,,6/24/2020
Harbison Crest-El Cajon,28.4,436.3,6/24/2020
Jamul,,,6/24/2020
Kearny Mesa,13.9,194.7,6/24/2020
La Mesa,10.4,321.9,6/24/2020
Laguna-Pine Valley,,,6/24/2020
Lakeside,6.5,416.3,6/24/2020
Lemon Grove,9.1,255.6,6/24/2020
Mid-City,41.9,250.5,6/24/2020
Miramar,,,6/24/2020
Mountain Empire,,,6/24/2020
National City,14.5,502.6,6/24/2020
North Central Region,47.0,213.0,6/24/2020
North Coastal Region,18.0,101.3,6/24/2020
North County,35.0,112.4,6/24/2020
North Inland Region,17.0,127.2,6/24/2020
North San Diego,,,6/24/2020
Oceanside,9.2,118.9,6/24/2020
Palomar-Julian,,,6/24/2020
Pauma,,,6/24/2020
Pendleton,,,6/24/2020
Peninsula,,,6/24/2020
Poway,,,6/24/2020
Ramona,,,6/24/2020
San Diego County,371.0,251.2,6/24/2020
San Dieguito,,,6/24/2020
San Marcos,,,6/24/2020
Santee,,,6/24/2020
South Bay,17.4,301.0,6/24/2020
South Region,62.0,303.6,6/24/2020
Southeastern San Diego,58.3,316.5,6/24/2020
Spring Valley,18.0,247.6,6/24/2020
Supervisorial District 1,102.6,311.1,6/24/2020
Supervisorial District 2,93.6,310.8,6/24/2020
Supervisorial District 3,31.4,176.0,6/24/2020
Supervisorial District 4,124.3,276.3,6/24/2020
Supervisorial District 5,19.0,87.4,6/24/2020
Sweetwater,19.9,273.4,6/24/2020
Unincorporated,43.5,202.6,6/24/2020
University,,,6/24/2020
Valley Center,,,6/24/2020
Vista,6.2,188.9,6/24/2020
