Geography,"Allocated
Black Case Count (Raw)","COVID-19
Total Black
Rate (Suppressed)",date
Alpine,,,6/3/2020
Anza-Borrego Springs,,,6/3/2020
Carlsbad,,,6/3/2020
Central Region,93.000,186.991,6/3/2020
Central San Diego,31.192,218.508,6/3/2020
Chula Vista,,,6/3/2020
City of Carlsbad,,,6/3/2020
City of Chula Vista,17.590,160.728,6/3/2020
City of Coronado,,,6/3/2020
City of Del Mar,,,6/3/2020
City of El Cajon,17.913,363.727,6/3/2020
City of Encinitas,,,6/3/2020
City of Escondido,5.531,165.588,6/3/2020
City of Imperial Beach,,,6/3/2020
City of La Mesa,5.077,164.134,6/3/2020
City of Lemon Grove,,,6/3/2020
City of National City,8.174,281.122,6/3/2020
City of Oceanside,5.004,61.115,6/3/2020
City of Poway,,,6/3/2020
City of San Diego,135.742,172.244,6/3/2020
City of San Marcos,,,6/3/2020
City of Santee,,,6/3/2020
City of Solana Beach,,,6/3/2020
City of Vista,,,6/3/2020
Coastal,,,6/3/2020
Coronado,,,6/3/2020
Del Mar-Mira Mesa,8.907,155.154,6/3/2020
East Region,45.000,184.684,6/3/2020
El Cajon,20.412,341.425,6/3/2020
Elliott-Navajo,9.062,230.640,6/3/2020
Escondido,6.560,169.276,6/3/2020
Fallbrook,,,6/3/2020
Harbison Crest,,,6/3/2020
Harbison Crest-El Cajon,21.572,331.122,6/3/2020
Jamul,,,6/3/2020
Kearny Mesa,6.594,92.351,6/3/2020
La Mesa,5.380,166.399,6/3/2020
Laguna-Pine Valley,,,6/3/2020
Lakeside,,,6/3/2020
Lemon Grove,,,6/3/2020
Mid-City,26.763,159.985,6/3/2020
Miramar,,,6/3/2020
Mountain Empire,,,6/3/2020
National City,8.117,280.892,6/3/2020
North Central Region,31.000,140.507,6/3/2020
North Coastal Region,10.000,56.287,6/3/2020
North County,22.000,70.669,6/3/2020
North Inland Region,12.000,89.787,6/3/2020
North San Diego,,,6/3/2020
Oceanside,5.137,66.355,6/3/2020
Palomar-Julian,,,6/3/2020
Pauma,,,6/3/2020
Pendleton,,,6/3/2020
Peninsula,,,6/3/2020
Poway,,,6/3/2020
Ramona,,,6/3/2020
San Diego County,229.000,155.026,6/3/2020
San Dieguito,,,6/3/2020
San Marcos,,,6/3/2020
Santee,,,6/3/2020
South Bay,8.662,149.866,6/3/2020
South Region,38.000,186.074,6/3/2020
Southeastern San Diego,35.307,191.624,6/3/2020
Spring Valley,9.382,128.984,6/3/2020
Supervisorial District 1,60.911,184.707,6/3/2020
Supervisorial District 2,57.535,190.973,6/3/2020
Supervisorial District 3,24.467,136.947,6/3/2020
Supervisorial District 4,76.395,169.818,6/3/2020
Supervisorial District 5,9.692,44.542,6/3/2020
Sweetwater,14.943,205.488,6/3/2020
Unincorporated,22.532,104.965,6/3/2020
University,,,6/3/2020
Valley Center,,,6/3/2020
Vista,,,6/3/2020
