Geography,"Allocated
Black
Case
Count
(Raw)","COVID-19
Total Black
Rate
(Suppressed)",Date
Alpine,,,7/8/2020
Anza-Borrego Springs,,,7/8/2020
Carlsbad,,,7/8/2020
Central Region,262.0,526.8,7/8/2020
Central San Diego,82.5,577.6,7/8/2020
Chula Vista,11.5,298.3,7/8/2020
City of Carlsbad,,,7/8/2020
City of Chula Vista,43.0,393.1,7/8/2020
City of Coronado,6.0,670.4,7/8/2020
City of Del Mar,,,7/8/2020
City of El Cajon,34.0,689.6,7/8/2020
City of Encinitas,,,7/8/2020
City of Escondido,10.5,313.3,7/8/2020
City of Imperial Beach,,,7/8/2020
City of La Mesa,18.1,586.8,7/8/2020
City of Lemon Grove,10.0,341.2,7/8/2020
City of National City,18.9,651.4,7/8/2020
City of Oceanside,16.0,195.5,7/8/2020
City of Poway,,,7/8/2020
City of San Diego,363.1,460.7,7/8/2020
City of San Marcos,,,7/8/2020
City of Santee,,,7/8/2020
City of Solana Beach,,,7/8/2020
City of Vista,8.6,283.5,7/8/2020
Coastal,5.3,507.6,7/8/2020
Coronado,6.0,670.4,7/8/2020
Del Mar-Mira Mesa,20.1,349.3,7/8/2020
East Region,127.0,521.2,7/8/2020
El Cajon,41.3,690.8,7/8/2020
Elliott-Navajo,16.1,408.9,7/8/2020
Escondido,12.5,321.8,7/8/2020
Fallbrook,,,7/8/2020
Harbison Crest,,,7/8/2020
Harbison Crest-El Cajon,45.7,701.7,7/8/2020
Jamul,,,7/8/2020
Kearny Mesa,26.8,375.5,7/8/2020
La Mesa,18.8,580.1,7/8/2020
Laguna-Pine Valley,,,7/8/2020
Lakeside,9.4,608.3,7/8/2020
Lemon Grove,13.8,385.2,7/8/2020
Mid-City,72.3,432.5,7/8/2020
Miramar,,,7/8/2020
Mountain Empire,,,7/8/2020
National City,18.8,651.6,7/8/2020
North Central Region,79.0,358.1,7/8/2020
North Coastal Region,30.0,168.9,7/8/2020
North County,58.0,186.3,7/8/2020
North Inland Region,28.0,209.5,7/8/2020
North San Diego,,,7/8/2020
Oceanside,16.2,209.0,7/8/2020
Palomar-Julian,,,7/8/2020
Pauma,,,7/8/2020
Pendleton,,,7/8/2020
Peninsula,7.8,458.7,7/8/2020
Poway,,,7/8/2020
Ramona,,,7/8/2020
San Diego County,619.0,419.0,7/8/2020
San Dieguito,,,7/8/2020
San Marcos,5.1,210.3,7/8/2020
Santee,,,7/8/2020
South Bay,25.2,435.5,7/8/2020
South Region,93.0,455.4,7/8/2020
Southeastern San Diego,104.9,569.5,7/8/2020
Spring Valley,34.1,469.3,7/8/2020
Supervisorial District 1,170.7,517.6,7/8/2020
Supervisorial District 2,154.3,512.2,7/8/2020
Supervisorial District 3,43.3,242.5,7/8/2020
Supervisorial District 4,215.2,478.5,7/8/2020
Supervisorial District 5,35.4,162.8,7/8/2020
Sweetwater,32.8,451.3,7/8/2020
Unincorporated,75.7,352.9,7/8/2020
University,,,7/8/2020
Valley Center,,,7/8/2020
Vista,8.6,263.6,7/8/2020
