Geography,"Allocated Hispanic
Case Count (Raw)","COVID-19
Total Hispanic
Rate (Suppressed)",date
Alpine,,,6/10/2020
Anza-Borrego Springs,,,6/10/2020
Carlsbad,33.84,140.537,6/10/2020
Central Region,1180.00,536.244,6/10/2020
Central San Diego,336.14,445.996,6/10/2020
Chula Vista,564.93,674.557,6/10/2020
City of Carlsbad,24.63,127.224,6/10/2020
City of Chula Vista,931.08,571.722,6/10/2020
City of Coronado,,,6/10/2020
City of Del Mar,,,6/10/2020
City of El Cajon,164.21,524.730,6/10/2020
City of Encinitas,24.24,237.766,6/10/2020
City of Escondido,181.84,263.022,6/10/2020
City of Imperial Beach,79.00,539.360,6/10/2020
City of La Mesa,42.15,236.567,6/10/2020
City of Lemon Grove,49.00,389.910,6/10/2020
City of National City,286.06,740.591,6/10/2020
City of Oceanside,136.15,218.137,6/10/2020
City of Poway,8.98,88.322,6/10/2020
City of San Diego,2184.76,501.418,6/10/2020
City of San Marcos,60.37,165.515,6/10/2020
City of Santee,27.30,219.182,6/10/2020
City of Solana Beach,,,6/10/2020
City of Vista,82.95,180.046,6/10/2020
Coastal,14.28,106.096,6/10/2020
Coronado,,,6/10/2020
Del Mar-Mira Mesa,37.21,160.323,6/10/2020
East Region,641.00,427.644,6/10/2020
El Cajon,195.40,497.590,6/10/2020
Elliott-Navajo,33.34,178.104,6/10/2020
Escondido,197.18,256.447,6/10/2020
Fallbrook,23.22,131.283,6/10/2020
Harbison Crest,19.55,420.031,6/10/2020
Harbison Crest-El Cajon,214.95,489.372,6/10/2020
Jamul,33.09,428.300,6/10/2020
Kearny Mesa,97.15,214.205,6/10/2020
La Mesa,43.54,236.512,6/10/2020
Laguna-Pine Valley,,,6/10/2020
Lakeside,60.10,401.888,6/10/2020
Lemon Grove,62.67,435.683,6/10/2020
Mid-City,350.55,489.420,6/10/2020
Miramar,,,6/10/2020
Mountain Empire,16.45,483.336,6/10/2020
National City,285.69,744.390,6/10/2020
North Central Region,223.00,180.573,6/10/2020
North Coastal Region,292.00,178.590,6/10/2020
North County,669.00,190.739,6/10/2020
North Inland Region,377.00,201.348,6/10/2020
North San Diego,20.56,126.843,6/10/2020
Oceanside,133.75,217.151,6/10/2020
Palomar-Julian,,,6/10/2020
Pauma,,,6/10/2020
Pendleton,,,6/10/2020
Peninsula,24.46,192.121,6/10/2020
Poway,17.01,111.529,6/10/2020
Ramona,26.90,282.545,6/10/2020
San Diego County,4848.00,421.278,6/10/2020
San Dieguito,33.64,210.458,6/10/2020
San Marcos,71.21,178.368,6/10/2020
Santee,27.67,232.422,6/10/2020
South Bay,865.17,935.862,6/10/2020
South Region,2135.00,696.331,6/10/2020
Southeastern San Diego,513.60,660.353,6/10/2020
Spring Valley,188.81,569.949,6/10/2020
Supervisorial District 1,2582.26,686.510,6/10/2020
Supervisorial District 2,744.14,391.574,6/10/2020
Supervisorial District 3,309.97,211.496,6/10/2020
Supervisorial District 4,827.93,383.536,6/10/2020
Supervisorial District 5,383.70,172.701,6/10/2020
Sweetwater,384.64,466.631,6/10/2020
Unincorporated,558.31,337.760,6/10/2020
University,12.11,129.460,6/10/2020
Valley Center,15.69,225.024,6/10/2020
Vista,88.54,179.980,6/10/2020
