Geography,"Allocated
Hispanic
Case
Count
(Raw)","COVID-19
Total
Hispanic
Rate
(Suppressed)",Date
Alpine,,,6/24/2020
Anza-Borrego Springs,,,6/24/2020
Carlsbad,50.4,209.2,6/24/2020
Central Region,1567.0,712.1,6/24/2020
Central San Diego,442.6,587.3,6/24/2020
Chula Vista,731.6,873.6,6/24/2020
City of Carlsbad,33.8,174.7,6/24/2020
City of Chula Vista,1184.3,727.2,6/24/2020
City of Coronado,6.0,173.1,6/24/2020
City of Del Mar,,,6/24/2020
City of El Cajon,204.4,653.0,6/24/2020
City of Encinitas,31.7,310.7,6/24/2020
City of Escondido,265.0,383.3,6/24/2020
City of Imperial Beach,112.0,764.7,6/24/2020
City of La Mesa,56.2,315.6,6/24/2020
City of Lemon Grove,71.0,565.0,6/24/2020
City of National City,360.8,934.2,6/24/2020
City of Oceanside,180.3,288.8,6/24/2020
City of Poway,18.0,176.6,6/24/2020
City of San Diego,2780.7,638.2,6/24/2020
City of San Marcos,85.4,234.3,6/24/2020
City of Santee,36.4,292.2,6/24/2020
City of Solana Beach,,,6/24/2020
City of Vista,132.8,288.2,6/24/2020
Coastal,21.3,158.2,6/24/2020
Coronado,6.0,173.1,6/24/2020
Del Mar-Mira Mesa,47.8,206.1,6/24/2020
East Region,841.0,561.1,6/24/2020
El Cajon,245.2,624.5,6/24/2020
Elliott-Navajo,41.2,219.9,6/24/2020
Escondido,287.4,373.8,6/24/2020
Fallbrook,39.9,225.9,6/24/2020
Harbison Crest,25.5,548.9,6/24/2020
Harbison Crest-El Cajon,270.8,616.5,6/24/2020
Jamul,42.9,554.8,6/24/2020
Kearny Mesa,125.6,277.0,6/24/2020
La Mesa,58.7,318.9,6/24/2020
Laguna-Pine Valley,,,6/24/2020
Lakeside,74.7,499.6,6/24/2020
Lemon Grove,88.2,613.0,6/24/2020
Mid-City,474.7,662.8,6/24/2020
Miramar,,,6/24/2020
Mountain Empire,25.6,752.2,6/24/2020
National City,360.4,939.1,6/24/2020
North Central Region,286.0,231.6,6/24/2020
North Coastal Region,413.0,252.6,6/24/2020
North County,957.0,272.9,6/24/2020
North Inland Region,544.0,290.5,6/24/2020
North San Diego,25.6,158.0,6/24/2020
Oceanside,175.5,284.9,6/24/2020
Palomar-Julian,,,6/24/2020
Pauma,6.6,239.7,6/24/2020
Pendleton,,,6/24/2020
Peninsula,28.2,221.8,6/24/2020
Poway,27.8,182.3,6/24/2020
Ramona,31.0,325.4,6/24/2020
San Diego County,6304.0,547.8,6/24/2020
San Dieguito,43.4,271.3,6/24/2020
San Marcos,100.6,252.0,6/24/2020
Santee,36.4,306.2,6/24/2020
South Bay,1043.6,1128.9,6/24/2020
South Region,2653.0,865.3,6/24/2020
Southeastern San Diego,675.0,867.9,6/24/2020
Spring Valley,249.0,751.8,6/24/2020
Supervisorial District 1,3257.1,865.9,6/24/2020
Supervisorial District 2,976.1,513.7,6/24/2020
Supervisorial District 3,432.3,295.0,6/24/2020
Supervisorial District 4,1083.6,502.0,6/24/2020
Supervisorial District 5,554.9,249.7,6/24/2020
Sweetwater,476.0,577.5,6/24/2020
Unincorporated,741.3,448.5,6/24/2020
University,16.1,171.8,6/24/2020
Valley Center,24.8,355.3,6/24/2020
Vista,140.9,286.4,6/24/2020
