Geography,"Allocated
Hispanic
Case
Count
(Raw)","COVID-19
Total
Hispanic
Rate
(Suppressed)",Date
Alpine,7.3,274.7,7/8/2020
Anza-Borrego Springs,5.0,526.9,7/8/2020
Carlsbad,82.1,341.1,7/8/2020
Central Region,2177.0,989.3,7/8/2020
Central San Diego,626.5,831.2,7/8/2020
Chula Vista,958.4,1144.4,7/8/2020
City of Carlsbad,58.0,299.8,7/8/2020
City of Chula Vista,1618.9,994.0,7/8/2020
City of Coronado,9.0,259.7,7/8/2020
City of Del Mar,,,7/8/2020
City of El Cajon,260.2,831.5,7/8/2020
City of Encinitas,38.1,373.9,7/8/2020
City of Escondido,393.6,569.3,7/8/2020
City of Imperial Beach,155.0,1058.2,7/8/2020
City of La Mesa,77.4,434.3,7/8/2020
City of Lemon Grove,100.0,795.7,7/8/2020
City of National City,500.4,1295.5,7/8/2020
City of Oceanside,259.6,415.9,7/8/2020
City of Poway,23.9,235.5,7/8/2020
City of San Diego,3821.2,877.0,7/8/2020
City of San Marcos,161.8,443.5,7/8/2020
City of Santee,46.5,373.4,7/8/2020
City of Solana Beach,6.1,331.8,7/8/2020
City of Vista,226.7,492.0,7/8/2020
Coastal,37.8,281.1,7/8/2020
Coronado,9.0,259.7,7/8/2020
Del Mar-Mira Mesa,73.9,318.4,7/8/2020
East Region,1139.0,759.9,7/8/2020
El Cajon,315.1,802.5,7/8/2020
Elliott-Navajo,58.2,310.7,7/8/2020
Escondido,428.6,557.5,7/8/2020
Fallbrook,90.8,513.2,7/8/2020
Harbison Crest,33.7,724.7,7/8/2020
Harbison Crest-El Cajon,348.9,794.3,7/8/2020
Jamul,78.4,1014.4,7/8/2020
Kearny Mesa,186.8,411.9,7/8/2020
La Mesa,80.5,437.1,7/8/2020
Laguna-Pine Valley,,,7/8/2020
Lakeside,96.3,644.3,7/8/2020
Lemon Grove,121.7,845.7,7/8/2020
Mid-City,656.5,916.6,7/8/2020
Miramar,,,7/8/2020
Mountain Empire,32.0,940.0,7/8/2020
National City,499.4,1301.3,7/8/2020
North Central Region,423.0,342.5,7/8/2020
North Coastal Region,641.0,392.0,7/8/2020
North County,1521.0,433.7,7/8/2020
North Inland Region,880.0,470.0,7/8/2020
North San Diego,39.7,245.2,7/8/2020
Oceanside,257.5,418.0,7/8/2020
Palomar-Julian,,,7/8/2020
Pauma,12.6,458.7,7/8/2020
Pendleton,,,7/8/2020
Peninsula,39.2,308.2,7/8/2020
Poway,39.3,257.5,7/8/2020
Ramona,42.9,450.6,7/8/2020
San Diego County,8849.0,769.0,7/8/2020
San Dieguito,56.1,351.0,7/8/2020
San Marcos,184.4,461.8,7/8/2020
Santee,46.5,390.6,7/8/2020
South Bay,1372.5,1484.6,7/8/2020
South Region,3589.0,1170.6,7/8/2020
Southeastern San Diego,936.3,1203.8,7/8/2020
Spring Valley,341.0,1029.4,7/8/2020
Supervisorial District 1,4465.8,1187.3,7/8/2020
Supervisorial District 2,1318.4,693.7,7/8/2020
Supervisorial District 3,633.7,432.4,7/8/2020
Supervisorial District 4,1496.8,693.4,7/8/2020
Supervisorial District 5,934.3,420.5,7/8/2020
Sweetwater,694.3,842.3,7/8/2020
Unincorporated,1092.4,660.9,7/8/2020
University,21.9,234.4,7/8/2020
Valley Center,36.2,519.9,7/8/2020
Vista,242.2,492.4,7/8/2020
