Geography,"Allocated
White Case Count (Raw)","COVID-19
Total White
Rate (Suppressed)",date
Alpine,5.53,46.460,6/10/2020
Anza-Borrego Springs,,,6/10/2020
Carlsbad,49.94,59.255,6/10/2020
Central Region,257.00,152.595,6/10/2020
Central San Diego,160.47,165.840,6/10/2020
Chula Vista,39.99,180.291,6/10/2020
City of Carlsbad,49.83,62.336,6/10/2020
City of Chula Vista,94.23,190.533,6/10/2020
City of Coronado,13.00,83.666,6/10/2020
City of Del Mar,5.96,175.959,6/10/2020
City of El Cajon,116.85,195.886,6/10/2020
City of Encinitas,31.68,67.205,6/10/2020
City of Escondido,42.10,66.519,6/10/2020
City of Imperial Beach,18.00,202.043,6/10/2020
City of La Mesa,48.68,143.856,6/10/2020
City of Lemon Grove,21.00,244.385,6/10/2020
City of National City,14.17,170.064,6/10/2020
City of Oceanside,33.04,38.444,6/10/2020
City of Poway,18.96,60.936,6/10/2020
City of San Diego,689.95,111.328,6/10/2020
City of San Marcos,27.26,61.425,6/10/2020
City of Santee,18.18,47.771,6/10/2020
City of Solana Beach,7.28,68.979,6/10/2020
City of Vista,23.71,53.006,6/10/2020
Coastal,61.65,99.333,6/10/2020
Coronado,13.00,83.666,6/10/2020
Del Mar-Mira Mesa,73.22,94.827,6/10/2020
East Region,354.00,133.781,6/10/2020
El Cajon,142.55,192.017,6/10/2020
Elliott-Navajo,50.37,88.355,6/10/2020
Escondido,47.82,64.360,6/10/2020
Fallbrook,7.47,29.112,6/10/2020
Harbison Crest,13.75,158.601,6/10/2020
Harbison Crest-El Cajon,156.31,188.522,6/10/2020
Jamul,11.35,131.622,6/10/2020
Kearny Mesa,105.39,120.613,6/10/2020
La Mesa,49.83,142.414,6/10/2020
Laguna-Pine Valley,,,6/10/2020
Lakeside,35.84,94.225,6/10/2020
Lemon Grove,22.00,240.750,6/10/2020
Mid-City,59.03,109.354,6/10/2020
Miramar,,,6/10/2020
Mountain Empire,5.00,121.699,6/10/2020
National City,13.73,168.295,6/10/2020
North Central Region,341.00,92.695,6/10/2020
North Coastal Region,177.00,54.940,6/10/2020
North County,378.00,60.145,6/10/2020
North Inland Region,201.00,65.619,6/10/2020
North San Diego,59.85,93.000,6/10/2020
Oceanside,31.62,39.348,6/10/2020
Palomar-Julian,,,6/10/2020
Pauma,,,6/10/2020
Pendleton,,,6/10/2020
Peninsula,40.33,82.571,6/10/2020
Poway,29.30,54.945,6/10/2020
Ramona,11.86,52.626,6/10/2020
San Diego County,1506.00,98.728,6/10/2020
San Dieguito,52.92,70.545,6/10/2020
San Marcos,28.49,62.749,6/10/2020
Santee,18.25,50.418,6/10/2020
South Bay,45.26,214.179,6/10/2020
South Region,176.00,183.310,6/10/2020
Southeastern San Diego,45.79,223.148,6/10/2020
Spring Valley,47.95,140.581,6/10/2020
Supervisorial District 1,214.18,170.968,6/10/2020
Supervisorial District 2,427.36,116.977,6/10/2020
Supervisorial District 3,261.54,77.273,6/10/2020
Supervisorial District 4,426.86,125.745,6/10/2020
Supervisorial District 5,176.05,49.335,6/10/2020
Sweetwater,58.49,204.734,6/10/2020
Unincorporated,232.12,85.091,6/10/2020
University,22.59,61.667,6/10/2020
Valley Center,6.14,47.589,6/10/2020
Vista,24.50,53.119,6/10/2020
