Geography,"Allocated
White
Case
Count
(Raw)","COVID-19
Total White
Rate
(Suppressed)",Date
Alpine,13.6,114.3,7/1/2020
Anza-Borrego Springs,5.3,144.7,7/1/2020
Carlsbad,95.1,112.9,7/1/2020
Central Region,444.0,263.6,7/1/2020
Central San Diego,249.8,258.1,7/1/2020
Chula Vista,60.4,272.1,7/1/2020
City of Carlsbad,94.6,118.3,7/1/2020
City of Chula Vista,142.3,287.7,7/1/2020
City of Coronado,24.0,154.5,7/1/2020
City of Del Mar,8.5,250.0,7/1/2020
City of El Cajon,160.0,268.3,7/1/2020
City of Encinitas,61.5,130.5,7/1/2020
City of Escondido,83.1,131.3,7/1/2020
City of Imperial Beach,26.0,291.8,7/1/2020
City of La Mesa,71.3,210.7,7/1/2020
City of Lemon Grove,27.0,314.2,7/1/2020
City of National City,27.5,329.5,7/1/2020
City of Oceanside,92.1,107.2,7/1/2020
City of Poway,29.9,96.2,7/1/2020
City of San Diego,1226.0,197.8,7/1/2020
City of San Marcos,59.9,135.0,7/1/2020
City of Santee,42.3,111.0,7/1/2020
City of Solana Beach,11.8,112.0,7/1/2020
City of Vista,49.0,109.4,7/1/2020
Coastal,146.3,235.8,7/1/2020
Coronado,24.0,154.5,7/1/2020
Del Mar-Mira Mesa,124.1,160.7,7/1/2020
East Region,539.0,203.7,7/1/2020
El Cajon,197.2,265.7,7/1/2020
Elliott-Navajo,89.9,157.7,7/1/2020
Escondido,94.4,127.0,7/1/2020
Fallbrook,28.6,111.4,7/1/2020
Harbison Crest,20.5,236.1,7/1/2020
Harbison Crest-El Cajon,217.7,262.6,7/1/2020
Jamul,20.3,235.5,7/1/2020
Kearny Mesa,175.2,200.5,7/1/2020
La Mesa,73.3,209.5,7/1/2020
Laguna-Pine Valley,,,7/1/2020
Lakeside,58.2,153.1,7/1/2020
Lemon Grove,28.8,314.8,7/1/2020
Mid-City,115.2,213.4,7/1/2020
Miramar,5.5,238.1,7/1/2020
Mountain Empire,7.0,170.4,7/1/2020
National City,26.9,329.6,7/1/2020
North Central Region,641.0,174.2,7/1/2020
North Coastal Region,360.0,111.7,7/1/2020
North County,733.0,116.6,7/1/2020
North Inland Region,373.0,121.8,7/1/2020
North San Diego,88.6,137.7,7/1/2020
Oceanside,89.4,111.3,7/1/2020
Palomar-Julian,5.6,104.2,7/1/2020
Pauma,,,7/1/2020
Pendleton,,,7/1/2020
Peninsula,74.6,152.6,7/1/2020
Poway,57.6,108.0,7/1/2020
Ramona,21.7,96.4,7/1/2020
San Diego County,2628.0,172.3,7/1/2020
San Dieguito,98.5,131.3,7/1/2020
San Marcos,63.1,139.0,7/1/2020
Santee,41.0,113.2,7/1/2020
South Bay,65.9,311.7,7/1/2020
South Region,271.0,282.3,7/1/2020
Southeastern San Diego,90.6,441.3,7/1/2020
Spring Valley,76.3,223.8,7/1/2020
Supervisorial District 1,358.3,286.0,7/1/2020
Supervisorial District 2,668.6,183.0,7/1/2020
Supervisorial District 3,469.3,138.7,7/1/2020
Supervisorial District 4,745.5,219.6,7/1/2020
Supervisorial District 5,386.2,108.2,7/1/2020
Sweetwater,86.7,303.6,7/1/2020
Unincorporated,391.3,143.4,7/1/2020
University,39.9,109.0,7/1/2020
Valley Center,11.3,87.3,7/1/2020
Vista,51.1,110.9,7/1/2020
