Geography,"Allocated
White
Case
Count
(Raw)","COVID-19
Total White
Rate
(Suppressed)",Date
Alpine,11.8,98.8,6/24/2020
Anza-Borrego Springs,,,6/24/2020
Carlsbad,71.3,84.6,6/24/2020
Central Region,344.0,204.3,6/24/2020
Central San Diego,198.7,205.4,6/24/2020
Chula Vista,47.0,212.0,6/24/2020
City of Carlsbad,71.2,89.0,6/24/2020
City of Chula Vista,117.1,236.8,6/24/2020
City of Coronado,16.0,103.0,6/24/2020
City of Del Mar,6.6,194.5,6/24/2020
City of El Cajon,131.0,219.6,6/24/2020
City of Encinitas,42.7,90.6,6/24/2020
City of Escondido,64.3,101.5,6/24/2020
City of Imperial Beach,21.0,235.7,6/24/2020
City of La Mesa,61.2,180.9,6/24/2020
City of Lemon Grove,25.0,290.9,6/24/2020
City of National City,26.5,317.5,6/24/2020
City of Oceanside,62.1,72.2,6/24/2020
City of Poway,25.9,83.4,6/24/2020
City of San Diego,924.9,149.2,6/24/2020
City of San Marcos,41.4,93.3,6/24/2020
City of Santee,29.2,76.8,6/24/2020
City of Solana Beach,8.4,79.7,6/24/2020
City of Vista,35.9,80.2,6/24/2020
Coastal,97.0,156.3,6/24/2020
Coronado,16.0,103.0,6/24/2020
Del Mar-Mira Mesa,92.7,120.1,6/24/2020
East Region,447.0,168.9,6/24/2020
El Cajon,161.6,217.7,6/24/2020
Elliott-Navajo,67.8,118.9,6/24/2020
Escondido,73.1,98.3,6/24/2020
Fallbrook,17.5,68.3,6/24/2020
Harbison Crest,17.4,200.5,6/24/2020
Harbison Crest-El Cajon,179.0,215.9,6/24/2020
Jamul,16.9,196.2,6/24/2020
Kearny Mesa,133.1,152.4,6/24/2020
La Mesa,62.9,179.8,6/24/2020
Laguna-Pine Valley,,,6/24/2020
Lakeside,48.1,126.6,6/24/2020
Lemon Grove,26.4,289.3,6/24/2020
Mid-City,87.3,161.7,6/24/2020
Miramar,5.1,217.5,6/24/2020
Mountain Empire,7.0,170.4,6/24/2020
National City,25.9,317.7,6/24/2020
North Central Region,468.0,127.2,6/24/2020
North Coastal Region,257.0,79.8,6/24/2020
North County,542.0,86.2,6/24/2020
North Inland Region,285.0,93.0,6/24/2020
North San Diego,72.5,112.6,6/24/2020
Oceanside,60.9,75.8,6/24/2020
Palomar-Julian,5.6,104.1,6/24/2020
Pauma,,,6/24/2020
Pendleton,,,6/24/2020
Peninsula,54.1,110.8,6/24/2020
Poway,42.9,80.5,6/24/2020
Ramona,15.8,70.2,6/24/2020
San Diego County,2026.0,132.8,6/24/2020
San Dieguito,68.5,91.3,6/24/2020
San Marcos,44.0,96.9,6/24/2020
Santee,28.7,79.1,6/24/2020
South Bay,55.1,260.6,6/24/2020
South Region,225.0,234.3,6/24/2020
Southeastern San Diego,67.8,330.2,6/24/2020
Spring Valley,63.5,186.2,6/24/2020
Supervisorial District 1,288.2,230.0,6/24/2020
Supervisorial District 2,548.2,150.0,6/24/2020
Supervisorial District 3,354.9,104.9,6/24/2020
Supervisorial District 4,561.0,165.2,6/24/2020
Supervisorial District 5,273.7,76.7,6/24/2020
Sweetwater,74.9,262.0,6/24/2020
Unincorporated,315.6,115.7,6/24/2020
University,32.5,88.7,6/24/2020
Valley Center,8.4,64.8,6/24/2020
Vista,36.4,78.8,6/24/2020
