Geography,"Allocated
Male
Case
Count
(Raw)","COVID-19
Total Male
Rate
(Suppressed)","Allocated
Female
Case
Count
(Raw)","COVID-19
Total Female
Rate
(Suppressed)",Date
Alpine,6.4,80.5,8.3,102.5,6/17/2020
Anza-Borrego Springs,5.1,200.7,,,6/17/2020
Carlsbad,54.6,88.4,59.2,93.1,6/17/2020
Central Region,1034.0,387.4,1126.0,448.9,6/17/2020
Central San Diego,392.0,351.9,346.1,354.0,6/17/2020
Chula Vista,388.2,638.7,434.6,697.4,6/17/2020
City of Carlsbad,46.1,81.7,52.0,89.3,6/17/2020
City of Chula Vista,701.2,530.5,752.8,556.3,6/17/2020
City of Coronado,22.0,184.8,6.0,61.4,6/17/2020
City of Del Mar,,,,,6/17/2020
City of El Cajon,226.9,435.4,270.6,506.3,6/17/2020
City of Encinitas,41.0,131.1,38.1,119.7,6/17/2020
City of Escondido,150.7,201.6,184.6,240.7,6/17/2020
City of Imperial Beach,70.0,497.2,74.0,525.4,6/17/2020
City of La Mesa,64.3,213.9,83.3,266.9,6/17/2020
City of Lemon Grove,40.0,302.8,57.0,418.3,6/17/2020
City of National City,209.3,641.9,281.4,949.0,6/17/2020
City of Oceanside,123.2,141.1,132.1,146.7,6/17/2020
City of Poway,25.9,105.0,25.9,101.7,6/17/2020
City of San Diego,2259.0,313.9,2166.1,309.3,6/17/2020
City of San Marcos,54.3,114.8,72.7,150.0,6/17/2020
City of Santee,43.3,156.8,37.5,127.7,6/17/2020
City of Solana Beach,9.9,145.1,,,6/17/2020
City of Vista,79.4,153.7,83.3,161.1,6/17/2020
Coastal,48.6,111.5,71.0,167.7,6/17/2020
Coronado,22.0,184.8,6.0,61.4,6/17/2020
Del Mar-Mira Mesa,98.8,114.4,103.7,122.7,6/17/2020
East Region,703.0,293.5,871.0,354.1,6/17/2020
El Cajon,265.8,409.6,328.3,493.4,6/17/2020
Elliott-Navajo,68.3,146.6,68.5,142.7,6/17/2020
Escondido,163.1,190.7,203.9,232.3,6/17/2020
Fallbrook,32.3,134.6,19.6,79.8,6/17/2020
Harbison Crest,21.3,284.4,33.8,441.6,6/17/2020
Harbison Crest-El Cajon,287.1,396.7,362.1,488.0,6/17/2020
Jamul,38.9,395.4,35.3,361.3,6/17/2020
Kearny Mesa,155.7,183.8,163.2,189.6,6/17/2020
La Mesa,66.3,213.4,86.1,266.8,6/17/2020
Laguna-Pine Valley,,,,,6/17/2020
Lakeside,62.9,212.2,83.3,278.3,6/17/2020
Lemon Grove,50.4,332.3,69.4,444.2,6/17/2020
Mid-City,278.8,328.1,329.8,382.9,6/17/2020
Miramar,5.2,136.7,5.2,170.5,6/17/2020
Mountain Empire,15.5,365.9,11.2,279.1,6/17/2020
National City,208.6,644.7,281.1,956.3,6/17/2020
North Central Region,477.0,142.4,462.0,139.8,6/17/2020
North Coastal Region,335.0,117.2,346.0,125.2,6/17/2020
North County,759.0,129.6,829.0,141.9,6/17/2020
North Inland Region,424.0,141.5,483.0,156.9,6/17/2020
North San Diego,70.1,118.1,78.9,128.0,6/17/2020
Oceanside,120.0,143.8,130.2,151.5,6/17/2020
Palomar-Julian,,,,,6/17/2020
Pauma,,,,,6/17/2020
Pendleton,,,,,6/17/2020
Peninsula,76.9,206.7,36.5,111.4,6/17/2020
Poway,43.9,98.9,42.3,92.1,6/17/2020
Ramona,24.8,141.8,28.8,163.3,6/17/2020
San Diego County,4723.0,281.4,4956.0,298.7,6/17/2020
San Dieguito,63.9,127.4,57.9,112.6,6/17/2020
San Marcos,64.2,128.4,81.1,158.9,6/17/2020
Santee,42.9,162.8,37.8,135.3,6/17/2020
South Bay,771.6,1099.6,587.3,912.2,6/17/2020
South Region,1750.0,696.2,1668.0,673.9,6/17/2020
Southeastern San Diego,379.0,522.3,467.7,640.6,6/17/2020
Spring Valley,148.5,357.5,185.5,436.3,6/17/2020
Supervisorial District 1,2069.7,644.4,2055.7,670.2,6/17/2020
Supervisorial District 2,832.4,257.8,1008.9,304.1,6/17/2020
Supervisorial District 3,453.8,136.4,485.4,144.1,6/17/2020
Supervisorial District 4,968.4,269.0,977.5,279.0,6/17/2020
Supervisorial District 5,398.8,116.7,428.5,128.6,6/17/2020
Sweetwater,329.9,445.5,332.3,438.3,6/17/2020
Unincorporated,552.4,210.3,631.0,251.9,6/17/2020
University,31.5,88.6,24.2,65.4,6/17/2020
Valley Center,15.9,139.7,16.5,144.3,6/17/2020
Vista,83.2,154.3,87.9,162.3,6/17/2020
